 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 21  0
 Used Nearest Grid Point ( 153, 209) to Lat:    38.10, Lon:  -121.56
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1021     0  1021     0     0  19.7  60.8  -1.9  -1.1  1021  70.8   205  39.8  0.28   534  1224  25.3   290   360     0     0     0     0     0  24.3  88.0     0     0   283  10.0                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.0 -0.89   176  16.5  -1.9  70.5   1.2    289.7  -1.8  -1.3         
   975  -2.1 -0.78   392  14.4  -1.5  78.6   1.4    289.6  -1.9  -1.2         
   950  -3.2   2.6   611  12.6   2.0  79.4   1.2    290.0  -3.6   1.9         
   925  -2.7   5.2   835  12.6   4.2  45.6  0.25    292.2  -3.7   4.5         
   900  -2.2   5.2  1064  12.7   4.3  20.3     0    294.6  -3.1   4.6         
   875  -1.5   4.4  1300  12.1   5.0  10.3     0    296.3  -2.3   4.0         
   850 -0.37   3.6  1542  11.6   5.4   4.1     0    298.4  -1.1   3.4         
   825  0.56   2.9  1790  11.3   4.0   2.3     0    300.5  -0.0   3.0         
   800   1.2   2.6  2046  11.2   4.0   1.3     0    303.1   0.7   2.7         
   775   1.7   2.2  2310  10.6   3.5   1.1     0    305.2   1.3   2.5         
   750   2.1   1.6  2582   9.5   3.5   2.0     0    306.9   1.7   2.0         
   725   2.4   1.3  2862   7.6   5.3   2.1  3E-2    307.8   2.1   1.8         
   700   2.6   1.8  3149   5.4   5.3   3.0     0    308.5   2.2   2.3         
   650   2.2   4.8  3749   2.8   4.1   4.0  2E-2    312.1   1.2   5.1         
   600   3.3   6.6  4393  0.21   2.3   6.0     0    316.4   2.0   7.1         
   550   6.3   4.9  5083  -4.7   1.6   8.0     0    318.5   5.2   6.0         
   500  10.6   3.0  5825 -10.0   1.5  11.1  2E-2    320.9   9.9   5.0         
   450  13.2   3.8  6626 -16.5     0  15.1  2E-2    322.5  12.2   6.3         
   400  12.6   5.4  7498 -24.1  -1.8  32.0  1E-2    323.7  11.3   7.7         
   350  11.9   5.1  8453 -32.7  0.31  63.1  2E-2    324.6  10.7   7.3         
   300  10.7   5.6  9521 -41.0     0  69.3  2E-2    327.5   9.4   7.6         
   250   9.7   6.7 10733 -49.1   1.9  58.0  2E-2    333.1   8.2   8.5         
   200   8.6   5.7 12181 -54.7   1.4  12.4     0    346.1   7.3   7.3         
   150  13.0   5.8 13991 -61.7   1.7   5.7  2E-2    363.8  11.6   8.2         
   100   8.4  10.1 16439 -70.9 -0.53  10.7  2E-2    390.8   6.2  11.5         
    50   4.1   5.1 20585 -66.2 -0.13   8.2  2E-2    487.5   3.0   5.8         
