 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3  0  0
 Used Nearest Grid Point ( 152, 208) to Lat:    37.97, Lon:  -121.66
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1016  40.1  1021     0     0  19.7  60.3 -0.68  -1.5  1016  27.5  12.5  22.9  0.94   125  1411  20.2   293   360     0     0     0     0     0  24.2     0     0     0   282   9.9                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000 -0.43  -1.9   177  17.7  -3.9  64.2  0.34    290.9  -0.1  -1.9         
   975 -0.43  -1.5   394  15.6  -4.0  69.8  0.50    290.9  -0.1  -1.6         
   950     0 -0.30   613  13.9  -3.8  71.4  0.38    291.3   0.1  -0.3         
   925  0.76   2.4   838  13.8  -1.8  53.3  0.12    293.4   0.3   2.5         
   900   1.2   2.7  1069  13.3     0  48.9     0    295.2   0.6   2.9         
   875  0.11   2.6  1305  12.6     0  37.0     0    296.8  -0.4   2.6         
   850 -0.12   1.7  1548  12.2     0  18.0     0    299.0  -0.4   1.6         
   825 -0.18  0.31  1797  11.1     0   5.1     0    300.3  -0.2   0.3         
   800  0.67 -0.38  2052  10.4  -1.2   3.0     0    302.3   0.7  -0.2         
   775   2.0 -0.46  2316  10.1 -0.63   2.0     0    304.6   2.1  -0.1         
   750   2.7 -0.20  2587   9.2  -2.9   2.0     0    306.6   2.7   0.3         
   725   2.5     0  2866   7.5  -3.2   3.0  3E-2    307.7   2.4   0.5         
   700   2.3  0.25  3153   5.5  -4.1   3.0  2E-2    308.6   2.2   0.7         
   650   3.9   2.9  3753   2.4  -2.0   4.0  2E-2    311.7   3.2   3.6         
   600   4.9   5.9  4397  1E-1  0.55   5.0  2E-2    316.2   3.6   6.8         
   550   6.4   5.5  5087  -4.1   2.4   8.0     0    319.2   5.2   6.7         
   500   9.2   4.0  5830  -9.6   2.6   9.0  2E-2    321.4   8.2   5.7         
   450  11.0   7.0  6633 -15.9   2.4  11.0  2E-2    323.3   9.5   9.0         
   400   9.9   6.9  7506 -23.9  0.34  24.0  2E-2    324.0   8.4   8.7         
   350  13.9   5.1  8464 -32.0  0.76  31.0     0    325.6  12.7   7.8         
   300  17.3   6.7  9531 -41.4     0  35.0  2E-2    327.0  15.6  10.0         
   250  10.8   7.9 10742 -49.1 -0.38  43.0  2E-2    333.0   9.1   9.8         
   200   7.9   7.5 12189 -54.5  0.29  14.3  2E-2    346.5   6.3   8.9         
   150  13.7  10.6 14002 -61.9 -0.28   5.5  2E-2    363.4  11.3  13.0         
   100   7.3  12.0 16444 -70.9   1.3   9.5  2E-2    390.7   4.8  13.2         
    50   2.7   4.9 20598 -65.3 -0.27   7.2  2E-2    489.7   1.7   5.4         
