 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3  0  0
 Used Nearest Grid Point ( 152, 210) to Lat:    38.18, Lon:  -121.72
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1021   8.1  1021     0     0  19.6  60.3 -0.68  -1.6  1021  27.5   6.5  18.2  0.28   123  1283  19.9   293   520     0     0     0     0     0  24.2     0     0     0   283   9.9                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000 -0.43  -2.2   178  17.5  -1.7  65.2  0.27    290.6   0.0  -2.3         
   975 -0.30  -2.0   395  15.4  -1.8  70.8  0.25    290.6   0.1  -2.0         
   950  0.10 -0.55   614  13.8  -1.1  70.4  0.25    291.2   0.2  -0.5         
   925   1.0   3.0   839  13.6 -0.92  54.3  0.12    293.3   0.4   3.2         
   900  0.83   3.6  1070  12.9  -1.5  50.9     0    294.8   0.1   3.7         
   875  0.23   3.4  1306  12.7  0.63  32.0     0    297.0  -0.4   3.3         
   850 -0.37   2.2  1548  12.1     0  14.0     0    298.8  -0.8   2.0         
   825 -0.18  0.81  1797  11.1     0   5.1     0    300.3  -0.3   0.8         
   800  0.92  0.12  2053  10.4     0   3.0     0    302.3   0.9   0.3         
   775   2.5  0.29  2316   9.9 -0.63   3.0     0    304.5   2.4   0.8         
   750   3.2  0.68  2587   8.9  -2.9   3.0     0    306.3   3.0   1.3         
   725   3.0  0.89  2866   7.4  -3.2   3.0  3E-2    307.6   2.7   1.5         
   700   2.4  1.00  3153   5.5  -3.3   3.0  2E-2    308.6   2.2   1.4         
   650   3.7   3.0  3753   2.1  -2.0   5.0  2E-2    311.3   3.1   3.7         
   600   4.6   6.3  4395 -0.17 -0.77   5.0  2E-2    315.9   3.3   7.1         
   550   6.1   5.9  5085  -4.4   2.4   9.0     0    318.9   4.8   7.0         
   500   8.8   4.4  5828  -9.7   2.6  11.0  2E-2    321.2   7.8   6.0         
   450  11.3   7.3  6631 -15.9   1.6  12.0  2E-2    323.3   9.6   9.4         
   400  10.7   7.5  7504 -23.9  0.34  25.0  2E-2    324.0   9.0   9.4         
   350  14.6   5.9  8461 -32.0  0.76  35.0     0    325.6  13.1   8.6         
   300  17.1   7.2  9529 -41.4   1.0  37.0  2E-2    327.0  15.4  10.5         
   250  10.7   8.3 10740 -49.0 -0.38  43.0  2E-2    333.2   8.9  10.2         
   200   8.3   7.9 12188 -54.6  0.29  14.3  2E-2    346.3   6.6   9.4         
   150  13.9  10.7 14000 -61.9 -0.28   5.5  2E-2    363.4  11.5  13.2         
   100   7.6  12.2 16443 -70.8   1.3   9.5  2E-2    391.0   5.0  13.5         
    50   3.0   4.8 20599 -65.1 -0.27   6.2  2E-2    490.0   2.0   5.3         
