 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3  0  0
 Used Nearest Grid Point ( 153, 208) to Lat:    37.99, Lon:  -121.53
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1021     0  1021     0     0  20.1  58.3 -0.55  -1.4  1021  19.5   8.5  18.2  0.28   123  1539  20.4   293   344     0     0     0     0     0  24.2     0     0     0   283   9.9                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000 -0.31  -1.9   176  17.7  -2.6  64.2  0.34    290.9   0.1  -1.9         
   975 -0.30  -1.4   393  15.6  -2.7  68.8  0.50    290.9  -0.0  -1.4         
   950  0.10     0   613  14.1  -2.4  69.4  0.38    291.5   0.1   0.0         
   925  0.51   3.2   838  14.1  -1.8  51.3  0.12    293.8  -0.1   3.2         
   900  0.83   3.7  1069  13.4  -1.5  46.9     0    295.4   0.1   3.8         
   875 -0.27   3.1  1305  12.9  -2.0  32.0     0    297.2  -0.9   3.0         
   850 -0.25   1.9  1548  12.1     0  17.0     0    298.8  -0.6   1.8         
   825 -0.18  0.56  1797  11.1     0   7.1     0    300.3  -0.3   0.5         
   800  0.55 -0.38  2053  10.5     0   3.0     0    302.4   0.6  -0.3         
   775   1.7 -0.71  2316  10.2 -0.63   2.0     0    304.8   1.8  -0.4         
   750   2.2 -0.45  2588   9.1  -2.9   2.0     0    306.4   2.3  -0.0         
   725   2.1 -0.11  2867   7.4  -3.2   2.0  3E-2    307.6   2.1   0.3         
   700   2.0  0.25  3154   5.4  -3.3   2.0  2E-2    308.4   1.9   0.6         
   650   3.7   2.7  3753   2.6  -2.0   3.0  2E-2    311.9   3.1   3.3         
   600   4.7   5.9  4397  0.20  0.55   4.0  2E-2    316.4   3.5   6.8         
   550   6.4   5.5  5088  -4.0   2.4   8.0     0    319.3   5.2   6.7         
   500   9.2   3.7  5831  -9.5   2.6   8.0  2E-2    321.5   8.3   5.5         
   450  10.8   6.5  6634 -15.9   2.4  11.0  2E-2    323.3   9.3   8.4         
   400   9.7   6.4  7507 -24.0  0.34  25.0  2E-2    323.8   8.2   8.1         
   350  13.7   4.8  8465 -32.0  0.76  31.0     0    325.6  12.5   7.3         
   300  16.9   6.2  9533 -41.4   1.0  35.0  2E-2    327.0  15.3   9.4         
   250  10.6   7.5 10744 -49.2 -0.38  45.0  2E-2    332.9   8.9   9.4         
   200   7.9   7.2 12190 -54.5  0.29  14.3  2E-2    346.5   6.4   8.6         
   150  13.5  10.2 14003 -61.9 -0.28   5.5  2E-2    363.4  11.3  12.6         
   100   7.2  11.8 16445 -70.9   1.3   9.5  2E-2    390.7   4.8  13.0         
    50   2.7   4.8 20598 -65.3 -0.27   7.2  2E-2    489.7   1.7   5.2         
