 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 15  0
 Used Nearest Grid Point ( 146, 208) to Lat:    37.85, Lon:  -122.46
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1019  24.1  1022     0     0  12.8  78.4  -1.7 -0.86  1019  18.8   4.6  21.2   1.9  39.8   256  12.7   284   464     0     0     0     0     0  24.1   6.0     0     0   287  12.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -4.4  -1.5   180  13.8   2.5  66.3     0    287.0  -4.0  -2.3         
   975  -5.3  -2.3   394  14.6   2.5  58.3     0    289.9  -4.7  -3.4         
   950  -5.7  -2.0   613  14.4   3.9  46.0     0    291.8  -5.2  -3.1         
   925  -6.4  -2.6   838  14.4   3.4  29.2     0    294.1  -5.8  -3.9         
   900  -6.3  -3.4  1069  14.6   1.7  16.0     0    296.6  -5.5  -4.6         
   875  -4.7  -3.5  1306  14.6  0.99   8.1     0    298.9  -3.9  -4.4         
   850  -3.1  -4.0  1550  13.7     0   6.0     0    300.5  -2.2  -4.6         
   825  -1.3  -2.5  1801  13.1     0   5.0     0    302.5  -0.8  -2.7         
   800  0.65 -0.33  2058  12.2     0   7.0     0    304.2   0.7  -0.2         
   775   1.9   1.3  2323  11.3  -2.1  12.0     0    306.0   1.6   1.6         
   750   2.4   2.1  2596  10.0  -2.7  15.0     0    307.4   1.9   2.5         
   725   2.6   2.9  2876   8.4     0  16.0     0    308.7   2.0   3.3         
   700   2.9   3.6  3164   6.6     0  16.0     0    309.8   2.1   4.1         
   650   4.6   5.4  3767   2.6  -1.4  22.0  2E-2    312.0   3.4   6.2         
   600   6.9   5.7  4409  -1.6  -1.2  25.0     0    314.3   5.6   7.0         
   550   9.8   6.3  5094  -6.3     0  18.0     0    316.7   8.4   8.2         
   500  14.6   9.7  5832 -11.5   1.4   9.0     0    319.0  12.4  12.5         
   450  14.0  12.0  6628 -18.3  0.86  15.0     0    320.2  11.3  14.5         
   400  14.4  11.9  7494 -25.4   1.5  12.0     0    322.0  11.7  14.6         
   350  17.8  10.3  8446 -33.5   1.6  14.0     0    323.6  15.3  13.6         
   300  12.2  10.0  9508 -42.2   1.2  42.5  2E-2    325.9  10.0  12.3         
   250   9.8  12.2 10717 -50.4   1.2  62.8  2E-2    331.1   7.2  13.9         
   200  15.6  20.1 12146 -57.0   1.0  45.5  3E-2    342.5  11.2  22.8         
   150  15.6  25.7 13943 -63.6   1.0   9.5  2E-2    360.5  10.1  28.3         
   100  11.9  14.6 16402 -66.9  0.22   4.5  2E-2    398.5   8.7  16.7         
    50   5.0   5.5 20603 -64.4  0.33   6.2  2E-2    491.7   3.8   6.4         
