 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 15  0
 Used Nearest Grid Point ( 147, 208) to Lat:    37.87, Lon:  -122.33
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1017  32.1  1022     0     0  12.4  82.4  -1.7 -0.36  1017  26.8   6.6  14.9     0  39.8   256  13.7   273  1000     0     0     0     0     0  24.1   6.0     0     0   288  12.2                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -4.7  -1.2   179  13.5   6.0  65.3     0    286.7  -4.3  -2.1         
   975  -5.6  -3.0   393  14.6   6.0  58.3     0    289.9  -4.8  -4.0         
   950  -5.5  -2.1   613  14.7   4.8  45.0     0    292.1  -4.9  -3.2         
   925  -6.0  -2.5   838  14.7   4.2  27.2     0    294.3  -5.4  -3.7         
   900  -6.2  -3.4  1069  14.6   3.5  15.0     0    296.6  -5.4  -4.5         
   875  -4.9  -3.3  1306  14.6   2.7   8.1     0    298.9  -4.1  -4.2         
   850  -3.0  -3.7  1550  13.7   2.5   5.0     0    300.5  -2.2  -4.2         
   825  -1.2  -2.5  1801  13.1     0   3.0     0    302.5  -0.7  -2.7         
   800  0.78 -0.33  2058  12.5     0   4.0     0    304.4   0.8  -0.2         
   775   1.9   1.3  2323  11.4     0   8.0     0    306.1   1.6   1.6         
   750   2.2   2.1  2596  10.1  -2.7  11.0     0    307.6   1.8   2.5         
   725   2.5   2.6  2876   8.5     0  12.0     0    308.8   1.9   3.0         
   700   2.7   3.4  3165   6.7     0  12.0     0    309.9   2.0   3.9         
   650   4.3   5.1  3767   2.6  -1.4  20.0  2E-2    312.0   3.2   5.9         
   600   6.8   5.4  4409  -1.5  -1.2  24.0     0    314.4   5.6   6.7         
   550   9.8   6.1  5095  -6.3     0  17.0     0    316.7   8.4   7.9         
   500  14.8   9.5  5833 -11.4     0   8.0     0    319.2  12.6  12.2         
   450  13.7  11.6  6629 -18.3  0.86  16.0     0    320.2  11.1  14.1         
   400  14.2  11.5  7495 -25.4   1.5  13.0     0    322.0  11.6  14.1         
   350  17.5   9.9  8447 -33.5   3.4  14.0     0    323.6  15.2  13.2         
   300  11.9   9.6  9509 -42.2   2.9  41.5  2E-2    325.9   9.7  11.8         
   250   9.6  11.8 10718 -50.4   1.2  62.8  2E-2    331.1   7.0  13.5         
   200  15.3  20.4 12148 -56.7   1.0  42.5  3E-2    342.9  10.9  23.1         
   150  15.4  26.1 13946 -63.6   1.0   9.5  2E-2    360.5   9.9  28.6         
   100  11.8  14.6 16403 -67.0  0.22   4.5  2E-2    398.2   8.6  16.7         
    50   4.9   5.3 20605 -64.4  0.33   6.2  2E-2    491.7   3.7   6.2         
