 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 15  0
 Used Nearest Grid Point ( 147, 210) to Lat:    38.08, Lon:  -122.38
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1016  40.1  1022     0     0  10.8  89.4 -0.66 -0.49  1016   6.8     0   8.7   1.9  39.8   256   9.3   283   624     0     0     0     0     0  24.1   6.0     0     0   289  11.6                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.5 -0.85   181  13.3 -0.60  68.3     0    286.5  -1.3  -1.1         
   975  -2.3  -2.0   394  14.4  0.72  60.3     0    289.6  -1.9  -2.4         
   950  -3.8  -2.5   614  14.2   2.1  54.0     0    291.6  -3.3  -3.2         
   925  -5.0  -3.2   839  14.0   2.5  35.2     0    293.7  -4.3  -4.2         
   900  -5.2  -4.0  1069  14.4   1.7  18.0     0    296.3  -4.3  -4.9         
   875  -4.2  -3.4  1307  14.2     0  10.1     0    298.5  -3.5  -4.2         
   850  -3.2  -3.4  1550  13.8     0   7.0     0    300.7  -2.5  -4.0         
   825  -1.2  -2.9  1801  13.0     0   8.0     0    302.4  -0.6  -3.0         
   800  0.65 -0.70  2058  12.2     0   8.0     0    304.2   0.8  -0.6         
   775   2.0   1.2  2323  11.3     0  12.0     0    306.0   1.7   1.5         
   750   2.6   2.3  2596   9.9 -0.97  17.0     0    307.3   2.1   2.8         
   725   3.0   3.0  2876   8.1     0  20.0     0    308.4   2.3   3.5         
   700   3.4   3.8  3164   6.3     0  20.0     0    309.5   2.5   4.4         
   650   5.0   5.4  3766   2.5  -1.4  24.0  2E-2    311.8   3.8   6.3         
   600   7.2   5.8  4408  -1.6  -1.2  27.0     0    314.3   5.9   7.1         
   550   9.3   6.3  5093  -6.4   1.6  22.0     0    316.5   7.9   8.1         
   500  14.3   9.4  5830 -11.6   3.2  10.0     0    318.9  12.1  12.0         
   450  14.8  12.0  6626 -18.3  0.86  10.0     0    320.2  12.1  14.7         
   400  14.7  12.0  7493 -25.4   1.5   9.0     0    322.0  11.9  14.7         
   350  17.5  10.3  8444 -33.5   1.6  13.0     0    323.6  15.1  13.6         
   300  12.1  10.1  9507 -42.2   2.9  46.5  2E-2    325.9   9.8  12.3         
   250  10.1  12.3 10716 -50.4   1.2  62.8  2E-2    331.1   7.4  14.1         
   200  15.8  20.7 12145 -57.0   1.0  44.5  3E-2    342.5  11.3  23.4         
   150  15.9  26.2 13942 -63.5   1.0   9.5  2E-2    360.7  10.4  28.9         
   100  12.1  14.9 16400 -67.0  0.22   4.5  2E-2    398.2   8.9  17.0         
    50   4.9   5.5 20603 -64.4  0.33   6.2  2E-2    491.7   3.7   6.3         
