 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 15  0
 Used Nearest Grid Point ( 148, 207) to Lat:    37.79, Lon:  -122.17
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1006   128  1022     0     0   8.2  97.4  -2.0     0  1006     0  -9.4  25.8   1.1  47.8   256   7.1   283   864     0     0     0     0     0  19.5  24.0     0     0   292  12.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.7 -0.22   179  11.9  13.9  72.3     0    285.1  -2.6  -0.7         
   975  -5.8  -3.1   392  14.4  13.0  58.3     0    289.6  -5.1  -4.2         
   950  -5.7  -1.8   612  14.9   9.2  47.0     0    292.3  -5.3  -2.9         
   925  -5.8  -1.7   837  15.2   6.9  28.2     0    294.8  -5.3  -2.9         
   900  -5.8  -2.5  1069  15.1   5.3  15.0     0    297.1  -5.2  -3.6         
   875  -4.7  -2.8  1306  14.8   2.7   6.1     0    299.2  -4.1  -3.6         
   850  -3.0  -2.8  1550  14.0   2.5   3.0     0    300.8  -2.4  -3.3         
   825  -1.2  -2.2  1801  13.4   2.3   1.0     0    302.7  -0.7  -2.4         
   800  0.53 -0.33  2058  12.6     0     0     0    304.6   0.6  -0.2         
   775   1.5   1.3  2323  11.5  -2.1   2.0     0    306.2   1.2   1.5         
   750   2.0   1.8  2596  10.4  -2.7   4.0     0    307.8   1.6   2.2         
   725   2.3   2.2  2877   8.7  -3.4   4.0     0    309.1   1.8   2.7         
   700   2.5   3.0  3165   6.9     0   6.0     0    310.2   1.8   3.5         
   650   3.8   4.5  3769   2.8  -1.4  17.0  2E-2    312.1   2.9   5.2         
   600   6.4   4.8  4410  -1.3  -1.2  22.0     0    314.6   5.3   6.0         
   550  10.0   5.7  5097  -6.1  -1.9  15.0     0    316.8   8.6   7.6         
   500  14.9   9.1  5834 -11.1  -2.1   7.0     0    319.5  12.8  11.9         
   450  13.1  11.0  6631 -18.2  0.86  18.0     0    320.4  10.6  13.3         
   400  13.8  10.8  7498 -25.4   1.5  15.0     0    322.0  11.4  13.3         
   350  17.4   9.1  8450 -33.5   3.4  15.0     0    323.6  15.2  12.4         
   300  11.4   9.0  9512 -42.2   2.9  38.5  2E-2    325.9   9.3  11.1         
   250   9.0  11.2 10721 -50.4   1.2  62.8  2E-2    331.1   6.6  12.8         
   200  14.8  20.6 12152 -56.4     0  38.5  3E-2    343.5  10.4  23.1         
   150  15.2  26.3 13950 -63.8     0   9.5  2E-2    360.2   9.7  28.8         
   100  11.6  14.7 16405 -67.3  0.22   4.5  2E-2    397.8   8.5  16.8         
    50   4.7   5.2 20607 -64.4  0.33   6.2  2E-2    491.7   3.6   6.1         
