 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 15  0
 Used Nearest Grid Point ( 148, 208) to Lat:    37.89, Lon:  -122.19
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1007   120  1022     0     0   9.6  83.4  -1.5  0.26  1007     0  -7.4  25.8   1.9  47.8   256   8.3   283   480     0     0     0     0     0  24.1   6.0     0     0   291  12.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -4.2 -0.72   180  12.0  10.4  72.3     0    285.2  -3.9  -1.5         
   975  -5.4  -3.3   393  14.1  10.4  60.3     0    289.4  -4.7  -4.4         
   950  -5.2  -2.0   612  14.5   9.2  48.0     0    292.0  -4.7  -3.0         
   925  -5.7  -2.4   838  14.7   8.6  29.2     0    294.3  -5.1  -3.4         
   900  -5.8  -3.0  1069  14.9   7.0  16.0     0    296.8  -5.1  -4.1         
   875  -5.0  -3.1  1306  14.6   4.5   8.1     0    298.9  -4.3  -4.1         
   850  -3.0  -3.0  1550  13.8   2.5   4.0     0    300.7  -2.3  -3.6         
   825  -1.1  -2.5  1801  13.1     0   2.0     0    302.5  -0.5  -2.6         
   800  0.78 -0.45  2058  12.6     0   1.0     0    304.6   0.9  -0.3         
   775   1.7   1.2  2323  11.5  -2.1   4.0     0    306.2   1.5   1.5         
   750   2.1   2.0  2596  10.4  -2.7   7.0     0    307.8   1.7   2.3         
   725   2.3   2.4  2876   8.6  -3.4   8.0     0    308.9   1.8   2.8         
   700   2.6   3.1  3165   6.8     0   9.0     0    310.0   1.9   3.6         
   650   4.1   4.7  3768   2.8     0  19.0  2E-2    312.1   3.1   5.5         
   600   6.6   5.1  4410  -1.5  -1.2  23.0     0    314.4   5.4   6.3         
   550   9.8   5.8  5096  -6.3     0  17.0     0    316.7   8.5   7.7         
   500  14.9   9.2  5833 -11.3     0   7.0     0    319.3  12.7  12.0         
   450  13.5  11.2  6630 -18.3  0.86  17.0     0    320.2  11.0  13.7         
   400  14.0  11.0  7496 -25.4   1.5  13.0     0    322.0  11.6  13.6         
   350  17.4   9.4  8448 -33.5   3.4  14.0     0    323.6  15.2  12.7         
   300  11.5   9.3  9510 -42.2   1.2  40.5  2E-2    325.9   9.4  11.4         
   250   9.3  11.5 10719 -50.4   1.2  62.8  2E-2    331.1   6.9  13.1         
   200  15.1  20.7 12150 -56.5     0  39.5  3E-2    343.3  10.6  23.3         
   150  15.4  26.4 13948 -63.8   1.0   9.5  2E-2    360.2   9.9  29.0         
   100  11.8  14.7 16404 -67.2  0.22   4.5  2E-2    398.0   8.6  16.8         
    50   4.7   5.3 20606 -64.4  0.33   6.2  2E-2    491.7   3.6   6.2         
