 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 18  0
 Used Nearest Grid Point ( 146, 208) to Lat:    37.85, Lon:  -122.46
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1020  24.1  1022     0     0  15.2  77.2  -1.8 -0.94  1020  59.2  42.9  34.1   1.9   516   543  17.5   289   464     0     0     0     0     0  24.1   4.0     0     0   284  10.7                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.8  -1.4   188  14.5   1.4  78.1  0.57    287.6  -2.5  -1.9         
   975  -6.6  -1.9   402  14.2   1.5  61.1     0    289.5  -6.1  -3.2         
   950  -8.3  0.39   621  13.3  -1.8  61.0     0    290.7  -8.2  -1.3         
   925  -7.6   1.7   845  14.6  -3.9  39.5     0    294.2  -7.8   0.1         
   900  -7.3  0.78  1077  15.5  -2.1  18.1     0    297.5  -7.3  -0.7         
   875  -6.0  0.10  1315  15.7  -1.8   6.0     0    300.1  -5.9  -1.1         
   850  -3.0  0.24  1560  15.5  -2.6   3.0     0    302.4  -3.0  -0.4         
   825 -0.47  0.47  1812  14.5  -2.9   4.0     0    303.9  -0.6   0.4         
   800   1.3   1.4  2071  13.0  -2.7   5.0     0    305.0   0.9   1.7         
   775   2.5   2.3  2336  11.6  -2.6   6.0     0    306.3   2.0   2.8         
   750   2.7   3.3  2609  10.4  -2.4   6.0     0    307.9   1.9   3.7         
   725   2.5   3.9  2889   8.7  -2.7   9.0     0    309.0   1.7   4.3         
   700   2.6   4.3  3177   6.4  -2.4  13.0     0    309.6   1.7   4.8         
   650   4.0   4.2  3780   2.5  -1.3  25.0     0    311.8   3.1   4.9         
   600   5.3   3.1  4421  -1.9  0.71  28.0  2E-2    313.9   4.6   4.2         
   550   7.7   4.7  5106  -6.3   1.5  17.0     0    316.6   6.6   6.1         
   500  11.7   9.2  5844 -11.4   2.4   9.0  2E-2    319.1   9.6  11.3         
   450  10.9  11.2  6640 -18.0   3.0  14.0     0    320.6   8.4  13.2         
   400  13.6  12.5  7507 -25.1   2.6  15.0  3E-2    322.4  10.8  15.0         
   350  15.1  12.8  8460 -33.2   2.8  19.0  1E-2    324.0  12.2  15.6         
   300  12.0  13.3  9524 -41.9   2.6  36.0  2E-2    326.4   9.1  15.4         
   250  13.1  14.5 10735 -50.1     0  61.5  2E-2    331.5   9.9  16.8         
   200  16.5  16.7 12166 -56.5 -0.55  40.3  2E-2    343.3  12.8  19.7         
   150  14.3  21.2 13965 -62.9 -0.14   7.7  2E-2    361.7   9.7  23.7         
   100  11.0  13.9 16425 -66.8 -0.69   4.5  2E-2    398.7   8.0  15.9         
    50   5.9   5.6 20633 -64.3  0.67   5.2  2E-2    492.0   4.6   6.7         
