 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 18  0
 Used Nearest Grid Point ( 147, 210) to Lat:    38.08, Lon:  -122.38
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1018  40.1  1023     0     0  15.2  81.2  -1.4 -1E-1  1018  51.2  66.9  35.7   1.9   484  1055  18.3   288   624     0     0     0     0     0  24.1  54.0     0     0   283   9.3                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.8     0   190  14.4     0  87.1  0.57    287.5  -1.7  -0.4         
   975  -3.6  -1.8   404  14.2     0  67.1  0.25    289.5  -3.2  -2.5         
   950  -6.1 -0.86   623  13.2     0  58.0     0    290.6  -5.8  -2.1         
   925  -6.6  0.82   847  13.0  -1.3  50.5     0    292.6  -6.7  -0.5         
   900  -6.6  0.28  1078  14.6  -3.0  24.1     0    296.6  -6.5  -1.0         
   875  -5.8 -0.15  1316  15.1  -3.6   8.0     0    299.4  -5.6  -1.3         
   850  -4.1  0.62  1560  15.3  -2.6   3.0     0    302.2  -4.2  -0.2         
   825  -1.1  0.72  1812  14.7  -2.1   4.0     0    304.2  -1.2   0.5         
   800   1.3   1.1  2071  13.2  -1.8   5.0     0    305.3   1.0   1.3         
   775   2.5   2.3  2336  11.8  -1.8   7.0     0    306.5   2.0   2.8         
   750   3.0   3.3  2609  10.4  -2.4   8.0     0    307.9   2.3   3.8         
   725   3.0   4.0  2890   8.7  -2.7  11.0     0    309.0   2.2   4.5         
   700   3.1   4.3  3178   6.3  -1.6  15.0     0    309.4   2.2   4.9         
   650   4.5   4.3  3780   2.4  -1.3  27.0     0    311.7   3.5   5.1         
   600   5.5   3.4  4421  -2.1  0.71  31.0  2E-2    313.7   4.7   4.4         
   550   7.1   4.7  5106  -6.6   1.5  20.0     0    316.3   6.0   6.0         
   500  11.8   8.9  5843 -11.7   3.5  10.0  2E-2    318.8   9.8  11.1         
   450  11.0  11.1  6639 -18.2   3.0  16.0     0    320.4   8.6  13.1         
   400  13.5  12.5  7506 -25.2   2.6  16.0  3E-2    322.3  10.7  14.9         
   350  15.2  12.7  8458 -33.2   1.5  18.0  1E-2    324.0  12.4  15.5         
   300  12.1  13.1  9522 -41.7   1.7  36.0  2E-2    326.5   9.2  15.2         
   250  13.0  14.4 10732 -50.4     0  62.5  2E-2    331.2   9.8  16.7         
   200  16.7  17.0 12162 -56.6 -0.55  41.3  2E-2    343.1  13.0  20.0         
   150  14.5  21.8 13961 -62.9 -0.14   7.7  2E-2    361.7   9.9  24.3         
   100  11.3  14.3 16422 -66.7 -0.69   4.5  2E-2    398.9   8.2  16.3         
    50   6.0   5.6 20630 -64.2  0.67   6.2  2E-2    492.3   4.7   6.7         
