 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 18  0
 Used Nearest Grid Point ( 148, 208) to Lat:    37.89, Lon:  -122.19
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1009   120  1023     0     0  15.4  69.2  -2.1 -0.44  1009  63.2  86.9  52.9   1.9   524   543  18.5   288   480     0     0     0     0     0  24.1   4.0     0     0   285  10.9                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.3 -0.12   189  14.6   1.4  72.1   1.0    287.8  -2.2  -0.6         
   975  -5.7  -2.4   403  14.0   6.7  65.1  0.50    289.2  -5.1  -3.5         
   950  -6.8 -0.23   621  13.3   6.1  63.0     0    290.7  -6.6  -1.6         
   925  -6.8   2.3   846  14.5   4.0  46.5     0    294.1  -7.1   0.9         
   900  -6.2   2.0  1078  15.2   4.0  24.1     0    297.2  -6.5   0.8         
   875  -5.3   1.4  1316  15.4   2.6   8.0     0    299.8  -5.4   0.3         
   850  -3.1   1.2  1561  15.9     0   2.0     0    302.8  -3.3   0.6         
   825 -0.22  0.97  1813  15.1  -2.1   1.0     0    304.6  -0.4   0.9         
   800   1.5   1.6  2072  13.4  -2.7     0     0    305.4   1.2   1.8         
   775   2.1   2.3  2337  11.6  -3.5   1.0     0    306.3   1.6   2.7         
   750   2.4   2.8  2610  10.4  -3.3   2.0     0    307.9   1.8   3.2         
   725   2.1   3.3  2891   8.9  -1.8   4.0     0    309.3   1.5   3.6         
   700   2.1   3.6  3179   6.5  -1.6  10.0     0    309.7   1.4   3.9         
   650   3.5   3.7  3782   2.5     0  23.0     0    311.8   2.7   4.3         
   600   5.1   2.6  4423  -1.8     0  27.0  2E-2    314.0   4.4   3.6         
   550   7.6   4.2  5108  -6.3  0.63  16.0     0    316.6   6.6   5.6         
   500  11.8   8.5  5846 -11.4   1.3   9.0  2E-2    319.1   9.9  10.7         
   450  10.8  10.6  6642 -17.9   1.9  13.0     0    320.7   8.5  12.5         
   400  13.2  11.7  7510 -24.9   2.6  15.0  3E-2    322.6  10.6  14.1         
   350  14.8  11.9  8464 -33.1   1.5  19.0  1E-2    324.2  12.2  14.6         
   300  11.4  12.3  9527 -41.9   1.7  33.0  2E-2    326.4   8.7  14.3         
   250  12.3  13.6 10737 -50.1     0  60.5  2E-2    331.5   9.4  15.8         
   200  16.0  16.5 12170 -56.4  -1.4  39.3  2E-2    343.5  12.4  19.3         
   150  14.3  22.0 13969 -63.2 -0.14   7.7  2E-2    361.3   9.6  24.4         
   100  10.9  14.1 16428 -67.0 -0.69   4.5  2E-2    398.2   7.9  15.9         
    50   5.7   5.5 20634 -64.3  0.67   6.2  2E-2    492.0   4.5   6.5         
