 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 18  0
 Used Nearest Grid Point ( 148, 209) to Lat:    37.99, Lon:  -122.22
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1014  72.1  1023     0     0  15.9  68.2  -1.9 -0.32  1014  55.2   107  48.2  0.94   524   543  19.8   286   440     0     0     0     0     0  24.1   4.0     0     0   285  10.7                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.3     0   190  14.7  -1.2  73.1  0.89    287.9  -2.2  -0.5         
   975  -5.4  -2.7   404  14.2     0  64.1     0    289.5  -4.7  -3.7         
   950  -6.3 -0.48   623  13.1   2.6  63.0     0    290.5  -6.0  -1.7         
   925  -6.5   1.6   847  13.7   3.1  52.5     0    293.3  -6.7   0.2         
   900  -6.2   1.2  1078  14.7   1.4  26.1     0    296.7  -6.3  -0.1         
   875  -5.4  0.73  1316  14.9  0.84   9.0     0    299.3  -5.4  -0.4         
   850  -3.8  0.87  1561  15.5     0   2.0     0    302.4  -3.9   0.1         
   825 -0.59  0.85  1813  14.9  -2.1   1.0     0    304.3  -0.8   0.7         
   800   1.6   1.4  2071  13.4  -1.8   2.0     0    305.4   1.3   1.7         
   775   2.5   2.3  2337  11.8  -2.6   3.0     0    306.5   2.0   2.8         
   750   2.7   2.9  2610  10.5  -1.5   5.0     0    308.0   2.0   3.4         
   725   2.4   3.5  2890   8.9  -1.8   6.0     0    309.3   1.7   3.9         
   700   2.5   3.8  3179   6.5 -0.68  12.0     0    309.7   1.7   4.3         
   650   3.9   3.9  3781   2.5     0  25.0     0    311.8   3.0   4.6         
   600   5.2   2.9  4422  -1.9     0  28.0  2E-2    313.9   4.5   3.9         
   550   7.3   4.3  5107  -6.5   1.5  18.0     0    316.4   6.3   5.7         
   500  11.9   8.7  5845 -11.4   2.4   9.0  2E-2    319.1  10.0  10.9         
   450  10.8  10.7  6641 -18.0   3.0  14.0     0    320.6   8.4  12.6         
   400  13.2  11.9  7509 -25.1   2.6  15.0  3E-2    322.4  10.6  14.3         
   350  14.8  12.0  8462 -33.2   1.5  19.0  1E-2    324.0  12.1  14.8         
   300  11.6  12.6  9526 -41.9   1.7  34.0  2E-2    326.4   8.9  14.6         
   250  12.5  13.8 10736 -50.3 -0.86  61.5  2E-2    331.4   9.5  16.0         
   200  16.2  16.7 12167 -56.5  -1.4  40.3  2E-2    343.3  12.6  19.6         
   150  14.4  22.1 13966 -63.1 -0.14   7.7  2E-2    361.5   9.7  24.5         
   100  11.0  14.2 16426 -66.9 -0.69   4.5  2E-2    398.5   8.0  16.1         
    50   5.7   5.5 20633 -64.2  0.67   6.2  2E-2    492.3   4.5   6.5         
