 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 18  0
 Used Nearest Grid Point ( 148, 210) to Lat:    38.10, Lon:  -122.25
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1018  40.1  1023     0     0  16.4  69.2  -1.5 -1E-1  1018  35.2   107  40.4   1.1   516   543  20.5   287   864     0     0     0     0     0  24.1   6.0     0     0   284  10.0                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.9  0.26   190  15.0  -1.2  76.1  0.51    288.1  -1.9  -0.1         
   975  -3.7  -2.3   405  14.8     0  60.1     0    290.1  -3.2  -3.0         
   950  -5.4  -1.1   624  13.2  0.80  58.0     0    290.6  -5.1  -2.2         
   925  -5.8  0.82   848  13.0     0  53.5     0    292.6  -5.8  -0.3         
   900  -6.0  0.41  1079  14.3  0.51  26.1     0    296.3  -5.9  -0.8         
   875  -5.4  0.10  1316  14.8 -0.92   9.0     0    299.2  -5.3  -1.0         
   850  -4.0  0.62  1561  15.3  -1.7   2.0     0    302.2  -4.1  -0.2         
   825  -1.2  0.85  1813  14.7  -2.1   2.0     0    304.2  -1.4   0.6         
   800   1.4   1.2  2071  13.2  -1.8   3.0     0    305.3   1.1   1.5         
   775   2.5   2.3  2337  11.9  -2.6   5.0     0    306.6   2.0   2.8         
   750   2.9   3.0  2610  10.5  -2.4   7.0     0    308.0   2.2   3.5         
   725   2.8   3.6  2890   8.8  -1.8   9.0     0    309.1   2.0   4.1         
   700   2.9   4.1  3178   6.4  -1.6  14.0     0    309.6   2.0   4.6         
   650   4.2   4.2  3781   2.5  -1.3  26.0     0    311.8   3.3   4.9         
   600   5.3   3.3  4422  -1.9  0.71  30.0  2E-2    313.9   4.6   4.3         
   550   7.1   4.6  5107  -6.6   1.5  19.0     0    316.3   6.0   5.9         
   500  11.8   8.7  5844 -11.6   3.5   9.0  2E-2    319.0   9.8  10.8         
   450  10.9  10.8  6640 -18.0   3.0  15.0     0    320.6   8.5  12.8         
   400  13.3  12.1  7507 -25.1   2.6  16.0  3E-2    322.4  10.6  14.5         
   350  15.1  12.3  8460 -33.2   1.5  18.0  1E-2    324.0  12.3  15.0         
   300  11.7  12.7  9524 -41.9   1.7  35.0  2E-2    326.4   9.0  14.8         
   250  12.6  14.0 10734 -50.3     0  61.5  2E-2    331.4   9.5  16.2         
   200  16.5  16.8 12164 -56.6 -0.55  40.3  2E-2    343.1  12.8  19.8         
   150  14.5  22.2 13963 -63.1 -0.14   7.7  2E-2    361.5   9.8  24.7         
   100  11.2  14.3 16423 -66.8 -0.69   4.5  2E-2    398.7   8.1  16.2         
    50   5.9   5.6 20631 -64.2  0.67   6.2  2E-2    492.3   4.6   6.7         
