 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 21  0
 Used Nearest Grid Point ( 148, 205) to Lat:    37.58, Lon:  -122.11
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1010  80.1  1019     0     0  22.0  45.1  -2.8  -1.7  1010  31.2   155  51.1   1.1   596  1016  27.2   294   840     0     0     0     0     0  24.1     0     0     0   281   8.2                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.6 -0.94   162  19.9   2.6  49.2   1.2    293.1  -2.4  -1.4         
   975  -3.6  -1.4   379  17.7   1.7  54.9   1.1    293.0  -3.2  -2.0         
   950  -4.2  -1.1   600  16.1   2.8  49.8  0.88    293.5  -3.9  -1.9         
   925  -2.4   3.0   827  16.8 -0.49  24.5  0.12    296.5  -3.0   2.5         
   900  -1.7   4.6  1060  17.2  -3.8  11.7     0    299.3  -2.6   4.1         
   875 -0.43   5.4  1299  16.6  -4.7   6.0     0    301.1  -1.5   5.2         
   850 -0.19   3.8  1545  15.7 -0.99   2.0     0    302.6  -0.9   3.7         
   825 -0.74   2.7  1797  14.8     0   1.0     0    304.2  -1.3   2.5         
   800 -0.48   2.2  2055  13.3     0     0     0    305.4  -0.9   2.0         
   775  0.19   1.6  2321  11.8     0     0     0    306.5  -0.1   1.6         
   750  0.43   1.8  2593  10.6  -1.6     0     0    308.1   0.1   1.8         
   725  0.39   1.8  2874   9.1  -2.2   3.0     0    309.5   0.0   1.9         
   700  0.50   2.3  3163   7.1  -2.1   8.0     0    310.4   0.0   2.4         
   650   1.3   2.8  3767   3.1     0  20.0     0    312.5   0.8   3.0         
   600   2.4   2.7  4409  -1.5   1.3  21.0     0    314.4   1.8   3.1         
   550   7.8   5.3  5096  -5.6   1.2  10.0  2E-2    317.4   6.6   6.7         
   500  10.7   9.5  5834 -11.3   1.3   9.0  2E-2    319.3   8.6  11.4         
   450  11.7  10.7  6631 -17.9   1.6  11.3     0    320.7   9.4  12.8         
   400  14.5  11.3  7499 -25.3   2.3  18.0  2E-2    322.2  12.0  13.9         
   350  14.0  12.6  8451 -33.4   3.0  22.1  2E-2    323.7  11.2  15.1         
   300  11.1  13.6  9513 -42.1   3.0  37.4  3E-2    326.1   8.2  15.6         
   250  16.9  12.3 10726 -49.6 -0.65  61.8  2E-2    332.3  14.2  15.4         
   200  16.7  15.4 12156 -57.0  -3.0  51.3  1E-2    342.6  13.3  18.5         
   150  14.7  20.9 13950 -63.2     0  10.5     0    361.3  10.3  23.4         
   100  12.5  12.8 16410 -66.6  0.13   4.5  2E-2    399.1   9.7  15.0         
    50   4.8   6.1 20620 -64.4  0.12   5.2  2E-2    491.8   3.5   6.9         
