 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 21  0
 Used Nearest Grid Point ( 148, 206) to Lat:    37.68, Lon:  -122.14
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1007   104  1019     0     0  21.7  46.1  -3.1  -1.5  1007  39.2   155  52.7   1.1   588  1016  26.9   293   864     0     0     0     0     0  24.1     0     0     0   281   8.2                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.9 -0.94   163  19.9   6.2  49.2   1.2    293.1  -2.6  -1.5         
   975  -3.8  -1.4   380  17.7   6.0  54.9   1.2    293.0  -3.5  -2.1         
   950  -4.6 -0.95   601  15.9   8.1  52.8   1.0    293.4  -4.3  -1.8         
   925  -3.3   3.0   828  16.5   1.3  28.5  0.12    296.1  -3.9   2.3         
   900  -1.3   3.9  1060  16.6  -3.8  14.7     0    298.6  -2.1   3.6         
   875  0.20   5.1  1299  16.3  -4.7   7.0     0    300.7  -0.8   5.1         
   850  1E-1   4.1  1545  15.8  -2.8   2.0     0    302.7  -0.7   4.0         
   825 -0.36   2.8  1797  14.8     0   1.0     0    304.2  -0.9   2.7         
   800 -0.61   2.4  2055  13.3     0     0     0    305.4  -1.1   2.2         
   775  0.82   1.6  2321  11.8     0     0     0    306.5   0.5   1.8         
   750  0.93   2.0  2593  10.6  -1.6     0     0    308.1   0.5   2.2         
   725  0.76   2.1  2874   9.1  -2.2   2.0     0    309.5   0.3   2.2         
   700  0.87   2.6  3163   7.1  -2.1   8.0     0    310.4   0.3   2.7         
   650   1.7   3.1  3767   3.0     0  20.0     0    312.3   1.1   3.4         
   600   2.6   3.0  4409  -1.5   1.3  22.0     0    314.4   2.0   3.4         
   550   7.8   5.4  5095  -5.8   1.2  11.0  2E-2    317.3   6.5   6.9         
   500  11.2   9.8  5833 -11.4     0   9.0  2E-2    319.1   9.1  11.8         
   450  12.1  10.9  6631 -17.9   1.6  11.3     0    320.7   9.7  13.1         
   400  15.0  11.5  7498 -25.3   2.3  18.0  2E-2    322.2  12.4  14.3         
   350  14.2  12.7  8450 -33.4   3.0  22.1  2E-2    323.7  11.4  15.3         
   300  11.4  13.9  9512 -42.1   3.0  38.4  3E-2    326.1   8.4  15.9         
   250  17.1  12.4 10725 -49.6 -0.65  61.8  2E-2    332.3  14.3  15.5         
   200  16.9  15.8 12155 -57.1  -3.0  53.3  1E-2    342.4  13.5  18.9         
   150  14.8  21.3 13948 -63.2     0  10.5     0    361.3  10.3  23.8         
   100  12.7  12.9 16409 -66.5  0.13   4.5  2E-2    399.3   9.9  15.2         
    50   5.0   6.1 20620 -64.4  0.12   5.2  2E-2    491.8   3.6   6.9         
