 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 21  0
 Used Nearest Grid Point ( 149, 205) to Lat:    37.60, Lon:  -121.98
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1000   160  1019     0     0  21.6  47.1  -3.2  -1.5  1000  63.2   159  52.7  0.94   596   888  26.9   292   384     0     0     0     0     0  24.1     0     0     0   281   7.7                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.9  -1.4   161  20.2   8.3  51.2  0.75    293.4  -2.5  -2.0         
   975  -3.8  -1.5   379  18.1   8.7  54.9   1.1    293.4  -3.4  -2.2         
   950  -4.1  -1.2   601  15.9   4.6  58.8  0.88    293.4  -3.8  -2.0         
   925  -3.4   2.9   827  17.1   2.1  27.5  0.12    296.8  -4.0   2.2         
   900  -1.1   3.9  1060  17.1  -1.2  15.7     0    299.2  -1.8   3.7         
   875 -0.43   4.4  1300  16.5  -3.0   8.0     0    301.0  -1.3   4.2         
   850  0.31   4.9  1545  15.6  -2.8   4.0     0    302.5  -0.7   4.9         
   825 -0.61   2.6  1797  14.9     0   1.0     0    304.4  -1.1   2.4         
   800 -0.73   2.7  2056  13.3   3.6     0     0    305.4  -1.2   2.5         
   775 -0.18   2.0  2321  11.8     0     0     0    306.5  -0.6   1.9         
   750  1E-1   1.7  2594  10.5  -1.6     0     0    308.0  -0.3   1.7         
   725     0   1.3  2874   9.1  -2.2   3.0     0    309.5  -0.3   1.3         
   700  0.25   1.7  3163   7.1  -2.1   8.0     0    310.4  -0.1   1.7         
   650   1.2   2.6  3768   3.2   2.1  19.0     0    312.6   0.7   2.8         
   600   2.1   2.5  4410  -1.3   3.0  20.0     0    314.6   1.6   2.8         
   550   7.4   4.8  5097  -5.8   1.2  10.0  2E-2    317.3   6.3   6.2         
   500  10.6   9.1  5835 -11.3   1.3   9.0  2E-2    319.3   8.6  11.0         
   450  11.6  10.3  6632 -17.9   1.6  11.3     0    320.7   9.3  12.4         
   400  14.4  10.8  7500 -25.3   2.3  18.0  2E-2    322.2  12.0  13.4         
   350  14.0  12.1  8452 -33.4   3.0  23.1  2E-2    323.7  11.3  14.6         
   300  10.8  13.0  9515 -42.1   3.0  35.4  3E-2    326.1   8.0  14.9         
   250  16.6  11.8 10727 -49.5     0  60.8  2E-2    332.5  13.9  14.8         
   200  16.3  15.1 12158 -57.0  -3.0  51.3  1E-2    342.6  13.0  18.0         
   150  14.6  20.7 13952 -63.3     0  10.5     0    361.1  10.2  23.1         
   100  12.4  12.8 16410 -66.6  0.13   4.5  2E-2    399.1   9.6  15.0         
    50   4.8   5.9 20621 -64.4  0.12   5.2  2E-2    491.8   3.6   6.8         
