 Meteorological Profile: 20161103_nam12
 File start time : 16 11  3  0  0
 File ending time: 16 11  3 21  0
 
___________________________________________________ 
 Profile Time:  16 11  3 21  0
 Used Nearest Grid Point ( 150, 206) to Lat:    37.72, Lon:  -121.87
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   990   248  1019     0     0  19.7  53.1  -3.2  -1.5   990  99.2   155  57.4  0.94   588   760  24.5   290   560     0     0     0     0     0  24.1     0     0     0   281   8.2                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.6  -1.1   165  18.9   1.8  57.2  0.75    292.1  -2.4  -1.6         
   975  -3.3  -1.4   382  17.2   1.7  58.9   1.1    292.5  -3.0  -2.0         
   950  -3.9  -1.1   602  14.9   2.8  65.8  0.88    292.4  -3.6  -1.8         
   925  -4.6   3.2   828  16.1   6.5  37.5  0.12    295.8  -5.1   2.2         
   900  -2.2   4.1  1061  16.6   1.5  19.7     0    298.6  -3.0   3.6         
   875 -0.80   4.1  1300  16.4  -1.2  11.0     0    300.8  -1.6   3.9         
   850 -1E-1   4.4  1545  15.8 -0.99   6.0     0    302.7  -0.9   4.3         
   825 -0.36   3.1  1798  14.9  -1.3   2.0     0    304.4  -1.0   3.0         
   800 -0.36   1.9  2056  13.5     0   1.0     0    305.5  -0.7   1.8         
   775  0.44   2.4  2322  11.7     0     0     0    306.4  -0.0   2.4         
   750  0.56   2.0  2594  10.5  -1.6     0     0    308.0   0.1   2.1         
   725  0.14   1.5  2875   9.0  -2.2   2.0     0    309.3  -0.2   1.5         
   700  0.37   1.7  3164   7.1  -2.1   7.0     0    310.4   0.0   1.7         
   650   1.5   2.7  3768   3.2     0  19.0     0    312.6   0.9   2.9         
   600   2.4   2.7  4410  -1.3   3.0  21.0     0    314.6   1.8   3.1         
   550   7.4   4.7  5097  -5.8   4.7  11.0  2E-2    317.3   6.3   6.0         
   500  10.9   8.9  5835 -11.3   4.9   8.0  2E-2    319.3   8.9  10.8         
   450  11.6   9.9  6633 -17.9   3.8  11.3     0    320.7   9.4  12.0         
   400  14.4  10.4  7500 -25.1   3.2  17.0  2E-2    322.3  12.0  13.0         
   350  14.0  11.7  8452 -33.4   2.1  22.1  2E-2    323.7  11.4  14.2         
   300  10.6  12.7  9515 -42.1   1.2  33.4  3E-2    326.1   7.9  14.6         
   250  16.3  11.5 10728 -49.6 -0.65  59.8  2E-2    332.3  13.7  14.5         
   200  16.3  15.1 12158 -57.0  -2.1  52.3  1E-2    342.6  13.0  18.0         
   150  14.5  20.8 13952 -63.3     0  10.5     0    361.1  10.1  23.2         
   100  12.5  12.9 16410 -66.6  0.13   4.5  2E-2    399.1   9.7  15.1         
    50   4.8   5.8 20621 -64.4  0.12   5.2  2E-2    491.8   3.6   6.7         
