 Meteorological Profile: 20161104_nam12
 File start time : 16 11  4  0  0
 File ending time: 16 11  4 21  0
 
___________________________________________________ 
 Profile Time:  16 11  4  0  0
 Used Nearest Grid Point ( 148, 204) to Lat:    37.47, Lon:  -122.09
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1008  88.1  1018     0     0  21.4  53.4 -0.62  -1.3  1008  27.8   8.3  33.2   1.1   127  1180  22.1   296   840     0     0     0     0     0  24.3  30.0     0     0   279   7.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000 -0.53 -0.89   157  20.6  -3.3  52.0  0.25    293.8  -0.3  -1.0         
   975  -1.5 -0.63   375  18.7  -3.4  52.7  0.25    294.0  -1.4  -0.9         
   950  -1.7 -0.14   597  17.2  -3.3  56.0  0.25    294.6  -1.6  -0.5         
   925 -0.99   3.4   824  17.9   1.5  31.9     0    297.6  -1.6   3.1         
   900  0.78   5.2  1058  17.7   1.5  29.0     0    299.7  -0.3   5.2         
   875  0.73   4.5  1298  17.4  0.46  16.0     0    301.8  -0.2   4.6         
   850  0.78   3.1  1545  16.9 -0.90   8.0     0    303.8   0.1   3.2         
   825  4E-2   2.7  1798  15.4  0.76   5.0     0    304.9  -0.5   2.6         
   800 -0.75   2.5  2057  13.4     0   3.0     0    305.4  -1.2   2.3         
   775  -1.5   1.9  2322  11.5   1.4   2.4     0    306.2  -1.9   1.6         
   750  -1.5   1.3  2594  10.1     0   3.0     0    307.5  -1.8   1.0         
   725  -1.5  0.95  2875   8.6  -1.2   5.0     0    309.0  -1.7   0.6         
   700  -1.0   1.2  3163   6.7  -1.2  11.0  2E-2    309.9  -1.2   1.0         
   650 -0.21   2.5  3767   3.2  -1.7  20.0  2E-2    312.6  -0.7   2.4         
   600   1.1   3.2  4409  -1.2 -0.38  19.0  2E-2    314.7   0.4   3.4         
   550   6.2   5.2  5097  -5.4 -0.63   9.0  2E-2    317.6   5.1   6.3         
   500  10.4   8.1  5835 -11.3   1.8  11.0  2E-2    319.2   8.6  10.0         
   450  10.1   9.4  6633 -18.0   2.5  14.0  2E-2    320.6   8.1  11.2         
   400  11.5   9.0  7500 -25.3   2.4  21.0  2E-2    322.1   9.5  11.1         
   350  12.3  12.1  8452 -33.3  0.74  28.0  2E-2    323.9   9.7  14.3         
   300  12.5  13.5  9514 -42.0  0.22  49.0  2E-2    326.1   9.6  15.7         
   250  17.7  10.3 10729 -49.6  -1.7  66.8  2E-2    332.4  15.3  13.6         
   200  15.3  16.5 12156 -57.0  -1.3  48.3  2E-2    342.5  11.7  19.2         
   150  14.8  19.8 13953 -61.8 -0.49   8.6     0    363.6  10.6  22.4         
   100  13.7  10.6 16429 -65.8 -0.14   4.4  2E-2    400.5  11.3  13.1         
    50   3.9   4.6 20637 -64.9 -0.34   5.2  2E-2    490.5   2.9   5.3         
