 Meteorological Profile: 20161104_nam12
 File start time : 16 11  4  0  0
 File ending time: 16 11  4 21  0
 
___________________________________________________ 
 Profile Time:  16 11  4  0  0
 Used Nearest Grid Point ( 148, 206) to Lat:    37.68, Lon:  -122.14
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1006   104  1019     0     0  21.4  54.4  -1.4 -0.97  1006  31.8   2.3  30.1   1.1   127  1052  21.6   295   864     0     0     0     0     0  24.3  24.0     0     0   279   6.6                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.3 -0.27   159  20.8   4.6  52.0  0.50    294.0  -1.2  -0.5         
   975  -2.5 -0.50   377  18.8   5.8  52.7  0.38    294.1  -2.4  -1.0         
   950  -2.7 -0.14   599  17.0   6.8  57.0  0.25    294.5  -2.6  -0.7         
   925  -1.6   2.5   827  17.4   2.4  29.9     0    297.1  -2.1   2.2         
   900  0.15   4.7  1060  17.0  -2.0  31.0     0    299.1  -0.8   4.6         
   875  0.48   5.2  1299  16.5  -3.1  21.0     0    300.9  -0.6   5.2         
   850  0.78   3.6  1545  16.2  -1.8   8.0     0    303.2   0.0   3.7         
   825  4E-2   3.1  1798  15.0     0   5.0     0    304.5  -0.6   3.0         
   800 -0.50   2.8  2056  13.4   2.2   3.0     0    305.4  -1.1   2.7         
   775  -1.0   2.6  2322  11.7   1.4   1.4     0    306.4  -1.5   2.3         
   750 -0.79   2.3  2595  10.3     0   2.0     0    307.8  -1.2   2.1         
   725 -0.54   1.8  2875   8.9     0   4.0     0    309.2  -0.9   1.7         
   700 -0.39   2.0  3164   6.8  -1.2  10.0  2E-2    310.0  -0.8   1.9         
   650  0.54   3.2  3767   3.0 -0.43  21.0  2E-2    312.3  -0.1   3.2         
   600   1.1   3.6  4409  -1.5 -0.38  22.0  2E-2    314.4   0.3   3.8         
   550   6.4   5.2  5096  -5.7  -2.8  10.0  2E-2    317.3   5.2   6.3         
   500  11.2   8.4  5834 -11.5  -2.6  10.0  2E-2    319.1   9.3  10.5         
   450  10.8   9.8  6631 -18.1 -0.80  14.0  2E-2    320.5   8.6  11.7         
   400  12.3   9.5  7498 -25.3   1.1  21.0  2E-2    322.1  10.1  11.8         
   350  13.2  12.6  8449 -33.4   2.1  28.0  2E-2    323.7  10.4  15.0         
   300  12.9  14.1  9511 -42.0   1.1  51.0  2E-2    326.1   9.8  16.4         
   250  17.8  11.0 10726 -49.8  -1.7  65.8  2E-2    332.0  15.3  14.3         
   200  15.6  17.1 12152 -57.1  -1.3  48.3  2E-2    342.3  11.9  19.9         
   150  15.2  20.3 13948 -61.8 -0.49   8.6     0    363.6  10.9  22.9         
   100  13.8  10.8 16426 -65.7 -0.14   4.4  2E-2    400.8  11.4  13.3         
    50   4.3   4.6 20636 -64.8 -0.34   5.2  2E-2    490.8   3.3   5.4         
