 Meteorological Profile: 20161104_nam12
 File start time : 16 11  4  0  0
 File ending time: 16 11  4 21  0
 
___________________________________________________ 
 Profile Time:  16 11  4  0  0
 Used Nearest Grid Point ( 149, 204) to Lat:    37.49, Lon:  -121.95
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1000   160  1018     0     0  21.4  53.4 -0.87 -0.97  1000  23.8  10.3  30.1   1.1   125   924  22.3   296   840     0     0     0     0     0  24.3  24.0     0     0   279   6.3                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000 -0.78 -0.89   157  20.8     0  52.0  0.25    294.0  -0.6  -1.0         
   975  -1.3 -0.63   375  19.0     0  53.7  0.25    294.2  -1.1  -0.9         
   950  -1.9     0   597  17.5   1.5  56.0  0.25    295.0  -1.9  -0.4         
   925  -1.2   2.2   825  18.0   5.9  31.9     0    297.7  -1.6   1.9         
   900 -1E-1   5.2  1059  17.4   2.4  34.0     0    299.5  -1.1   5.1         
   875  0.73   5.8  1299  16.9  0.46  22.0     0    301.3  -0.4   5.8         
   850  0.53   3.8  1545  16.4  0.86   9.0     0    303.3  -0.2   3.8         
   825  0.29   2.8  1797  15.3     0   6.0     0    304.8  -0.3   2.8         
   800 -0.62   2.2  2056  13.4   2.2   4.0     0    305.4  -1.1   2.1         
   775  -1.5   1.9  2322  11.5   2.3   3.4     0    306.2  -1.9   1.6         
   750  -2.0   1.3  2594  10.1   1.4   3.0     0    307.5  -2.3   0.9         
   725  -2.0  0.70  2874   8.6     0   5.0     0    309.0  -2.1   0.3         
   700  -1.4  0.61  3163   6.8  -1.2  11.0  2E-2    310.0  -1.5   0.3         
   650 -0.46   2.4  3767   3.2 -0.43  20.0  2E-2    312.6  -0.9   2.3         
   600  0.58   3.2  4409  -1.2 -0.38  19.0  2E-2    314.7  -0.1   3.3         
   550   5.9   4.8  5097  -5.4  -4.1   8.0  2E-2    317.6   4.8   5.9         
   500  10.4   7.8  5835 -11.3  -2.6  11.0  2E-2    319.2   8.7   9.7         
   450  10.3   9.0  6633 -18.0 -0.80  14.0  2E-2    320.6   8.3  10.9         
   400  11.3   8.5  7500 -25.3   1.1  21.0  2E-2    322.1   9.4  10.6         
   350  12.2  11.5  8452 -33.3   2.1  28.0  2E-2    323.9   9.7  13.7         
   300  12.1  12.9  9514 -42.2   1.1  47.0  2E-2    326.0   9.3  15.0         
   250  17.3  10.0 10729 -49.6  -1.7  65.8  2E-2    332.4  15.0  13.2         
   200  15.0  16.1 12157 -56.9  -1.3  48.3  2E-2    342.7  11.5  18.7         
   150  14.8  19.6 13953 -62.0  0.61   8.6     0    363.3  10.7  22.1         
   100  13.6  10.5 16429 -66.0 -0.14   4.4  2E-2    400.3  11.2  13.0         
    50   3.9   4.6 20636 -64.9 -0.34   5.2  2E-2    490.5   2.9   5.3         
