 Meteorological Profile: 20161104_nam12
 File start time : 16 11  4  0  0
 File ending time: 16 11  4 21  0
 
___________________________________________________ 
 Profile Time:  16 11  4  0  0
 Used Nearest Grid Point ( 149, 206) to Lat:    37.70, Lon:  -122.01
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   997   192  1019     0     0  20.2  58.4  -1.6 -0.84   997  31.8   4.3  30.1  0.94   125   924  20.5   294   424     0     0     0     0     0  24.3  26.0     0     0   279   6.6                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.4 -0.64   160  20.1   4.6  57.0  0.25    293.3  -1.3  -0.9         
   975  -2.1 -0.50   378  18.2   6.7  57.7  0.38    293.5  -2.0  -0.9         
   950  -2.6     0   599  16.5   6.8  60.0  0.25    294.0  -2.5  -0.5         
   925  -2.6   2.3   826  17.6   5.0  28.9     0    297.3  -3.0   1.7         
   900  0.53   4.2  1060  17.0  -1.1  32.0     0    299.1  -0.3   4.2         
   875  0.48   5.2  1300  16.4  -3.1  26.0     0    300.8  -0.6   5.2         
   850  0.91   4.1  1545  15.9  -1.8  12.0     0    302.8   0.1   4.2         
   825  0.16   2.9  1798  15.0  -1.9   6.0     0    304.5  -0.4   2.9         
   800 -0.62   2.8  2056  13.5     0   4.0     0    305.5  -1.2   2.7         
   775  -1.3   2.6  2322  11.6   1.4   2.4     0    306.3  -1.8   2.3         
   750  -1.2   2.0  2595  10.3     0   2.0     0    307.8  -1.5   1.8         
   725  -1.0   1.3  2875   8.9     0   4.0     0    309.2  -1.3   1.1         
   700 -0.76   1.4  3164   6.9  -1.2  11.0  2E-2    310.2  -1.0   1.2         
   650  0.29   2.9  3767   3.1  -1.7  21.0  2E-2    312.5  -0.3   2.9         
   600  0.83   3.6  4409  -1.5 -0.38  22.0  2E-2    314.4   0.1   3.7         
   550   6.1   5.1  5096  -5.7  -1.5  10.0  2E-2    317.3   5.0   6.2         
   500  11.1   8.2  5834 -11.3  -1.5   9.0  2E-2    319.2   9.2  10.2         
   450  10.6   9.4  6631 -18.1  0.30  13.0  2E-2    320.5   8.6  11.3         
   400  12.0   9.0  7498 -25.3   1.1  21.0  2E-2    322.1  10.0  11.2         
   350  12.9  12.0  8450 -33.4   2.1  28.0  2E-2    323.7  10.3  14.3         
   300  12.5  13.5  9512 -42.2   1.1  49.0  2E-2    326.0   9.6  15.7         
   250  17.4  10.5 10726 -49.7  -1.7  65.8  2E-2    332.2  15.0  13.7         
   200  15.3  16.7 12153 -57.0  -2.6  49.3  2E-2    342.5  11.6  19.4         
   150  15.1  20.2 13949 -62.0 -0.49   8.6     0    363.3  10.8  22.8         
   100  13.8  10.6 16426 -65.8 -0.14   4.4  2E-2    400.5  11.5  13.2         
    50   4.3   4.6 20635 -64.8 -0.34   5.2  2E-2    490.8   3.3   5.4         
