 Meteorological Profile: 20161104_nam12
 File start time : 16 11  4  0  0
 File ending time: 16 11  4 21  0
 
___________________________________________________ 
 Profile Time:  16 11  4  0  0
 Used Nearest Grid Point ( 150, 206) to Lat:    37.72, Lon:  -121.87
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   990   248  1019     0     0  19.3  62.4  -1.4 -0.72   990  35.8     0  30.1  0.94   125   796  19.5   292   560     0     0     0     0     0  24.3  16.0     0     0   279   6.8                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.2 -0.27   161  19.5  -1.1  60.0  0.25    292.6  -1.1  -0.5         
   975  -1.8 -0.38   378  17.8     0  59.7  0.38    293.1  -1.7  -0.7         
   950  -2.1     0   600  15.9   1.5  62.0  0.25    293.3  -2.0  -0.4         
   925  -2.2   2.0   826  16.4   2.4  37.9     0    296.1  -2.6   1.5         
   900  0.65   3.4  1059  17.4   1.5  29.0     0    299.5  -0.0   3.5         
   875  0.85   4.4  1299  16.6   1.3  30.0     0    301.1  -0.0   4.5         
   850  0.78   3.0  1545  16.0 -0.90  17.0     0    302.9   0.2   3.1         
   825  0.16   2.7  1798  15.2  -1.9   7.0     0    304.6  -0.4   2.7         
   800 -0.87   2.2  2057  13.7  -1.3   5.0     0    305.8  -1.3   2.0         
   775  -1.5   2.2  2322  11.6  -1.2   4.4     0    306.3  -1.9   1.9         
   750  -1.5   2.0  2595  10.1  -1.3   3.0     0    307.5  -1.9   1.7         
   725  -1.4   1.1  2875   8.5  -1.2   4.0     0    308.8  -1.6   0.8         
   700  -1.1  0.98  3163   6.8  -3.0   9.0  2E-2    310.0  -1.3   0.7         
   650  0.16   2.5  3767   3.2  -1.7  21.0  2E-2    312.6  -0.3   2.5         
   600  0.83   3.6  4410  -1.4 -0.38  21.0  2E-2    314.6   0.1   3.7         
   550   6.1   4.9  5097  -5.6  0.69  10.0  2E-2    317.5   5.0   6.0         
   500  10.8   7.9  5835 -11.5   1.8   9.0  2E-2    319.1   9.0   9.9         
   450  10.4   9.0  6632 -18.0   2.5  13.0  2E-2    320.6   8.4  10.9         
   400  11.7   8.4  7499 -25.3   2.4  21.0  2E-2    322.1   9.8  10.5         
   350  12.7  11.4  8451 -33.3   2.1  28.0  2E-2    323.9  10.2  13.7         
   300  12.0  13.0  9513 -42.2  0.22  47.0  2E-2    326.0   9.2  15.1         
   250  17.0  10.0 10727 -49.7  -2.6  65.8  2E-2    332.2  14.7  13.1         
   200  15.0  16.3 12154 -57.0  -2.6  50.3  2E-2    342.5  11.5  19.0         
   150  15.1  19.9 13950 -62.1 -0.49   8.6     0    363.1  10.9  22.5         
   100  13.6  10.6 16426 -65.8 -0.14   4.4  2E-2    400.5  11.2  13.1         
    50   4.3   4.6 20635 -64.9 -0.34   5.2  2E-2    490.5   3.3   5.4         
