 Meteorological Profile: 20160518_nam12
 File start time : 16  5 18  0  0
 File ending time: 16  5 18 21  0
 
___________________________________________________ 
 Profile Time:  16  5 18 18  0
 Used Nearest Grid Point ( 413, 208) to Lat:    39.80, Lon:   -85.99
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   992   248  1021     0     0  19.5  39.6  -2.6  -3.5   992   235   295  79.4   1.1   981  3079  26.1   294   864     0     0     0     0     0  24.2     0  28.0     0   280   7.7                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.3  -3.2   181  17.5  -2.8  43.1   1.7    290.7  -2.5  -3.1         
   975  -3.1  -3.6   397  15.1  -2.8  46.1   3.4    290.4  -3.3  -3.4         
   950  -3.8  -4.1   615  12.4  -1.7  52.1   3.5    289.8  -4.0  -3.8         
   925  -4.2  -4.3   837   9.8  -1.9  55.5   3.5    289.4  -4.5  -4.0         
   900  -4.4  -4.4  1064   7.6  -1.6  62.4   3.2    289.4  -4.6  -4.1         
   875  -4.4  -4.5  1295   5.5     0  72.7   2.9    289.5  -4.7  -4.2         
   850  -4.3  -4.6  1531   3.4     0  81.9   2.6    289.7  -4.6  -4.3         
   825  -4.9  -5.0  1773   1.7     0  70.1   1.9    290.5  -5.2  -4.7         
   800  -5.5  -5.4  2020  0.58  0.60  57.3  0.77    291.8  -5.9  -5.0         
   775  -4.6  -5.4  2274 -0.68  0.84  60.1  0.14    293.1  -4.9  -5.1         
   750  -3.1  -4.9  2535  -2.2  0.57  66.0     0    294.2  -3.4  -4.7         
   725  -1.5  -3.8  2804  -3.8  0.66  67.6     0    295.3  -1.8  -3.7         
   700  0.55  -3.0  3080  -5.3     0  52.1     0    296.6   0.4  -3.0         
   650   5.6  -2.5  3659  -6.7 -0.68   8.0     0    301.4   5.4  -2.9         
   600   9.8  -1.5  4281  -8.9 -0.73   6.0     0    305.9   9.7  -2.1         
   550  12.1 -0.34  4950 -13.1  0.65   5.0  2E-2    308.5  12.1  -1.1         
   500  17.2   1.5  5668 -17.2  0.65   3.0  2E-2    312.1  17.2   0.4         
   450  25.0   4.7  6451 -21.5  0.69   3.0  2E-2    316.2  25.3   3.0         
   400  28.0   6.7  7308 -28.1   2.0  16.0  2E-2    318.5  28.4   4.8         
   350  27.7   8.2  8249 -36.4   1.6  22.0  2E-2    319.7  28.2   6.4         
   300  28.6   9.0  9297 -45.3  0.51  33.0  2E-2    321.6  29.1   7.1         
   250  34.6   6.9 10491 -52.2  0.45  27.0  2E-2    328.4  35.0   4.6         
   200  31.2   8.0 11924 -54.4 -0.43   2.0  2E-2    346.6  31.6   6.0         
   150  23.4   5.5 13765 -54.6  0.15     0  2E-2    376.0  23.7   3.9         
   100  16.6   2.7 16335 -59.0 -0.19   1.3  2E-2    413.8  16.7   1.6         
    50   5.5   2.0 20666 -57.2 -0.53   1.4  2E-2    508.7   5.6   1.6         
