 Meteorological Profile: 20160518_nam12
 File start time : 16  5 18  0  0
 File ending time: 16  5 18 21  0
 
___________________________________________________ 
 Profile Time:  16  5 18 21  0
 Used Nearest Grid Point ( 411, 208) to Lat:    39.81, Lon:   -86.27
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   991   248  1021     0     0  18.8  39.5  -2.4  -4.3   991   231   167  65.3   1.1   672  2822  23.3   296   864     0     0     0     0     0  24.2     0     0     0   281   8.0                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.0  -3.4   174  17.8  1.00  38.1   1.2    291.0  -2.2  -3.2         
   975  -2.6  -4.4   389  16.1   1.9  39.1   2.5    291.4  -2.8  -4.3         
   950  -2.7  -4.8   609  13.8   2.5  44.1   2.6    291.2  -3.0  -4.6         
   925  -2.7  -5.0   832  11.7   3.9  49.2   2.5    291.3  -3.0  -4.8         
   900  -2.7  -5.0  1061   9.4   4.7  54.9   2.4    291.2  -3.0  -4.8         
   875  -2.8  -5.0  1293   7.1   6.0  61.7   2.2    291.2  -3.1  -4.8         
   850  -2.8  -5.0  1531   4.8   6.9  70.8   1.9    291.2  -3.1  -4.8         
   825  -3.2  -5.4  1773   2.8   7.0  55.2   1.4    291.5  -3.5  -5.2         
   800  -2.3  -5.5  2021  0.96   7.9  48.2  0.53    292.2  -2.7  -5.3         
   775 -0.83  -4.8  2275 -0.77   6.2  59.0  0.12    293.0  -1.1  -4.8         
   750  0.77  -3.9  2536  -2.3   6.3  60.2     0    294.1   0.5  -3.9         
   725   2.4  -2.7  2805  -3.6   3.2  53.0     0    295.6   2.2  -2.8         
   700   3.9  -2.7  3081  -4.8   4.5  28.6     0    297.2   3.7  -3.0         
   650   6.4  -3.3  3662  -5.8   2.7   3.2     0    302.4   6.1  -3.7         
   600  10.0  -2.7  4285  -8.7   8.0   5.7     0    306.1   9.8  -3.3         
   550  13.0  -1.8  4953 -13.2   6.2   9.0     0    308.4  12.8  -2.7         
   500  18.6  -1.0  5672 -17.3   5.2   4.0  2E-2    312.0  18.5  -2.2         
   450  26.5   1.6  6454 -21.8   4.7   3.0  2E-2    315.8  26.5  -0.1         
   400  30.0   4.8  7310 -28.2   3.2   1.1  2E-2    318.4  30.2   2.9         
   350  30.6   6.4  8252 -35.6   2.7   6.2  2E-2    320.7  30.9   4.4         
   300  31.9   6.4  9303 -44.7   1.5  36.4  2E-2    322.3  32.2   4.3         
   250  36.1   5.4 10499 -52.5     0  27.1  2E-2    328.1  36.4   3.0         
   200  32.8   5.9 11929 -54.4  0.85   6.0  2E-2    346.7  33.1   3.8         
   150  26.8   5.7 13767 -55.6     0     0  2E-2    374.2  27.1   4.0         
   100  16.7   4.2 16328 -59.0 -0.19   1.3  2E-2    413.7  16.9   3.1         
    50   4.5   1.2 20662 -56.9  1E-1   1.3  2E-2    509.4   4.6   0.9         
