 Meteorological Profile: 20160518_nam12
 File start time : 16  5 18  0  0
 File ending time: 16  5 18 21  0
 
___________________________________________________ 
 Profile Time:  16  5 18 21  0
 Used Nearest Grid Point ( 413, 207) to Lat:    39.69, Lon:   -86.00
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   992   240  1021     0     0  18.4  42.5  -1.9  -4.8   992   299   119  55.9  0.28   672  2822  21.3   291   744     0     0     0     0     0  24.2     0     0     0   281   8.2                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.9  -4.5   173  17.7   1.9  39.1  0.89    290.8  -2.2  -4.4         
   975  -2.2  -5.3   389  16.0   3.2  40.1   2.0    291.3  -2.5  -5.2         
   950  -2.4  -5.5   608  13.7   4.7  45.1   2.2    291.1  -2.8  -5.4         
   925  -2.4  -5.6   832  11.6   6.5  50.2   2.1    291.1  -2.7  -5.5         
   900  -2.4  -5.7  1060   9.3   7.3  55.9   2.0    291.1  -2.8  -5.6         
   875  -2.4  -5.7  1292   7.0   9.5  63.7   1.8    291.1  -2.8  -5.6         
   850  -2.4  -5.7  1529   4.7   8.7  71.8   1.6    291.1  -2.8  -5.5         
   825  -2.9  -5.6  1772   2.9   8.8  50.2   1.0    291.7  -3.3  -5.4         
   800  -2.6  -5.2  2020   1.3   7.9  42.2  0.40    292.6  -2.9  -5.0         
   775  -1.5  -4.6  2274 -0.27   6.2  54.0     0    293.5  -1.8  -4.5         
   750 -0.10  -3.5  2536  -1.9   6.3  59.2     0    294.5  -0.3  -3.5         
   725   1.4  -2.3  2805  -3.3   3.2  54.0     0    295.8   1.3  -2.4         
   700   3.1  -2.4  3081  -4.6   4.5  30.6     0    297.4   3.0  -2.6         
   650   6.7  -3.3  3663  -5.7   2.7   3.2     0    302.5   6.5  -3.8         
   600  10.5  -2.3  4286  -8.4   4.4   4.7     0    306.4  10.3  -3.0         
   550  13.3  -1.3  4954 -13.1   6.2   8.0     0    308.5  13.2  -2.2         
   500  19.1 -0.51  5674 -16.9   3.4   3.0  2E-2    312.5  19.0  -1.8         
   450  27.3   2.0  6458 -21.3   3.0   1.0  2E-2    316.5  27.4   0.2         
   400  29.9   5.1  7314 -28.2   3.2   7.1  2E-2    318.4  30.1   3.1         
   350  30.1   6.8  8257 -35.6   3.6  11.2  2E-2    320.7  30.5   4.8         
   300  33.0   6.9  9308 -44.6   1.5  35.4  2E-2    322.5  33.4   4.7         
   250  39.1   6.4 10506 -52.2     0  27.1  2E-2    328.4  39.4   3.8         
   200  34.2   6.7 11935 -54.6  0.85   8.0  2E-2    346.3  34.6   4.4         
   150  27.2   6.0 13771 -55.8     0     0  2E-2    374.0  27.5   4.1         
   100  16.4   3.9 16332 -59.1 -0.19   1.3  2E-2    413.5  16.7   2.8         
    50   4.4   1.3 20664 -56.9  1E-1   1.3  2E-2    509.4   4.5   1.0         
