 Meteorological Profile: 20160519_nam12
 File start time : 16  5 19  0  0
 File ending time: 16  5 19 21  0
 
___________________________________________________ 
 Profile Time:  16  5 19 21  0
 Used Nearest Grid Point ( 410, 206) to Lat:    39.60, Lon:   -86.42
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   993   240  1022     0     0  19.8  43.3  -4.1 -0.50   993   331  86.2  47.2  0.28   674  2820  21.8   288   744     0     0     0     0     0  24.2     0     0     0   281   8.2                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -3.9 -0.44   185  19.1 -0.58  38.9  0.75    292.2  -3.9  -0.2         
   975  -4.6 -0.59   401  17.4     0  39.9   1.8    292.6  -4.6  -0.3         
   950  -4.8 -0.63   622  15.2   2.5  44.5   1.8    292.6  -4.8  -0.3         
   925  -4.9 -0.69   847  13.0   3.8  49.0   1.8    292.6  -4.9  -0.4         
   900  -5.0 -0.80  1076  10.7   6.2  55.1   1.8    292.6  -5.0  -0.5         
   875  -4.9 -0.88  1310   8.3   7.0  61.5   1.5    292.5  -5.0  -0.6         
   850  -4.9 -0.84  1548   6.1   7.6  70.5   1.2    292.6  -5.0  -0.5         
   825  -5.4 -0.89  1792   4.1   8.3  56.5  0.75    293.0  -5.4  -0.6         
   800  -6.4     0  2041   4.0   8.0  16.6  0.25    295.5  -6.4   0.4         
   775  -5.5  -1.2  2299   3.3   6.4  25.9     0    297.4  -5.6  -0.8         
   750  -3.8  -1.1  2564   2.1   6.6  21.7     0    298.8  -3.8  -0.8         
   725  -1.8 -0.77  2837   1.6   2.9  14.1     0    301.3  -1.9  -0.7         
   700 -0.11 -0.27  3118  0.50   1.9   9.4     0    303.1  -0.1  -0.3         
   650   2.5  0.66  3708  -3.0     0   7.4     0    305.6   2.6   0.5         
   600   4.8  0.21  4337  -6.6   3.6   5.3     0    308.5   4.9  -0.1         
   550   7.6  -1.2  5011 -10.6   7.9   3.3     0    311.5   7.5  -1.7         
   500  11.1  -1.1  5736 -15.3   7.0   4.4  2E-2    314.4  11.0  -1.8         
   450  15.2  -1.6  6523 -21.0   9.2   7.1  2E-2    316.8  15.1  -2.5         
   400  19.6  -1.8  7380 -28.0   8.9  15.0  2E-2    318.6  19.5  -3.1         
   350  24.7  -1.1  8322 -35.5   8.0  25.0  2E-2    320.9  24.6  -2.6         
   300  36.5  -6.2  9378 -42.9   7.4  20.4  2E-2    324.9  36.0  -8.4         
   250  56.6  -5.0 10585 -50.9   4.4  53.6  2E-2    330.4  56.1  -8.6         
   200  48.1  -9.8 12002 -60.7 -0.84  33.0  1E-2    336.7  47.4 -12.8         
   150  28.5   3.3 13804 -59.1  -1.4   4.0  2E-2    368.4  28.6   1.5         
   100  16.4   4.4 16341 -59.2 -0.45   1.3  2E-2    413.3  16.7   3.4         
    50   6.9   1.8 20682 -57.4   1.1   1.3  2E-2    508.3   7.0   1.4         
