 Meteorological Profile: 20160519_nam12
 File start time : 16  5 19  0  0
 File ending time: 16  5 19 21  0
 
___________________________________________________ 
 Profile Time:  16  5 19 18  0
 Used Nearest Grid Point ( 413, 207) to Lat:    39.69, Lon:   -86.00
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   993   240  1021     0     0  20.8  37.7  -3.3  -1.1   993   385   214  58.3  0.28   997  3194  24.0   288   744     0     0     0     0     0  24.2     0     0     0   280   8.3                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.9  -1.2   180  18.8  -4.7  37.2   1.1    292.0  -3.0  -1.0         
   975  -3.6  -1.3   397  16.1  -4.7  39.2   2.5    291.4  -3.7  -1.1         
   950  -4.1  -1.6   617  13.5  -2.9  43.2   2.9    290.9  -4.2  -1.3         
   925  -4.4  -1.7   840  11.3  -2.9  47.0   2.9    290.9  -4.5  -1.4         
   900  -4.8  -1.5  1067   9.2  -2.9  53.0   2.8    291.0  -4.9  -1.2         
   875  -4.8  -1.5  1300   7.1  -3.1  61.5   2.5    291.2  -4.9  -1.2         
   850  -5.0  -1.5  1537   4.7  -2.4  72.3   2.2    291.0  -5.1  -1.2         
   825  -5.7  -1.2  1780   3.0  -2.8  47.3   1.5    291.7  -5.8  -0.8         
   800  -6.7  -1.5  2028   2.7  -1.5  19.1  0.56    294.0  -6.8  -1.0         
   775  -6.3  -2.4  2285   2.4  -1.1  26.0     0    296.4  -6.4  -2.0         
   750  -5.1  -2.7  2549   1.1     0  26.6     0    297.7  -5.3  -2.4         
   725  -3.4  -2.8  2820  0.38     0  19.2     0    299.9  -3.6  -2.6         
   700  -1.4  -2.8  3101 -0.32     0  13.6     0    302.1  -1.6  -2.7         
   650   1.2  -2.2  3690  -3.2  0.22   7.4     0    305.3   1.1  -2.3         
   600   3.3  -2.2  4317  -7.3   1.8   7.0     0    307.7   3.1  -2.5         
   550   7.3  -3.9  4990 -11.2   2.0   4.0  2E-2    310.9   7.1  -4.4         
   500  12.0  -4.4  5713 -16.4   3.7   5.0  2E-2    313.1  11.7  -5.2         
   450  16.5  -3.3  6497 -21.4   2.1   8.0  2E-2    316.3  16.2  -4.4         
   400  19.9  -2.1  7353 -28.2   1.9  13.0  2E-2    318.3  19.7  -3.4         
   350  24.3 -0.98  8293 -36.6   1.5  27.0  2E-2    319.4  24.1  -2.6         
   300  30.2   2.1  9342 -45.1  0.75  51.0  2E-2    321.8  30.2   0.1         
   250  39.5   1.5 10535 -53.2   2.4  37.0  2E-2    327.0  39.5  -1.1         
   200  34.8   4.3 11958 -55.5   2.2  24.0  2E-2    344.9  35.1   1.9         
   150  27.2   4.8 13784 -57.4  -1.1   3.0  2E-2    371.2  27.4   3.0         
   100  16.1   5.2 16332 -58.9 -0.99   1.3  2E-2    414.0  16.4   4.1         
    50   5.1   4.0 20668 -57.9  3E-2   1.3  2E-2    507.1   5.3   3.6         
