 Meteorological Profile: 20160519_nam12
 File start time : 16  5 19  0  0
 File ending time: 16  5 19 21  0
 
___________________________________________________ 
 Profile Time:  16  5 19 21  0
 Used Nearest Grid Point ( 413, 207) to Lat:    39.69, Lon:   -86.00
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
   993   240  1022     0     0  19.9  41.3  -3.9 -0.75   993   295   110  47.2  0.28   674  2820  22.6   291   720     0     0     0     0     0  24.2     0     0     0   281   7.9                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -3.6 -0.69   186  19.1   1.2  38.9  0.75    292.2  -3.7  -0.5         
   975  -4.2 -0.72   402  17.4   1.8  39.9   1.8    292.6  -4.2  -0.4         
   950  -4.4 -0.75   623  15.2   3.4  44.5   2.0    292.6  -4.5  -0.5         
   925  -4.5 -0.82   848  13.0   3.8  49.0   2.0    292.6  -4.6  -0.5         
   900  -4.6 -0.80  1077  10.7   6.2  55.1   1.9    292.6  -4.6  -0.5         
   875  -4.7 -0.76  1310   8.3   7.0  62.5   1.8    292.5  -4.7  -0.4         
   850  -4.7 -0.84  1549   6.1   7.6  70.5   1.5    292.6  -4.7  -0.5         
   825  -5.1 -0.64  1793   3.9   8.3  63.5   1.0    292.7  -5.1  -0.3         
   800  -6.0     0  2042   3.7   8.0  20.6  0.25    295.1  -6.0   0.4         
   775  -5.2  -1.3  2299   3.0   6.4  24.9     0    297.0  -5.3  -1.0         
   750  -3.8  -1.7  2564   2.0   6.6  20.7     0    298.7  -3.9  -1.5         
   725  -2.0  -1.4  2836   1.5   6.4  13.1     0    301.1  -2.0  -1.3         
   700 -0.24 -0.89  3118  0.38   5.4   9.4     0    302.9  -0.3  -0.9         
   650   2.6  0.28  3708  -3.0   5.1   6.4     0    305.6   2.7   0.1         
   600   4.8 -4E-2  4336  -6.9   3.6   6.3     0    308.2   4.8  -0.4         
   550   7.8  -1.6  5010 -10.7   7.9   3.3     0    311.4   7.7  -2.1         
   500  11.7  -1.4  5734 -15.7  10.5   5.4  2E-2    313.9  11.6  -2.2         
   450  15.6  -1.8  6520 -21.1   9.2   8.1  2E-2    316.7  15.4  -2.9         
   400  19.3  -2.1  7377 -28.3   8.9  11.0  2E-2    318.2  19.1  -3.4         
   350  24.4  -1.1  8318 -35.9   8.0  27.0  2E-2    320.4  24.3  -2.7         
   300  35.0  -5.4  9372 -43.2   7.4  16.4  2E-2    324.6  34.6  -7.7         
   250  57.7  -7.4 10579 -50.8   4.4  52.6  2E-2    330.6  57.1 -11.2         
   200  46.4  -9.6 11996 -60.7 -0.84  34.0  1E-2    336.7  45.6 -12.6         
   150  28.1   2.5 13801 -58.7  -1.4   3.0  2E-2    369.0  28.2   0.7         
   100  16.8   4.7 16342 -59.1 -0.45   1.3  2E-2    413.5  17.1   3.5         
    50   6.9   1.7 20683 -57.4   1.1   1.3  2E-2    508.3   7.0   1.2         
