 alt    temp   hum  wind-dir spd
(m-AGL)  (C)   (%)  (°)          (m/s)
  5000  -11.3    3      285 7.5
  4900  -10.6    2      283 7.6
  4800   -9.5    2      287 7.4
  4700   -8.6    1      287 7.4
  4600   -7.9    2      279 7.3
  4500   -7.2    2      276 7.1
  4400   -6.6    2      279 6.7
  4300   -6.0    1      284 6.0
  4200   -5.6    1      283 5.4
  4100   -5.2    1      281 4.8
  4000   -4.7    2      279 4.4
  3900   -4.1    3      276 4.2
  3800   -3.6    3      271 3.9
  3700   -3.2    3      263 3.5
  3600   -2.4    4      257 3.2
  3500   -2.2    5      256 3.0
  3400   -1.3    6      260 2.8
  3300   -0.5    6      259 2.7
  3200    0.2    5      253 2.2
  3100    0.8    5      261 1.5
  3000    1.4    6      307 0.8
  2900    1.8    7       69 0.6
  2800    2.2    7       13 1.2
  2700    2.9    6      189 1.8
  2600    3.1    3       17 1.0
  2500    3.0    4      181 2.2
  2400    2.6    7       58 4.0
  2300    2.6   14       78 5.5
  2200    2.7   19       76 5.7
  2100    3.1   23       85 5.2
  2000    3.7   27       97 5.6
  1900    2.4   59       96 5.7
  1800    3.2   61       93 4.8
  1700    4.0   57      104 4.5
  1600    4.9   55       86 3.8
  1500    6.2   51       85 3.5
  1400    7.1   49       89 3.2
  1300    7.8   47       84 2.6
  1200    8.8   44       80 2.1
  1100   10.0   41       81 3.4
  1000   11.1   39       92 3.1
   900   12.2   37       90 4.9
   800   13.2   36       62 4.6
   700   14.1   34       76 5.7
   600   15.0   33       65 4.4
   500   16.0   31       71 4.9
   400   17.4   30       74 5.4
   300   18.3   29       61 2.6
   200   19.2   28       38 3.1
   100   19.9   27       57 4.0
    10                      
