 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 18  0
 Used Nearest Grid Point ( 147, 207) to Lat:    37.76, Lon:  -122.30
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1015  32.1  1018     0     0  15.4  92.2  -1.2   2.0  1015   8.0  36.4  14.1     0   544   771  16.9   273  1000     0     0     0     0     0  24.2     0     0     0   281   8.2                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.5   2.4   152  15.1   4.7  83.6  0.10    288.3  -1.9   2.1         
   975  -1.8   3.6   368  14.9   4.7  74.9  0.25    290.2  -2.5   3.2         
   950  -1.0   8.4   588  14.9   4.9  66.0     0    292.4  -2.7   8.0         
   925     0  10.0   813  13.8   3.9  63.1     0    293.4  -2.0   9.8         
   900  0.72  11.0  1043  12.6   1.6  58.0     0    294.5  -1.5  10.9         
   875   2.1  11.6  1279  11.6  -1.0  48.5     0    295.9  -0.3  11.8         
   850   3.9  12.1  1521  11.0  -3.4  37.0     0    297.6   1.4  12.6         
   825   5.4  12.6  1769  10.0  -4.6  28.0     0    299.2   2.8  13.4         
   800   6.2  13.3  2024   8.6  -7.1  20.0     0    300.4   3.4  14.2         
   775   6.5  13.7  2286   7.2  -7.0  15.0     0    301.6   3.7  14.7         
   750   6.8  13.9  2554   6.8  -8.7   8.0     0    304.0   3.9  15.0         
   725   7.0  13.9  2832   6.8  -8.9     0     0    306.9   4.0  15.1         
   700   7.4  13.8  3119   6.1  -9.4   1.0  2E-2    309.3   4.4  15.0         
   650   9.2  15.4  3722   2.6  -7.6  24.0  2E-2    311.9   5.9  17.0         
   600  12.2  16.8  4363  -2.2  -6.3  44.0  2E-2    313.6   8.6  18.9         
   550  16.4  16.5  5048  -6.1  -5.1  42.0  2E-2    316.9  12.7  19.5         
   500  20.4  18.0  5787 -11.3  -4.2  51.0  2E-2    319.2  16.3  21.7         
   450  21.3  20.0  6586 -17.1 -0.34  55.0  2E-2    321.8  16.9  23.8         
   400  22.5  20.1  7456 -24.1   1.6  39.0  2E-2    323.7  18.0  24.2         
   350  25.4  21.1  8417 -29.6   2.6  16.0  2E-2    328.9  20.6  25.8         
   300  26.7  22.2  9499 -38.2   3.9  22.0  2E-2    331.5  21.7  27.1         
   250  25.3  23.5 10723 -49.6   4.0  58.0  2E-2    332.3  20.1  28.1         
   200  36.6  24.1 12148 -57.9   4.5  31.0  2E-2    341.1  31.1  30.9         
   150  36.1  19.5 13939 -62.2   2.2   9.7  2E-2    362.9  31.5  26.3         
   100  16.6   9.9 16415 -66.4 -0.10   5.9  2E-2    399.4  14.3  13.0         
    50   1.3  0.42 20644 -62.4 -3E-2   6.1  2E-2    496.5   1.2   0.7         
