 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 18  0
 Used Nearest Grid Point ( 147, 209) to Lat:    37.97, Lon:  -122.35
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1016  24.1  1018     0     0  15.6  92.2 -0.66   1.9  1016  24.0  44.4  17.2     0   544   387  17.2   273  1000     0     0     0     0     0  24.2     0     0     0   281   8.2                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000 -0.74   2.3   152  14.4   2.5  90.6  0.23    287.5  -1.2   2.1         
   975  -1.5   4.1   367  14.4   2.5  77.9  0.25    289.7  -2.3   3.7         
   950 -0.16   8.6   587  15.1   2.7  65.0     0    292.5  -1.9   8.4         
   925  0.72  10.2   813  13.5   3.9  66.1     0    293.1  -1.3  10.1         
   900   1.1  11.0  1043  12.3   3.3  61.0     0    294.1  -1.1  11.0         
   875   2.2  11.6  1278  11.4   1.6  50.5     0    295.6  -0.2  11.8         
   850   3.9  12.1  1520  10.6     0  39.0     0    297.3   1.4  12.6         
   825   5.3  12.6  1768   9.7     0  29.0     0    298.8   2.6  13.4         
   800   6.0  13.1  2022   8.4  -1.8  21.0     0    300.1   3.3  14.1         
   775   6.6  13.7  2283   7.0  -2.6  15.0     0    301.3   3.8  14.8         
   750   6.9  14.1  2552   6.5  -2.5   8.0     0    303.6   3.9  15.2         
   725   7.1  14.2  2829   6.4  -3.6     0     0    306.5   4.1  15.3         
   700   7.7  14.2  3116   6.0  -4.1     0  2E-2    309.1   4.7  15.5         
   650   9.6  15.9  3718   2.5  -3.2  24.0  2E-2    311.8   6.2  17.5         
   600  12.3  17.0  4359  -2.5  -2.8  40.0  2E-2    313.3   8.7  19.1         
   550  16.2  16.4  5044  -6.2  -2.9  37.0  2E-2    316.7  12.6  19.3         
   500  20.5  17.9  5782 -11.5  -2.0  48.0  2E-2    319.1  16.5  21.6         
   450  21.6  20.1  6581 -17.1  -1.4  54.0  2E-2    321.8  17.1  24.0         
   400  22.5  20.2  7451 -24.2  0.31  38.0  2E-2    323.5  18.0  24.3         
   350  25.7  21.4  8412 -29.7   1.2  15.0  2E-2    328.7  20.9  26.1         
   300  27.6  22.8  9493 -38.4  0.82  20.0  2E-2    331.3  22.4  27.8         
   250  26.3  24.5 10716 -49.6   1.8  56.0  2E-2    332.3  20.9  29.3         
   200  37.0  24.7 12142 -57.9   2.3  32.0  2E-2    341.1  31.3  31.6         
   150  35.8  19.1 13934 -61.9   1.1   8.7  2E-2    363.5  31.3  25.9         
   100  16.3   9.7 16412 -66.3 -0.65   4.9  2E-2    399.7  14.1  12.7         
    50   1.4  0.29 20643 -62.3 -3E-2   5.1  2E-2    496.8   1.3   0.6         
