 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 18  0
 Used Nearest Grid Point ( 147, 210) to Lat:    38.08, Lon:  -122.38
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1013  40.1  1018     0     0  16.6  86.2 -0.66   2.0  1013  68.0  96.4  42.2   1.9   544   771  20.4   290   568     0     0     0     0     0  24.2     0     0     0   280   7.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000 -0.74   2.0   153  14.7   2.5  91.6  0.73    287.9  -1.1   1.9         
   975  -1.2   3.3   367  13.9   2.5  84.9  0.50    289.2  -1.8   2.9         
   950  1E-1   8.3   587  14.9  0.46  68.0     0    292.4  -1.6   8.1         
   925   1.1   9.9   812  13.3     0  69.1     0    292.9  -0.9   9.9         
   900   1.2  11.0  1042  12.0  0.71  63.0     0    293.9  -1.0  11.0         
   875   2.1  11.6  1278  11.1     0  52.5     0    295.3  -0.3  11.8         
   850   3.7  12.1  1519  10.5     0  40.0     0    297.1   1.2  12.6         
   825   5.1  12.6  1767   9.5  -1.5  30.0     0    298.7   2.5  13.4         
   800   6.0  13.1  2021   8.3  -2.7  21.0     0    300.0   3.3  14.1         
   775   6.5  13.8  2282   6.7  -3.5  16.0     0    301.1   3.6  14.9         
   750   6.9  14.3  2550   6.2  -3.4  10.0     0    303.3   3.9  15.4         
   725   7.2  14.4  2828   6.3  -3.6     0     0    306.4   4.2  15.6         
   700   7.7  14.5  3115   5.9  -4.1     0  2E-2    309.0   4.7  15.7         
   650   9.8  16.2  3717   2.3  -3.2  22.0  2E-2    311.6   6.4  17.8         
   600  12.4  17.1  4357  -2.6  -2.8  39.0  2E-2    313.1   8.8  19.2         
   550  16.1  16.4  5042  -6.3  -2.9  35.0  2E-2    316.6  12.5  19.3         
   500  20.5  17.9  5779 -11.5  -3.3  47.0  2E-2    319.1  16.5  21.6         
   450  21.7  20.1  6578 -17.1  -1.4  52.0  2E-2    321.8  17.2  24.0         
   400  22.5  20.3  7449 -24.2  -1.0  36.0  2E-2    323.5  17.9  24.4         
   350  26.0  21.5  8409 -29.7  0.37  14.0  2E-2    328.7  21.1  26.3         
   300  27.9  23.3  9490 -38.4  0.82  19.0  2E-2    331.3  22.7  28.4         
   250  26.9  25.0 10713 -49.6   1.8  54.0  2E-2    332.3  21.4  29.9         
   200  37.4  24.9 12138 -58.0   3.6  32.0  2E-2    341.0  31.6  31.9         
   150  35.7  19.0 13931 -61.7   2.2   8.7  2E-2    363.8  31.2  25.7         
   100  16.1   9.5 16411 -66.2  0.45   4.9  2E-2    399.9  13.8  12.6         
    50   1.4  0.29 20642 -62.3 -3E-2   5.1  2E-2    496.8   1.3   0.6         
