 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 18  0
 Used Nearest Grid Point ( 148, 207) to Lat:    37.79, Lon:  -122.17
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1003   128  1018     0     0  18.1  70.2 -0.79   2.0  1003  20.0   136  43.8   1.1   552   771  23.7   290   840     0     0     0     0     0  24.2     0     0     0   280   7.7                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000 -0.74   1.5   154  17.0   1.7  74.6  0.35    290.1  -1.0   1.4         
   975  -1.5   2.5   369  15.1   3.9  75.9  0.75    290.3  -1.9   2.2         
   950  -1.0   7.3   589  15.3   4.9  66.0  0.25    292.7  -2.5   6.9         
   925 -0.40   9.3   815  14.0   6.5  61.1     0    293.7  -2.2   9.0         
   900  0.47  10.2  1045  12.6   4.2  61.0     0    294.5  -1.6  10.1         
   875   1.7  11.0  1281  11.6   1.6  51.5     0    295.9  -0.5  11.1         
   850   3.6  12.0  1523  10.8  -1.7  40.0     0    297.5   1.1  12.4         
   825   5.1  12.7  1771   9.9  -4.6  29.0     0    299.1   2.5  13.5         
   800   6.0  13.1  2026   8.6  -4.4  22.0     0    300.4   3.3  14.1         
   775   6.5  13.4  2287   7.2  -7.0  15.0     0    301.6   3.7  14.5         
   750   6.8  13.9  2556   6.6  -6.9   8.0     0    303.7   3.9  15.0         
   725   6.8  14.2  2834   6.7  -7.1     0     0    306.8   3.9  15.3         
   700   7.4  14.1  3121   6.1  -7.6     0  2E-2    309.3   4.4  15.3         
   650   9.1  15.2  3723   2.7  -6.7  21.0  2E-2    312.0   5.9  16.7         
   600  12.1  16.8  4364  -2.3  -6.3  46.0  2E-2    313.4   8.5  18.9         
   550  16.5  16.4  5050  -6.1  -6.4  43.0  2E-2    316.9  12.9  19.4         
   500  20.6  17.6  5788 -11.2  -4.2  50.0  2E-2    319.4  16.7  21.4         
   450  21.6  19.6  6587 -17.1 -0.34  55.0  2E-2    321.8  17.2  23.5         
   400  22.6  19.8  7458 -24.1   2.5  39.0  2E-2    323.7  18.2  23.9         
   350  25.5  21.0  8419 -29.6   4.8  16.0  2E-2    328.9  20.8  25.7         
   300  26.4  21.8  9501 -38.2   5.2  23.0  2E-2    331.5  21.6  26.6         
   250  24.9  23.0 10725 -49.5   4.0  59.0  2E-2    332.5  19.9  27.5         
   200  36.5  23.6 12151 -57.7   3.6  31.0  2E-2    341.3  31.1  30.4         
   150  36.0  19.2 13942 -62.2   1.1   9.7  2E-2    362.9  31.4  26.0         
   100  16.6   9.7 16417 -66.5 -0.65   5.9  2E-2    399.2  14.3  12.8         
    50   1.3  0.17 20644 -62.4 -3E-2   6.1  2E-2    496.5   1.2   0.4         
