 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 18  0
 Used Nearest Grid Point ( 148, 209) to Lat:    37.99, Lon:  -122.22
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1009  72.1  1018     0     0  18.1  74.2 -0.41   1.6  1009  52.0   132  42.2  0.94   552   643  23.4   289   392     0     0     0     0     0  24.2     0     0     0   280   7.2                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000 -0.49   1.5   152  16.2   3.9  80.6  0.60    289.4  -0.8   1.4         
   975  -1.1   2.5   367  14.8   4.7  76.9  0.50    290.1  -1.6   2.2         
   950 -4E-2   7.4   588  15.7   9.7  62.0     0    293.1  -1.5   7.2         
   925  0.72   9.5   814  13.9   9.1  66.1     0    293.5  -1.2   9.5         
   900   1.1  10.2  1044  12.6   7.7  62.0     0    294.5  -1.0  10.2         
   875   2.0  10.9  1280  11.5   5.1  50.5     0    295.7  -0.3  11.1         
   850   3.7  11.8  1521  10.8   2.7  40.0     0    297.5   1.3  12.3         
   825   5.1  12.6  1770   9.8   1.1  29.0     0    299.0   2.5  13.4         
   800   5.9  13.1  2024   8.4     0  21.0     0    300.1   3.2  14.1         
   775   6.4  13.7  2285   7.1  -1.3  15.0     0    301.5   3.5  14.7         
   750   6.8  14.1  2554   6.3  -1.6  10.0     0    303.5   3.8  15.2         
   725   7.0  14.3  2831   6.4  -2.7     0     0    306.5   4.0  15.4         
   700   7.5  14.3  3118   6.0  -3.2     0  2E-2    309.1   4.5  15.6         
   650   9.4  15.7  3720   2.5  -3.2  21.0  2E-2    311.8   6.1  17.3         
   600  12.3  17.0  4360  -2.6  -2.8  42.0  2E-2    313.1   8.7  19.1         
   550  16.4  16.3  5045  -6.2  -4.2  37.0  2E-2    316.7  12.8  19.2         
   500  20.6  17.6  5784 -11.3  -3.3  47.0  2E-2    319.2  16.7  21.4         
   450  21.7  19.7  6583 -17.1  -1.4  54.0  2E-2    321.8  17.3  23.6         
   400  22.5  20.0  7453 -24.1  -1.0  38.0  2E-2    323.7  18.0  24.0         
   350  25.7  21.1  8414 -29.6  0.37  15.0  2E-2    328.9  21.0  25.9         
   300  27.3  22.5  9496 -38.2  0.82  21.0  2E-2    331.5  22.3  27.5         
   250  25.9  24.1 10719 -49.6   1.8  57.0  2E-2    332.3  20.6  28.8         
   200  36.9  24.2 12145 -57.9   2.3  32.0  2E-2    341.1  31.3  31.1         
   150  35.7  19.0 13937 -62.0     0   8.7  2E-2    363.3  31.2  25.7         
   100  16.3   9.5 16414 -66.4 -0.65   4.9  2E-2    399.4  14.1  12.6         
    50   1.4  0.17 20643 -62.3 -3E-2   5.1  2E-2    496.8   1.3   0.4         
