 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 21  0
 Used Nearest Grid Point ( 147, 207) to Lat:    37.76, Lon:  -122.30
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1011  32.1  1016     0     0  17.7  74.0   1.6   1.8  1011  10.6  48.2  18.3     0   611  1538  18.1   273  1000     0     0     0     0     0  24.2     0     0     0   281   7.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   1.7   2.1   132  19.1  -2.0  60.5     0    292.2   1.3   2.4         
   975   1.3   3.3   350  17.6  -2.0  62.5  0.50    292.9   0.6   3.5         
   950  0.33   4.4   571  16.0  -1.9  62.9  0.50    293.4  -0.6   4.4         
   925 -0.63   7.2   797  14.5   1.8  60.0  0.50    294.2  -2.1   6.9         
   900 -0.89  11.2  1028  13.3  0.53  53.2  0.25    295.2  -3.1  10.8         
   875  0.40  12.8  1265  12.2  -4.2  45.6     0    296.4  -2.2  12.6         
   850   2.5  12.7  1507  11.2  -6.6  37.0     0    297.9  -0.1  13.0         
   825   4.2  12.2  1755  10.2  -6.7  30.0     0    299.4   1.7  12.8         
   800   5.1  12.5  2010   8.9  -6.3  23.1     0    300.7   2.5  13.3         
   775   5.4  13.0  2272   7.3  -7.1  17.2     0    301.7   2.7  13.8         
   750   5.7  13.5  2541   6.5  -6.4  11.1     0    303.6   2.9  14.4         
   725   6.3  14.2  2818   6.5  -2.2   1.0     0    306.6   3.3  15.2         
   700   6.8  14.8  3105   5.8  -3.9     0     0    308.9   3.7  15.9         
   650   8.7  16.1  3707   2.9     0  12.0     0    312.2   5.3  17.5         
   600  11.8  18.1  4349  -1.3   1.6  29.0  2E-2    314.7   7.9  20.1         
   550  15.4  19.1  5036  -5.9   3.9  39.0  2E-2    317.1  11.2  21.8         
   500  19.5  21.3  5775 -11.2   3.2  44.0     0    319.5  14.8  24.7         
   450  23.0  23.3  6574 -17.2   4.8  52.0     0    321.6  17.9  27.4         
   400  26.1  23.9  7445 -23.7   5.0  36.0  2E-2    324.2  20.8  28.6         
   350  26.5  24.4  8407 -29.9   5.4  16.0  2E-2    328.4  21.1  29.2         
   300  26.7  24.0  9486 -38.8   2.8  29.1     0    330.8  21.3  28.8         
   250  27.0  24.1 10708 -49.4  0.46  56.1  2E-2    332.6  21.6  29.0         
   200  37.1  26.2 12137 -57.2  0.35  35.0  1E-2    342.3  31.1  33.1         
   150  34.2  19.9 13934 -62.2 -0.51   8.6  2E-2    363.0  29.6  26.4         
   100  12.8   9.3 16412 -65.8  3E-2   4.9  2E-2    400.7  10.6  11.6         
    50   3.0   1.6 20640 -62.8   1.1   6.1  2E-2    495.6   2.6   2.2         
