 Meteorological Profile: 20161026_nam12
 File start time : 16 10 26  0  0
 File ending time: 16 10 26 21  0
 
___________________________________________________ 
 Profile Time:  16 10 26 21  0
 Used Nearest Grid Point ( 148, 210) to Lat:    38.10, Lon:  -122.25
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1010  40.1  1015     0     0  22.6  51.0  0.35   2.0  1010  46.6   196  51.1   1.1   603  2050  28.9   296   840     0     0     0     0     0  24.2     0     0     0   279   5.9                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  0.22   2.0   131  20.3  -2.0  56.5   1.4    293.5  -0.2   2.0         
   975  0.14   2.4   350  18.1  -2.0  62.5   1.5    293.4  -0.3   2.4         
   950 -4E-2   2.4   571  16.0  -3.6  68.9   1.2    293.4  -0.5   2.4         
   925  0.24   4.8   797  14.4  -6.1  63.0   1.2    294.0  -0.7   4.8         
   900  0.86  10.2  1028  13.4  -3.9  53.2  0.50    295.3  -1.2  10.2         
   875   1.3  12.8  1264  12.2  -2.4  45.6  0.25    296.4  -1.3  12.8         
   850   2.8  12.8  1506  11.0  -4.9  41.0     0    297.6   0.1  13.1         
   825   4.4  12.3  1755   9.9  -4.9  31.0     0    299.1   1.9  13.0         
   800   5.4  12.5  2009   8.7  -2.7  24.1     0    300.4   2.8  13.3         
   775   5.9  13.0  2271   7.1  -3.6  17.2     0    301.4   3.2  13.9         
   750   6.2  13.5  2539   6.2  -2.9  13.1     0    303.3   3.4  14.5         
   725   6.6  14.3  2816   6.2  -2.2   1.0     0    306.3   3.6  15.4         
   700   6.8  15.1  3103   5.7  -3.9     0     0    308.8   3.6  16.1         
   650   8.7  16.3  3705   2.8  -3.6  15.0     0    312.1   5.3  17.7         
   600  12.0  18.3  4347  -1.6  -1.9  38.0  2E-2    314.2   8.1  20.3         
   550  16.0  19.3  5033  -6.2  -1.4  53.0  2E-2    316.7  11.8  22.1         
   500  20.4  21.5  5771 -11.4  -3.9  57.0     0    319.2  15.7  25.2         
   450  23.8  23.4  6569 -17.4  -2.3  52.0     0    321.4  18.6  27.7         
   400  26.5  24.1  7440 -23.8  -2.1  37.0  2E-2    324.1  21.1  28.9         
   350  27.0  24.8  8402 -30.0  -1.6  15.0  2E-2    328.3  21.5  29.7         
   300  27.5  24.7  9480 -38.8 -0.72  27.1     0    330.8  22.1  29.7         
   250  27.8  25.1 10703 -49.5  -1.3  55.1  2E-2    332.5  22.3  30.2         
   200  37.3  26.3 12131 -57.2   1.2  34.0  1E-2    342.3  31.3  33.3         
   150  33.8  19.3 13929 -61.9   2.1   8.6  2E-2    363.4  29.3  25.7         
   100  12.4   8.8 16409 -65.9  3E-2   4.9  2E-2    400.4  10.4  11.1         
    50   3.0   1.6 20639 -62.5   1.1   6.1  2E-2    496.1   2.6   2.2         
