Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
3, 102017, 0.05, 10.10, 18.46, 0
3, 102016, 0.00, 148.60, 19.82, 0
3, 102016, 0.00, 108.70, 19.82, 0
3, 102014, 0.00, 54.80, 19.61, 0
3, 102013, 0.00, 249.40, 19.82, 0
3, 102012, 0.00, 5.00, 19.82, 0
3, 102012, 0.00, 47.00, 19.71, 0
3, 102010, 0.00, 71.20, 18.87, 0
3, 102009, 0.00, 231.50, 19.93, 0
3, 102007, 0.00, 145.10, 19.93, 0
3, 102006, 0.00, 243.90, 19.93, 0
5, 101993, 0.00, 343.20, 16.62, 0
5, 101984, 0.00, 13.20, 16.72, 0
6, 101970, 0.00, 155.90, 17.43, 0
8, 101957, 0.00, 171.10, 17.12, 0
9, 101944, 0.00, 353.90, 17.02, 0
9, 101939, 0.00, 35.10, 17.02, 0
9, 101935, 0.00, 251.80, 17.02, 0
10, 101932, 0.00, 300.60, 17.12, 0
10, 101929, 0.00, 30.50, 17.22, 0
10, 101926, 0.00, 33.20, 17.22, 0
10, 101924, 0.00, 308.80, 17.12, 0
12, 101905, 0.05, 267.90, 17.02, 0
13, 101887, 0.05, 95.50, 16.62, 0
15, 101870, 0.85, 153.60, 16.31, 0
17, 101840, 2.90, 93.50, 15.81, 0
20, 101806, 3.40, 103.40, 15.81, 0
23, 101772, 2.70, 106.80, 15.81, 0
24, 101763, 2.75, 121.30, 15.81, 0
24, 101754, 5.35, 115.60, 15.81, 0
25, 101746, 3.85, 112.90, 15.61, 0
26, 101729, 6.20, 102.60, 15.51, 0
28, 101713, 6.35, 105.90, 15.32, 0
29, 101698, 6.15, 103.10, 15.22, 0
31, 101679, 6.45, 103.10, 15.22, 0
32, 101660, 5.25, 106.70, 15.22, 0
34, 101642, 5.90, 107.40, 15.12, 0
34, 101633, 5.65, 108.90, 15.12, 0
35, 101624, 5.25, 117.60, 15.12, 0
36, 101616, 6.25, 108.40, 15.22, 0
36, 101612, 4.85, 116.20, 15.22, 0
36, 101609, 5.95, 110.00, 15.22, 0
37, 101606, 4.55, 113.80, 15.12, 0
37, 101601, 5.75, 115.20, 15.12, 0
37, 101596, 6.05, 111.50, 15.12, 0
38, 101592, 5.70, 117.80, 15.12, 0
38, 101585, 6.40, 119.30, 15.12, 0
39, 101578, 5.95, 118.90, 15.12, 0
39, 101572, 5.65, 109.40, 15.02, 0
41, 101550, 5.40, 111.40, 15.12, 0
43, 101529, 6.00, 110.00, 15.02, 0
45, 101508, 6.45, 112.40, 14.92, 0
46, 101492, 6.25, 116.60, 14.92, 0
47, 101477, 7.35, 106.70, 15.02, 0
49, 101462, 6.85, 112.00, 15.02, 0
49, 101458, 5.40, 106.90, 15.22, 0
50, 101442, 5.65, 110.50, 15.22, 0
51, 101430, 5.50, 115.40, 15.22, 0
52, 101419, 5.20, 101.00, 15.22, 0
53, 101408, 5.05, 114.40, 15.22, 0
54, 101402, 4.75, 103.50, 15.22, 0
54, 101396, 4.20, 101.90, 15.12, 0
55, 101390, 3.85, 111.50, 15.12, 0
55, 101389, 4.55, 112.70, 15.12, 0
55, 101388, 4.45, 119.50, 15.12, 0
55, 101388, 4.40, 115.20, 15.12, 0
56, 101377, 4.90, 106.10, 15.12, 0
56, 101366, 4.75, 114.30, 15.02, 0
57, 101356, 5.60, 110.30, 15.02, 0
64, 101281, 4.30, 113.30, 14.92, 0
64, 101272, 5.15, 105.10, 14.92, 0
65, 101264, 4.35, 111.80, 14.92, 0
67, 101238, 4.25, 109.40, 14.92, 0
69, 101212, 4.40, 105.30, 14.82, 0
72, 101186, 4.55, 107.70, 14.82, 0
73, 101170, 3.80, 102.30, 14.82, 0
74, 101158, 5.20, 100.30, 14.72, 0
75, 101145, 4.60, 106.60, 14.72, 0
76, 101133, 4.35, 104.80, 14.82, 0
77, 101122, 4.00, 106.10, 14.72, 0
80, 101079, 5.05, 111.50, 14.82, 0
82, 101058, 4.60, 113.30, 14.92, 0
83, 101050, 4.95, 104.50, 14.82, 0
85, 101027, 4.35, 108.90, 14.82, 0
87, 101004, 4.65, 104.50, 14.82, 0
89, 100982, 4.65, 107.70, 14.82, 0
94, 100917, 5.95, 114.90, 14.92, 0
97, 100884, 5.50, 120.90, 14.92, 0
97, 100880, 5.20, 108.90, 14.92, 0
97, 100877, 5.35, 106.30, 14.82, 0
98, 100874, 6.60, 114.60, 15.02, 0
100, 100843, 6.25, 113.10, 15.02, 0
103, 100812, 5.70, 111.30, 14.92, 0
105, 100782, 6.55, 111.60, 14.82, 0
106, 100777, 5.80, 110.10, 14.92, 0
106, 100773, 6.30, 105.30, 14.92, 0
106, 100770, 6.65, 106.50, 14.82, 0
108, 100747, 5.95, 103.30, 14.72, 0
110, 100725, 5.70, 101.30, 14.72, 0
112, 100704, 5.60, 103.30, 14.72, 0
114, 100679, 5.95, 103.60, 14.72, 0
116, 100654, 6.15, 95.80, 14.63, 0
118, 100630, 4.80, 95.20, 14.63, 0
125, 100550, 5.90, 105.10, 14.63, 0
125, 100540, 5.50, 107.70, 14.23, 0
127, 100520, 6.70, 103.10, 14.14, 0
129, 100494, 5.50, 41.00, 14.14, 0
131, 100469, 5.80, 105.40, 14.23, 0
133, 100444, 4.85, 101.50, 14.23, 0
134, 100437, 5.35, 103.10, 14.23, 0
135, 100430, 5.95, 98.90, 14.23, 0
135, 100424, 4.00, 90.60, 14.23, 0
136, 100414, 4.20, 82.70, 14.23, 0
137, 100404, 5.85, 91.90, 14.23, 0
138, 100394, 5.10, 103.10, 14.14, 0
138, 100393, 5.05, 101.40, 14.14, 0
138, 100386, 4.95, 102.50, 14.14, 0
140, 100369, 5.50, 112.20, 14.14, 0
141, 100353, 5.40, 111.30, 14.14, 0
142, 100338, 5.60, 112.60, 14.14, 0
143, 100325, 5.25, 115.10, 14.33, 0
145, 100310, 5.00, 111.70, 14.23, 0
146, 100296, 4.85, 114.30, 14.33, 0
147, 100285, 4.75, 111.40, 14.23, 0
148, 100269, 5.05, 114.00, 14.43, 0
149, 100254, 4.70, 111.50, 14.43, 0
150, 100246, 4.65, 116.50, 14.33, 0
151, 100239, 4.80, 117.10, 14.33, 0
