 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 18  0
 Used Nearest Grid Point ( 142, 213) to Lat:    38.28, Lon:  -123.13
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1019     0  1019     0     0  14.2  85.1   2.0  -2.3  1019  25.8  12.2  17.5     0   510   542  14.6   273  1000     0     0     0     0     0  24.2     0  36.0     0   281   7.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.1  -2.8   160  12.8 -11.7  92.6  0.15    286.0   2.6  -2.3         
   975   2.2  -4.2   373  11.2  -9.7  93.5  1E-1    286.4   3.0  -3.6         
   950  0.84  -3.9   590   9.7  -6.2  89.1     0    287.0   1.6  -3.7         
   925  0.32  -4.6   811   8.5  -4.0  83.5     0    288.0   1.3  -4.5         
   900  0.68  -5.4  1037   7.0  -2.5  77.0     0    288.7   1.8  -5.2         
   875  0.99  -5.9  1268   6.0  -3.0  59.5     0    290.1   2.2  -5.6         
   850   1.0  -5.7  1505   4.8  -4.5  50.0     0    291.2   2.2  -5.3         
   825   1.6  -6.0  1748   3.8  -4.2  42.0     0    292.7   2.8  -5.6         
   800   1.9  -6.2  1997   2.8  -5.0  33.0     0    294.1   3.1  -5.7         
   775   1.6  -6.8  2253   1.9  -3.7  25.0  3E-2    295.8   3.0  -6.3         
   750   1.4  -7.5  2517  0.78  -2.3  19.0     0    297.4   2.9  -7.1         
   725   2.3  -8.6  2788 -0.46  -1.4  14.0  2E-2    299.0   4.0  -7.9         
   700   3.4  -9.6  3067  -1.6 -0.87  11.3     0    300.8   5.3  -8.7         
   650   5.2 -12.8  3653  -4.2   2.0  25.1     0    304.2   7.7 -11.4         
   600   5.2 -17.9  4280  -7.0   5.0  15.0  2E-2    308.1   8.8 -16.4         
   550   6.6 -24.3  4955  -9.9   4.9   1.0  2E-2    312.4  11.5 -22.4         
   500   8.6 -27.1  5682 -15.1   5.8   8.0  2E-2    314.6  14.0 -24.7         
   450   7.0 -29.0  6469 -20.4   5.4  13.0  2E-2    317.6  12.8 -27.0         
   400   5.2 -36.7  7330 -26.7   5.6  25.0  2E-2    320.3  12.6 -34.9         
   350   9.0 -45.9  8278 -34.3   5.6  25.0  2E-2    322.5  18.3 -43.0         
   300  11.0 -46.2  9337 -42.4   2.7  30.2  2E-2    325.6  20.3 -43.0         
   250  12.0 -40.3 10553 -46.2  0.88  13.8  2E-2    337.4  20.1 -37.0         
   200  21.7 -27.9 12032 -47.8  -1.7   4.3  2E-2    357.1  27.0 -22.8         
   150  17.3 -25.3 13884 -58.4  -1.1   2.7  2E-2    369.4  22.2 -21.2         
   100  12.4  -9.9 16371 -68.0  -2.3   5.6  2E-2    396.3  14.1  -7.1         
    50   3.8  -1.9 20548 -65.5 -0.80   7.1  2E-2    489.1   4.1  -1.0         
