 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 18  0
 Used Nearest Grid Point ( 143, 209) to Lat:    37.89, Lon:  -122.88
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1019     0  1019     0     0  14.7  88.1   1.9  -2.7  1019  21.8   4.2  14.3     0   518   542  14.9   273  1000     0     0     0     0     0  24.2     0  68.0     0   280   6.6                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.3  -3.3   161  13.1 -10.8  92.6  1E-1    286.2   2.9  -2.7         
   975   2.3  -4.4   375  11.3  -9.7  89.5     0    286.6   3.2  -3.8         
   950   1.7  -4.2   591   9.3  -6.2  90.1     0    286.6   2.5  -3.7         
   925   1.6  -4.9   812   8.1  -4.0  82.5     0    287.6   2.5  -4.5         
   900   1.8  -6.2  1038   6.7  -2.5  74.0     0    288.5   3.0  -5.7         
   875   2.1  -6.5  1269   5.8  -3.0  58.5     0    289.8   3.4  -5.9         
   850   2.7  -6.2  1506   5.1  -4.5  46.0     0    291.5   3.9  -5.5         
   825   2.5  -5.9  1748   4.0  -4.2  42.0     0    292.8   3.6  -5.3         
   800   2.2  -5.7  1998   3.0  -5.0  35.0     0    294.4   3.3  -5.2         
   775   1.6  -6.5  2254   1.9  -3.7  28.0  3E-2    295.8   2.9  -6.0         
   750   1.7  -8.0  2518  0.65  -2.3  20.0     0    297.3   3.3  -7.5         
   725   2.9  -9.3  2789 -0.33 -0.49  14.0  2E-2    299.1   4.8  -8.5         
   700   4.4 -10.5  3069  -1.3     0  12.3     0    301.1   6.4  -9.4         
   650   6.2 -12.6  3655  -4.3   2.0  28.1     0    304.1   8.6 -11.1         
   600   5.7 -17.5  4281  -7.2   5.0  17.0  2E-2    307.8   9.2 -16.0         
   550   6.9 -24.4  4955 -10.1   4.9   2.0  2E-2    312.1  11.7 -22.5         
   500   9.1 -28.0  5682 -15.1   5.8   7.0  2E-2    314.6  14.7 -25.5         
   450   7.1 -29.9  6469 -20.4   5.4  11.0  2E-2    317.6  13.0 -27.8         
   400   4.5 -37.8  7330 -26.6   5.6  21.0  2E-2    320.4  12.2 -36.1         
   350   8.0 -46.6  8278 -34.3   5.6  27.0  2E-2    322.5  17.4 -44.0         
   300  10.0 -46.5  9337 -42.3   3.5  25.2  2E-2    325.7  19.3 -43.5         
   250  11.9 -40.0 10556 -45.6   2.2  11.8  2E-2    338.3  19.8 -36.7         
   200  22.6 -28.4 12037 -47.8 -0.38   4.3  2E-2    357.1  27.9 -23.2         
   150  15.2 -25.4 13889 -58.2  -1.1   2.7  2E-2    369.8  20.1 -21.8         
   100  11.7  -9.7 16376 -68.1  -2.3   5.6  2E-2    396.1  13.5  -7.1         
    50   4.0  -2.0 20550 -65.8 -0.80   7.1  2E-2    488.5   4.3  -1.1         
