 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 18  0
 Used Nearest Grid Point ( 144, 208) to Lat:    37.80, Lon:  -122.72
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1019     0  1019     0     0  14.9  87.1   2.0  -2.1  1019  21.8     0  12.8     0   518   670  14.9   273  1000     0     0     0     0     0  24.2     0  68.0     0   279   6.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.1  -2.6   161  13.2  -9.5  93.6  1E-1    286.3   2.6  -2.2         
   975   2.3  -3.3   375  11.5  -8.4  88.5     0    286.7   2.9  -2.7         
   950   1.6  -4.1   591   9.5  -6.2  88.1     0    286.9   2.4  -3.7         
   925   1.7  -4.6   812   8.2  -4.0  83.5     0    287.7   2.6  -4.2         
   900   2.3  -5.9  1038   7.0  -2.5  74.0     0    288.7   3.5  -5.3         
   875   2.5  -6.3  1269   5.8  -3.0  62.5     0    289.8   3.7  -5.6         
   850   3.0  -6.2  1506   5.0  -4.5  51.0     0    291.4   4.2  -5.4         
   825   2.9  -5.8  1749   4.0  -5.6  45.0     0    292.8   4.0  -5.1         
   800   2.2  -5.7  1998   2.8  -5.0  38.0     0    294.1   3.3  -5.2         
   775   1.6  -6.4  2254   1.7  -4.6  29.0  3E-2    295.7   2.9  -5.9         
   750   1.8  -7.9  2517  0.65  -3.6  20.0     0    297.3   3.3  -7.4         
   725   3.1  -9.3  2789 -0.33  -1.4  15.0  2E-2    299.1   4.9  -8.5         
   700   4.5 -10.5  3068  -1.4 -0.87  14.3     0    300.9   6.5  -9.4         
   650   6.6 -12.3  3654  -4.5   2.0  29.1     0    303.9   8.9 -10.7         
   600   5.8 -16.9  4281  -7.5   5.0  22.0  2E-2    307.5   9.1 -15.3         
   550   6.8 -23.8  4953 -10.4   6.2   3.0  2E-2    311.8  11.4 -21.9         
   500   8.9 -28.1  5680 -15.1   5.8   5.0  2E-2    314.6  14.4 -25.7         
   450   6.8 -30.0  6467 -20.5   5.4  11.0  2E-2    317.5  12.8 -28.0         
   400   4.4 -37.8  7327 -26.6   5.6  18.0  2E-2    320.4  12.0 -36.1         
   350   7.8 -46.9  8275 -34.3   5.6  30.0  2E-2    322.5  17.2 -44.3         
   300   9.8 -46.4  9334 -42.3   2.7  23.2  2E-2    325.7  19.0 -43.4         
   250  12.0 -39.8 10554 -45.3   2.2  10.8  2E-2    338.7  19.9 -36.6         
   200  23.0 -28.8 12036 -47.7  0.50   4.3  2E-2    357.3  28.3 -23.5         
   150  14.3 -25.4 13889 -57.9  -1.1   2.7  2E-2    370.3  19.2 -22.0         
   100  11.6  -9.7 16377 -68.1  -2.3   5.6  2E-2    396.1  13.3  -7.2         
    50   4.0  -2.0 20551 -65.8 -0.80   7.1  2E-2    488.5   4.3  -1.1         
