 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 18  0
 Used Nearest Grid Point ( 144, 210) to Lat:    38.01, Lon:  -122.78
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1009  80.1  1019     0     0  15.2  81.1   2.0  -2.0  1009  89.8  64.2  45.6   1.9   518   798  17.6   289   480     0     0     0     0     0  24.2     0  68.0     0   279   6.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   1.8  -1.9   160  14.1 -14.3  84.6  0.71    287.2   2.2  -1.5         
   975   2.2  -2.7   374  11.8 -12.8  93.5  0.62    287.1   2.7  -2.1         
   950   1.8  -3.7   591   9.9  -9.7  89.1  0.25    287.3   2.6  -3.2         
   925   1.3  -3.8   812   8.2  -5.8  89.5     0    287.7   2.1  -3.4         
   900   1.6  -5.8  1038   7.1  -5.2  79.0     0    288.8   2.7  -5.3         
   875   1.9  -6.3  1269   5.8  -3.0  68.5     0    289.8   3.1  -5.8         
   850   2.2  -6.1  1506   4.8  -3.1  56.0     0    291.2   3.3  -5.5         
   825   2.4  -5.8  1748   3.5  -3.4  48.0     0    292.3   3.5  -5.2         
   800   2.4  -5.7  1997   2.4  -2.8  40.0     0    293.7   3.5  -5.1         
   775   1.9  -6.3  2253   1.7  -2.4  32.0  3E-2    295.7   3.1  -5.7         
   750   1.4  -7.5  2517  0.65 -0.99  20.0     0    297.3   2.9  -7.1         
   725   2.2  -8.7  2788 -0.58  0.82  14.0  2E-2    298.8   3.9  -8.1         
   700   3.6  -9.9  3067  -1.6   1.3  12.3     0    300.8   5.5  -8.9         
   650   6.1 -12.4  3653  -4.6   2.0  24.1     0    303.8   8.5 -10.9         
   600   5.7 -16.9  4279  -7.5   5.0  24.0  2E-2    307.5   9.0 -15.4         
   550   6.5 -23.4  4952 -10.5   6.2   3.0  2E-2    311.7  11.1 -21.6         
   500   8.5 -27.8  5678 -15.1   6.7   5.0  2E-2    314.6  14.0 -25.5         
   450   6.7 -29.6  6465 -20.6   5.4  11.0  2E-2    317.3  12.6 -27.7         
   400   4.4 -37.5  7326 -26.7   5.6  19.0  2E-2    320.3  12.0 -35.8         
   350   7.9 -46.6  8274 -34.3   5.6  29.0  2E-2    322.5  17.2 -44.1         
   300  10.0 -46.6  9333 -42.3   3.5  24.2  2E-2    325.7  19.3 -43.6         
   250  11.9 -40.0 10551 -45.6  0.88  10.8  2E-2    338.3  19.8 -36.7         
   200  22.7 -28.5 12032 -47.7 -0.38   4.3  2E-2    357.3  28.1 -23.3         
   150  15.2 -25.5 13886 -57.9  -2.2   2.7  2E-2    370.3  20.1 -21.9         
   100  11.9  -9.7 16374 -68.0  -2.3   5.6  2E-2    396.3  13.6  -7.1         
    50   3.8  -1.9 20550 -65.7 -0.80   7.1  2E-2    488.8   4.1  -1.0         
