 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 18  0
 Used Nearest Grid Point ( 144, 211) to Lat:    38.12, Lon:  -122.81
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1008  96.1  1019     0     0  15.7  77.1   2.2  -1.6  1008   106   116  51.8  0.94   518   798  19.4   288   440     0     0     0     0     0  24.2     0  68.0     0   280   6.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.1  -1.8   160  14.3 -15.2  82.6   1.1    287.5   2.4  -1.3         
   975   2.2  -2.3   373  12.0 -15.0  94.5  0.94    287.2   2.6  -1.8         
   950   1.7  -3.6   590  10.0 -11.9  91.1  0.25    287.4   2.4  -3.1         
   925   1.1  -3.5   812   8.2  -9.3  92.5     0    287.7   1.8  -3.2         
   900   1.1  -5.4  1037   7.1  -6.1  80.0     0    288.8   2.1  -5.1         
   875   1.4  -6.1  1269   5.8  -5.7  70.5     0    289.8   2.6  -5.7         
   850   1.5  -5.9  1505   4.7  -4.5  57.0     0    291.1   2.7  -5.5         
   825   2.0  -5.7  1748   3.3  -3.4  48.0     0    292.1   3.1  -5.1         
   800   2.4  -5.6  1997   2.4  -2.8  40.0     0    293.7   3.5  -5.0         
   775   2.0  -6.3  2253   1.7  -1.5  31.0  3E-2    295.7   3.2  -5.7         
   750   1.4  -7.4  2516  0.65     0  21.0     0    297.3   2.9  -6.9         
   725   2.1  -8.5  2787 -0.71  0.82  16.0  2E-2    298.7   3.7  -7.9         
   700   3.2  -9.6  3067  -1.8   1.3  10.3     0    300.5   5.1  -8.8         
   650   5.7 -12.4  3652  -4.6   2.0  21.1     0    303.8   8.1 -11.0         
   600   5.6 -16.9  4278  -7.4   3.7  25.0  2E-2    307.6   8.9 -15.4         
   550   6.4 -23.3  4951 -10.4   4.9   3.0  2E-2    311.8  11.0 -21.5         
   500   8.4 -27.6  5678 -15.2   4.5   5.0  2E-2    314.5  13.8 -25.3         
   450   6.6 -29.5  6464 -20.6   5.4  12.0  2E-2    317.3  12.5 -27.6         
   400   4.5 -37.1  7325 -26.7   6.9  19.0  2E-2    320.3  12.0 -35.4         
   350   8.0 -46.5  8273 -34.3   6.5  29.0  2E-2    322.5  17.4 -43.9         
   300  10.1 -46.7  9332 -42.4   4.9  25.2  2E-2    325.6  19.4 -43.7         
   250  11.9 -40.1 10549 -45.7  0.88  11.8  2E-2    338.2  19.8 -36.8         
   200  22.6 -28.5 12030 -47.7  0.50   4.3  2E-2    357.3  27.9 -23.3         
   150  15.6 -25.5 13884 -57.9  -2.2   2.7  2E-2    370.3  20.5 -21.8         
   100  12.0  -9.7 16373 -68.0  -2.3   5.6  2E-2    396.3  13.7  -7.1         
    50   3.8  -2.0 20549 -65.7 -0.80   7.1  2E-2    488.8   4.2  -1.2         
