 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 21  0
 Used Nearest Grid Point ( 142, 210) to Lat:    37.97, Lon:  -123.04
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1019     0  1019     0     0  14.3  91.2   3.4  -2.3  1019  10.8     0  13.3     0   581   328  14.3   273  1000     0     0     0     0     0  24.2     0     0     0   281   8.5                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   4.2  -4.2   159  13.3   3.4  86.5     0    286.5   4.9  -3.3         
   975   4.1  -4.0   373  11.8   5.7  81.4     0    287.0   4.9  -3.1         
   950   2.1  -3.2   590  10.8   9.8  70.1     0    288.2   2.7  -2.7         
   925  0.22  -3.1   812   9.5  12.4  63.3     0    289.1   0.9  -3.0         
   900 -0.78  -3.5  1039   8.4  12.7  55.4     0    290.2  -0.0  -3.6         
   875  -1.4  -3.9  1271   7.0  10.3  48.8     0    291.0  -0.5  -4.1         
   850  -1.6  -4.2  1508   5.3   9.9  46.1     0    291.7  -0.8  -4.4         
   825 -0.63  -4.9  1751   4.0  10.1  37.0     0    292.9   0.4  -4.9         
   800  0.79  -5.0  2001   3.6   9.6  26.1     0    295.0   1.8  -4.7         
   775   1.7  -5.3  2258   3.1   9.9  17.2     0    297.1   2.8  -4.9         
   750   2.2  -6.5  2522   2.1  11.0  13.1     0    298.9   3.5  -6.0         
   725   2.8  -8.2  2795   1.3  10.5  12.1     0    300.9   4.4  -7.5         
   700   3.2  -9.8  3076  0.44  11.8  15.1     0    303.0   5.2  -9.0         
   650   3.1 -14.1  3668  -1.6  15.8  10.0  2E-2    307.2   5.9 -13.2         
   600   3.6 -19.1  4301  -4.0  16.9   1.0  2E-2    311.5   7.4 -17.9         
   550   5.0 -21.3  4981  -9.1  13.9  13.0  2E-2    313.3   9.2 -19.8         
   500   7.9 -23.1  5711 -13.6  13.4  12.0  2E-2    316.5  12.5 -21.0         
   450   7.3 -24.5  6502 -19.4  12.7  30.1  2E-2    318.8  12.2 -22.4         
   400   5.4 -32.0  7366 -25.8  13.3  30.1  2E-2    321.4  11.9 -30.2         
   350   8.1 -39.3  8317 -33.5  13.9  34.2  2E-2    323.6  16.0 -36.8         
   300   9.5 -39.2  9380 -42.0  10.4  29.6  2E-2    326.1  17.3 -36.4         
   250  11.2 -36.2 10593 -47.3   3.9  17.8  2E-2    335.8  18.4 -33.1         
   200  19.1 -26.6 12070 -47.6   1.6   3.4  2E-2    357.4  24.2 -22.1         
   150  20.4 -20.3 13916 -59.7   3.5   2.7  2E-2    367.3  24.1 -15.7         
   100  12.9  -6.8 16393 -69.0 -0.28   7.6  2E-2    394.4  14.0  -4.0         
    50   3.4  0.11 20552 -65.8 -0.11   7.1  2E-2    488.4   3.3   0.8         
