 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 21  0
 Used Nearest Grid Point ( 142, 211) to Lat:    38.07, Lon:  -123.07
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1019     0  1019     0     0  14.1  92.2   3.8  -2.1  1019  14.8   7.5  14.9     0   581   584  14.6   273  1000     0     0     0     0     0  24.2     0     0     0   281   8.8                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   4.5  -4.0   159  12.9     0  87.5  1E-1    286.1   5.3  -2.9         
   975   4.1  -3.5   372  11.7   3.9  81.4     0    286.9   4.8  -2.6         
   950   2.0  -2.7   589  10.8  10.7  73.1     0    288.2   2.5  -2.3         
   925 -3E-2  -2.6   811   9.7  12.4  65.3     0    289.2   0.5  -2.6         
   900 -0.91  -3.1  1038   8.4  12.7  57.4     0    290.2  -0.2  -3.2         
   875  -1.6  -3.7  1270   7.0  13.8  51.8     0    291.0  -0.8  -3.9         
   850  -2.1  -3.9  1508   5.3  11.6  48.1     0    291.7  -1.3  -4.3         
   825  -1.3  -4.7  1751   3.9  10.1  38.0     0    292.7  -0.3  -4.9         
   800  0.41  -4.9  2000   3.3   9.6  26.1     0    294.7   1.4  -4.7         
   775   1.8  -4.9  2257   3.1   9.9  16.2     0    297.1   2.8  -4.5         
   750   2.2  -6.2  2522   2.1  11.0  12.1     0    298.9   3.4  -5.6         
   725   2.6  -7.9  2795   1.2  10.5  12.1     0    300.7   4.2  -7.2         
   700   3.1  -9.6  3076  0.32  11.8  14.1     0    302.8   5.0  -8.7         
   650   2.9 -13.9  3667  -1.6  15.8  10.0  2E-2    307.2   5.7 -13.0         
   600   3.5 -18.8  4300  -4.0  16.9   1.0  2E-2    311.5   7.3 -17.7         
   550   4.9 -21.0  4979  -9.1  14.8  14.0  2E-2    313.3   9.1 -19.6         
   500   7.9 -23.0  5710 -13.6  12.6  12.0  2E-2    316.5  12.4 -20.8         
   450   7.4 -24.5  6501 -19.4  14.5  31.1  2E-2    318.8  12.3 -22.4         
   400   5.5 -32.0  7365 -25.8  13.3  29.1  2E-2    321.4  12.0 -30.2         
   350   8.4 -39.3  8316 -33.5  13.9  34.2  2E-2    323.6  16.3 -36.8         
   300   9.9 -39.3  9378 -42.0  10.4  29.6  2E-2    326.1  17.7 -36.4         
   250  11.4 -36.4 10592 -47.3   3.9  18.8  2E-2    335.8  18.7 -33.3         
   200  19.1 -26.6 12068 -47.6   1.6   3.4  2E-2    357.4  24.2 -22.1         
   150  20.7 -20.3 13914 -59.7   4.8   2.7  2E-2    367.3  24.5 -15.6         
   100  13.2  -6.8 16391 -68.9 -0.28   6.6  2E-2    394.6  14.3  -3.9         
    50   3.4  0.11 20551 -65.8 -0.11   7.1  2E-2    488.4   3.3   0.8         
