 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 21  0
 Used Nearest Grid Point ( 142, 212) to Lat:    38.18, Lon:  -123.10
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1019     0  1019     0     0  14.1  92.2   3.9  -1.8  1019  10.8   3.5  14.9     0   577   200  14.2   273  1000     0     0     0     0     0  22.9   6.0     0  -8.0   281   8.8                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   4.9  -3.3   158  12.9  0.72  87.5     0    286.1   5.5  -2.2         
   975   4.4  -3.2   372  12.0   3.9  78.4     0    287.3   4.9  -2.3         
   950   2.0  -2.3   589  11.0   9.8  73.1     0    288.3   2.4  -1.9         
   925 -0.16  -2.3   811   9.9  12.4  67.3     0    289.4   0.3  -2.2         
   900  -1.2  -2.7  1038   8.6  12.7  61.4     0    290.3  -0.6  -2.9         
   875  -1.6  -3.3  1270   7.0  13.8  55.8     0    291.0  -0.9  -3.5         
   850  -2.3  -3.5  1508   5.3  13.4  52.1     0    291.7  -1.5  -3.9         
   825  -1.9  -4.6  1750   3.7  11.9  42.0     0    292.5  -0.9  -4.9         
   800 -1E-1  -4.9  2000   3.2  11.4  28.1     0    294.6   0.9  -4.8         
   775   1.8  -4.8  2257   3.1   9.9  17.2     0    297.1   2.8  -4.3         
   750   2.3  -5.8  2521   2.1  11.0  12.1     0    298.9   3.5  -5.2         
   725   2.6  -7.6  2794   1.0  10.5  11.1     0    300.6   4.1  -6.9         
   700   3.0  -9.3  3075  0.19  11.8  14.1     0    302.7   4.8  -8.5         
   650   2.8 -13.6  3666  -1.7  15.8  10.0  2E-2    307.0   5.6 -12.8         
   600   3.5 -18.6  4300  -4.1  16.0   1.0  2E-2    311.4   7.2 -17.4         
   550   4.9 -20.8  4979  -9.2  14.8  14.0  2E-2    313.1   9.0 -19.3         
   500   7.9 -22.8  5709 -13.6  12.6  12.0  2E-2    316.5  12.4 -20.7         
   450   7.4 -24.3  6500 -19.6  14.5  32.1  2E-2    318.7  12.3 -22.3         
   400   5.8 -32.0  7363 -25.8  15.0  29.1  2E-2    321.4  12.3 -30.1         
   350   8.6 -39.3  8315 -33.5  13.9  34.2  2E-2    323.6  16.5 -36.7         
   300  10.3 -39.4  9377 -42.0  10.4  30.6  2E-2    326.1  18.1 -36.5         
   250  11.8 -36.6 10590 -47.4   3.9  18.8  2E-2    335.6  19.1 -33.3         
   200  19.3 -26.8 12066 -47.6   1.6   3.4  2E-2    357.4  24.4 -22.2         
   150  21.2 -20.3 13912 -59.7   4.8   2.7  2E-2    367.3  25.0 -15.5         
   100  13.3  -6.9 16389 -68.8 -0.28   6.6  2E-2    394.8  14.4  -4.0         
    50   3.5  0.11 20551 -65.7 -0.11   7.1  2E-2    488.6   3.4   0.8         
