 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 21  0
 Used Nearest Grid Point ( 143, 211) to Lat:    38.10, Lon:  -122.94
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1013  48.1  1019     0     0  16.2  78.2   4.0  -1.7  1013  98.8   167  57.1  0.94   581   712  20.7   291   424     0     0     0     0     0  24.2   2.0     0     0   280   7.8                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   4.5  -2.3   159  14.1  -7.2  83.5   1.3    287.2   4.9  -1.3         
   975   4.2  -2.4   372  12.0  -4.0  89.4  0.88    287.3   4.6  -1.5         
   950   2.5  -2.2   589  11.1   2.8  74.1  0.25    288.5   2.9  -1.7         
   925  1E-1  -2.1   811   9.8   9.7  69.3     0    289.3   0.5  -2.1         
   900  -1.2  -2.6  1038   8.4  12.7  64.4     0    290.2  -0.6  -2.8         
   875  -1.7  -3.4  1270   6.8  15.6  58.8     0    290.9  -1.0  -3.7         
   850  -2.4  -3.8  1508   5.3  13.4  51.1     0    291.7  -1.6  -4.2         
   825  -1.6  -4.6  1750   3.8  11.9  43.0     0    292.6  -0.7  -4.8         
   800 -1E-1  -4.9  2000   3.2   9.6  34.1     0    294.6   0.9  -4.8         
   775   1.6  -5.2  2257   2.8   9.9  21.2     0    296.8   2.6  -4.8         
   750   1.9  -6.0  2521   2.0   9.2  11.1     0    298.8   3.1  -5.5         
   725   2.6  -7.6  2794   1.0  10.5  11.1     0    300.6   4.1  -6.9         
   700   3.0  -9.3  3075  1E-1  11.0  12.1     0    302.6   4.8  -8.5         
   650   2.9 -13.8  3665  -1.8  14.0  11.0  2E-2    306.9   5.7 -12.9         
   600   3.2 -18.7  4299  -4.1  16.0   1.0  2E-2    311.4   7.0 -17.6         
   550   4.7 -21.1  4978  -9.1  13.9  11.0  2E-2    313.3   9.0 -19.7         
   500   7.8 -23.1  5707 -13.7  13.4  11.0  2E-2    316.3  12.3 -21.0         
   450   7.4 -24.6  6498 -19.6  14.5  28.1  2E-2    318.7  12.3 -22.5         
   400   5.4 -32.1  7362 -25.8  15.0  31.1  2E-2    321.4  11.9 -30.4         
   350   8.1 -39.8  8313 -33.5  13.9  34.2  2E-2    323.6  16.1 -37.3         
   300   9.6 -39.8  9375 -42.0  10.4  29.6  2E-2    326.1  17.6 -37.0         
   250  11.3 -36.8 10589 -47.4   4.8  18.8  2E-2    335.6  18.6 -33.7         
   200  19.3 -27.0 12065 -47.5   1.6   3.4  2E-2    357.6  24.4 -22.5         
   150  20.5 -20.6 13912 -59.4   3.5   2.7  2E-2    367.7  24.3 -16.0         
   100  13.0  -6.8 16390 -68.9 -0.28   6.6  2E-2    394.6  14.1  -4.0         
    50   3.4  0.11 20552 -65.8 -0.11   7.1  2E-2    488.4   3.3   0.8         
