 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 21  0
 Used Nearest Grid Point ( 143, 212) to Lat:    38.20, Lon:  -122.97
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1018   8.1  1019     0     0  13.3  95.2   4.1  -1.2  1018  10.8  27.5  19.6     0   549   584  14.8   273  1000     0     0     0     0     0   4.2  84.0     0     0   282   9.0                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   4.7  -1.3   158  12.6  -2.8  90.5  0.18    285.7   4.8  -0.3         
   975   4.5  -1.9   371  11.7   2.2  81.4  0.12    286.9   4.8  -0.9         
   950   2.3  -2.0   588  11.2   9.0  76.1     0    288.6   2.7  -1.5         
   925 -3E-2  -1.9   811  10.0  13.3  71.3     0    289.6   0.4  -1.8         
   900  -1.3  -2.5  1038   8.6  15.3  66.4     0    290.3  -0.7  -2.7         
   875  -1.7  -3.4  1270   7.0  15.6  60.8     0    291.0  -1.0  -3.7         
   850  -2.5  -3.8  1508   5.3  15.1  54.1     0    291.7  -1.7  -4.2         
   825  -2.3  -4.5  1750   3.7  13.6  46.0     0    292.5  -1.3  -4.8         
   800 -0.71  -4.9  1999   3.1  11.4  33.1     0    294.4   0.3  -4.9         
   775   1.3  -4.8  2256   2.9   9.9  19.2     0    297.0   2.3  -4.4         
   750   2.1  -5.7  2521   2.0   9.2  11.1     0    298.8   3.2  -5.1         
   725   2.5  -7.3  2793  0.91  10.5  10.1     0    300.5   4.0  -6.6         
   700   2.9  -9.1  3074 -1E-1  11.8  12.1     0    302.4   4.7  -8.3         
   650   2.8 -13.5  3665  -1.8  14.0  10.0  2E-2    306.9   5.5 -12.7         
   600   3.1 -18.6  4298  -4.2  15.1   1.0  2E-2    311.2   6.8 -17.5         
   550   4.6 -20.9  4977  -9.2  13.9  12.0  2E-2    313.1   8.8 -19.5         
   500   7.8 -22.8  5706 -13.7  13.4  12.0  2E-2    316.3  12.3 -20.8         
   450   7.6 -24.5  6497 -19.6  14.5  30.1  2E-2    318.7  12.4 -22.4         
   400   5.7 -32.0  7361 -25.8  15.9  31.1  2E-2    321.4  12.1 -30.2         
   350   8.4 -39.8  8312 -33.5  13.9  34.2  2E-2    323.6  16.4 -37.3         
   300  10.0 -39.9  9374 -42.0  11.3  30.6  2E-2    326.1  18.0 -37.0         
   250  11.6 -36.9 10587 -47.4   4.8  18.8  2E-2    335.6  18.9 -33.8         
   200  19.4 -27.0 12063 -47.6   2.5   3.4  2E-2    357.4  24.5 -22.5         
   150  21.0 -20.6 13910 -59.6   4.8   2.7  2E-2    367.5  24.7 -15.9         
   100  13.2  -6.8 16388 -68.8 -0.28   6.6  2E-2    394.8  14.3  -3.9         
    50   3.4  0.11 20551 -65.7 -0.11   7.1  2E-2    488.6   3.3   0.8         
