 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 21  0
 Used Nearest Grid Point ( 144, 209) to Lat:    37.91, Lon:  -122.75
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1013  48.1  1019     0     0  15.8  83.2   3.3  -1.1  1013  86.8   103  52.4   1.9   577   712  19.6   294   504     0     0     0     0     0  24.2     0  88.0     0   280   7.3                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   3.4  -1.6   159  14.2  -2.8  84.5   1.2    287.3   3.7  -0.8         
   975   3.5  -1.9   372  12.2  -1.3  87.4  0.75    287.4   3.8  -1.1         
   950   2.7  -2.1   589  11.1   1.9  76.1  0.25    288.5   3.1  -1.5         
   925   1.3  -1.9   812   9.9   5.3  71.3     0    289.4   1.7  -1.6         
   900 -0.41  -2.7  1039   8.4  11.8  67.4     0    290.2   0.2  -2.8         
   875  -1.4  -3.8  1271   6.8  13.8  61.8     0    290.9  -0.6  -4.0         
   850  -1.6  -4.2  1508   5.3  15.1  53.1     0    291.7  -0.8  -4.4         
   825 -0.76  -4.6  1751   3.7  15.4  43.0     0    292.5   0.2  -4.7         
   800  0.41  -5.0  2000   2.8  13.1  34.1     0    294.2   1.4  -4.8         
   775   1.3  -5.3  2257   2.7   9.9  25.2     0    296.7   2.4  -4.9         
   750   2.1  -6.3  2522   2.3   9.2  13.1     0    299.0   3.3  -5.7         
   725   2.6  -7.9  2794  0.91   9.6  10.1     0    300.5   4.2  -7.2         
   700   3.0  -9.6  3075 -1E-1  11.0  11.1     0    302.4   4.9  -8.8         
   650   3.2 -13.9  3665  -2.0  14.0  12.0  2E-2    306.7   5.9 -13.0         
   600   3.0 -18.8  4298  -4.2  16.0   1.0  2E-2    311.2   6.7 -17.8         
   550   4.5 -21.8  4978  -9.0  14.8   9.0  2E-2    313.4   8.8 -20.4         
   500   7.4 -23.5  5707 -13.9  13.4  11.0  2E-2    316.1  12.0 -21.5         
   450   7.2 -24.8  6498 -19.6  12.7  22.1  2E-2    318.7  12.1 -22.9         
   400   5.2 -32.5  7362 -25.8  13.3  29.1  2E-2    321.4  11.7 -30.8         
   350   7.3 -40.7  8313 -33.5  13.9  34.2  2E-2    323.6  15.4 -38.4         
   300   8.8 -40.1  9375 -41.9  10.4  28.6  2E-2    326.3  16.7 -37.4         
   250  10.7 -36.7 10589 -47.1   4.8  17.8  2E-2    336.0  17.9 -33.7         
   200  19.1 -27.0 12066 -47.5   2.5   3.4  2E-2    357.6  24.2 -22.5         
   150  19.5 -21.0 13914 -59.3   3.5   2.7  2E-2    367.9  23.3 -16.6         
   100  12.8  -6.8 16393 -69.0 -0.28   7.6  2E-2    394.4  13.9  -4.0         
    50   3.4  0.11 20553 -65.8 -0.11   7.1  2E-2    488.4   3.3   0.8         
