 Meteorological Profile: 20161101_nam12
 File start time : 16 11  1  0  0
 File ending time: 16 11  1 21  0
 
___________________________________________________ 
 Profile Time:  16 11  1 21  0
 Used Nearest Grid Point ( 144, 211) to Lat:    38.12, Lon:  -122.81
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1007  96.1  1019     0     0  16.9  75.2   3.6  -1.1  1007   123   183  63.3  0.94   577   840  22.2   291   440     0     0     0     0     0  24.2     0  88.0     0   279   6.5                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   3.8  -1.2   157  15.2  -5.4  80.5   1.4    288.3   4.0  -0.4         
   975   3.9  -1.5   371  12.9  -9.2  89.4   1.1    288.2   4.1  -0.7         
   950   3.1  -1.5   589  11.2  -6.9  88.1  0.75    288.6   3.3  -0.8         
   925  0.84  -1.6   811   9.9  0.95  75.3     0    289.4   1.2  -1.4         
   900  -1.0  -2.4  1038   8.6   7.4  71.4     0    290.3  -0.5  -2.5         
   875  -1.6  -3.2  1271   6.8  12.0  64.8     0    290.9  -0.9  -3.4         
   850  -2.1  -3.8  1508   5.1  13.4  57.1     0    291.5  -1.3  -4.1         
   825  -1.8  -4.1  1751   3.5  15.4  47.0     0    292.3  -0.9  -4.4         
   800 -0.46  -4.7  2000   2.6  14.9  37.1     0    293.9   0.5  -4.7         
   775   1.1  -5.2  2256   2.6  11.7  30.2     0    296.6   2.1  -4.9         
   750   1.7  -6.0  2520   1.9   9.2  15.1     0    298.6   2.9  -5.6         
   725   2.5  -7.4  2793   1.0  10.5   7.1     0    300.6   4.0  -6.8         
   700   2.9  -9.1  3074 -0.18  11.0  10.1     0    302.3   4.7  -8.3         
   650   3.1 -13.5  3664  -2.1  14.0  13.0  2E-2    306.6   5.7 -12.6         
   600   2.8 -18.4  4297  -4.4  16.0   1.0  2E-2    311.1   6.5 -17.5         
   550   4.4 -21.3  4976  -9.1  13.9   9.0  2E-2    313.3   8.6 -19.9         
   500   7.5 -23.2  5705 -13.9  13.4  12.0  2E-2    316.1  12.1 -21.2         
   450   7.4 -24.7  6496 -19.6  14.5  24.1  2E-2    318.7  12.3 -22.7         
   400   5.4 -32.3  7359 -26.0  15.0  31.1  2E-2    321.3  11.9 -30.5         
   350   8.0 -40.5  8310 -33.5  13.9  35.2  2E-2    323.6  16.1 -38.0         
   300   9.4 -40.3  9372 -42.0  10.4  29.6  2E-2    326.1  17.4 -37.5         
   250  11.2 -37.2 10585 -47.4   4.8  18.8  2E-2    335.6  18.5 -34.1         
   200  19.4 -27.3 12062 -47.5   2.5   3.4  2E-2    357.6  24.5 -22.7         
   150  20.2 -21.0 13910 -59.3   3.5   2.7  2E-2    367.9  24.1 -16.4         
   100  13.0  -6.8 16389 -68.9 -0.28   6.6  2E-2    394.6  14.1  -4.0         
    50   3.4  0.11 20551 -65.8 -0.11   7.1  2E-2    488.4   3.3   0.8         
