lon,lat,alt
-123.058752,38.318733,3
-123.053787,38.317277,105
-123.047045,38.314832,208
-123.043517,38.312222,309
-123.038932,38.308525,409
-123.035360,38.304635,510
-123.034227,38.302553,612
-123.033137,38.300478,715
-123.032038,38.298432,815
-123.029745,38.295322,918
-123.028080,38.291770,1018
-123.027070,38.287390,1120
-123.026075,38.283053,1225
-123.025170,38.278847,1328
-123.024347,38.274217,1428
-123.024155,38.267878,1528
-123.024345,38.262895,1631
-123.025337,38.257602,1734
-123.027340,38.252900,1839
-123.030705,38.246215,1941
-123.031093,38.241220,2042
-123.030432,38.238248,2147
-123.030035,38.235072,2251
-123.028863,38.229180,2354
-123.026647,38.224272,2455
-123.025277,38.220730,2557
-123.024137,38.217037,2658
-123.022148,38.213117,2758
-123.018720,38.208967,2862
-123.013235,38.200553,2962
-123.007420,38.191488,3062
-123.003025,38.184950,3166
-122.996598,38.176128,3270
-122.981683,38.157895,3371
-122.966437,38.137912,3570
-122.955160,38.116373,3670
-122.946932,38.097223,3772
-122.940672,38.080738,3875
-122.933785,38.063013,3977
-122.927215,38.043363,4077
-122.921218,38.025438,4183
-122.914085,38.004383,4283
-122.904310,37.980430,4386
-122.894488,37.956253,4490
-122.885630,37.928560,4591
-122.877353,37.908138,4692
-122.868412,37.888738,4795
-122.850835,37.857573,4896
-122.831727,37.828523,5002
-122.808095,37.794087,5108
