 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  0  0
 Used Nearest Grid Point ( 146, 205) to Lat:    37.53, Lon:  -122.38
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1011  64.1  1019     0     0  16.6  69.8   2.9  -1.1  1011  47.8  55.7  47.3   1.9   142   924  18.4   293   424     0     0     0     0     0  24.3     0     0     0   282   9.6                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.8  -1.1   160  14.6 -17.5  72.9  0.80    287.8   3.0  -0.6         
   975   1.5  -1.3   374  12.6 -15.1  78.9  0.51    287.9   1.7  -1.0         
   950 -0.96  -1.7   591  11.0 -11.0  78.9  0.25    288.4  -0.6  -1.8         
   925  -3.6  -2.3   813   9.9  -6.7  66.9     0    289.5  -3.1  -3.0         
   900  -3.8  -2.3  1040   8.1  -1.5  67.8     0    289.8  -3.3  -3.0         
   875  -2.7  -3.5  1272   7.8  0.51  52.3     0    291.9  -2.0  -4.0         
   850  -1.6  -4.5  1511   7.9   2.3  33.0     0    294.4  -0.6  -4.7         
   825  -1.0  -5.0  1757   7.1   3.2  25.0     0    296.1   0.0  -5.1         
   800 -0.52  -5.6  2009   6.1   3.0  18.0     0    297.7   0.6  -5.6         
   775  0.28  -6.5  2268   5.3   3.2  10.0     0    299.5   1.6  -6.3         
   750  0.82  -7.6  2535   4.0   2.7   3.0     0    300.9   2.3  -7.3         
   725   1.0  -9.2  2809   2.5   1.1   1.0     0    302.2   2.8  -8.8         
   700   1.2 -10.9  3091   1.3  0.91   5.0     0    303.9   3.3 -10.4         
   650  0.63 -14.1  3685 -0.45   1.4   2.0     0    308.5   3.4 -13.7         
   600   2.1 -16.2  4320  -3.2   3.7   4.0  2E-2    312.5   5.4 -15.4         
   550   7.6 -18.0  5003  -7.2   5.8  11.0  2E-2    315.5  11.1 -16.1         
   500  10.7 -19.3  5737 -12.6   6.8  11.0  2E-2    317.7  14.4 -16.8         
   450   4.6 -21.9  6531 -18.6   6.4  30.0  2E-2    319.9   8.9 -20.5         
   400  0.35 -28.9  7398 -24.7   5.3  32.0  2E-2    322.9   6.1 -28.3         
   350   4.5 -33.1  8353 -33.0   2.3  43.0  2E-2    324.3  11.0 -31.5         
   300   8.5 -39.9  9419 -41.6   1.4  43.0  2E-2    326.7  16.3 -37.3         
   250   7.7 -38.7 10629 -48.3     0  23.9  2E-2    334.3  15.4 -36.4         
   200  19.4 -22.6 12103 -47.8  -2.6   4.4  2E-2    357.0  23.5 -18.3         
   150  19.3 -17.0 13944 -60.4 -0.23   3.7  2E-2    366.0  22.3 -12.7         
   100  11.8  -5.5 16408 -70.1  -1.9   9.6  2E-2    392.3  12.6  -3.0         
    50   5.4 -0.50 20558 -65.8 -0.70   7.1  2E-2    488.5   5.4   0.6         
