 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  0  0
 Used Nearest Grid Point ( 146, 206) to Lat:    37.64, Lon:  -122.40
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1016  24.1  1019     0     0  16.0  79.8   3.2 -0.50  1016  63.8  25.7  36.4   1.1   140   796  16.8   292   880     0     0     0     0     0  24.3     0     0     0   281   9.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   3.6 -0.51   159  13.9 -15.3  81.9  0.43    287.0   3.6   0.2         
   975   1.5 -0.94   374  12.4 -11.6  80.9  0.26    287.6   1.6  -0.6         
   950  -1.8  -1.5   591  11.4  -8.8  65.9     0    288.7  -1.5  -1.9         
   925  -3.5  -2.2   813   9.8  -5.0  72.9     0    289.3  -3.0  -2.8         
   900  -3.7  -2.4  1040   8.2  -1.5  68.8     0    290.0  -3.2  -3.1         
   875  -3.0  -3.4  1273   7.9  0.51  51.3     0    292.0  -2.2  -3.9         
   850  -1.8  -4.4  1511   7.9   2.3  35.0     0    294.4  -0.9  -4.7         
   825  -1.1  -5.0  1757   6.9   3.2  27.0     0    295.9  -0.1  -5.1         
   800 -0.39  -5.6  2009   6.0   3.0  18.0     0    297.6   0.7  -5.6         
   775  0.40  -6.5  2268   5.2   2.3  10.0     0    299.4   1.7  -6.3         
   750  0.94  -7.5  2535   4.0  0.99   4.0     0    300.9   2.4  -7.1         
   725   1.1  -9.0  2809   2.4   1.1   2.0     0    302.1   2.9  -8.6         
   700   1.3 -10.8  3091   1.3  0.91   5.0     0    303.9   3.4 -10.3         
   650  0.75 -13.8  3685 -0.45   1.4   1.0     0    308.5   3.5 -13.4         
   600   2.1 -15.8  4320  -3.2   3.7   5.0  2E-2    312.5   5.3 -15.1         
   550   7.6 -17.8  5002  -7.2   5.8  11.0  2E-2    315.5  11.0 -15.9         
   500  10.7 -19.0  5737 -12.6   6.0  11.0  2E-2    317.7  14.3 -16.4         
   450   4.8 -21.6  6530 -18.7   6.4  31.0  2E-2    319.7   9.1 -20.2         
   400  0.48 -28.7  7398 -24.8   5.3  33.0  2E-2    322.7   6.2 -28.0         
   350   4.6 -32.9  8352 -33.0   2.3  44.0  2E-2    324.3  11.1 -31.3         
   300   8.8 -39.7  9418 -41.6   1.4  44.0  2E-2    326.7  16.6 -37.2         
   250   8.1 -39.0 10627 -48.4     0  24.9  2E-2    334.1  15.8 -36.6         
   200  19.5 -22.8 12101 -47.8  -2.6   4.4  2E-2    357.0  23.7 -18.4         
   150  19.7 -17.1 13941 -60.4 -0.23   3.7  2E-2    366.0  22.7 -12.8         
   100  11.9  -5.4 16406 -70.0  -1.9   9.6  2E-2    392.6  12.7  -2.9         
    50   5.4 -0.50 20558 -65.6 -0.70   7.1  2E-2    488.8   5.4   0.6         
