 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  0  0
 Used Nearest Grid Point ( 146, 209) to Lat:    37.95, Lon:  -122.49
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1014  40.1  1019     0     0  17.2  73.8   2.1  0.25  1014  27.8  19.7  22.3   1.9   136  1692  17.6   294   480     0     0     0     0     0  24.3     0  28.0  -3.3   280   7.6                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   1.9  0.36   157  16.1 -13.1  71.9  0.30    289.3   1.8   0.7         
   975  0.47 -0.19   372  14.4 -12.9  75.9  0.26    289.6   0.5  -0.1         
   950  -1.1 -0.54   591  12.5 -11.0  80.9  0.25    289.9  -1.0  -0.7         
   925  -2.0  -1.4   814  10.3  -9.4  85.9  0.12    289.9  -1.7  -1.8         
   900  -3.2  -1.6  1042   8.2  -7.7  83.8     0    290.0  -2.8  -2.3         
   875  -3.1  -2.6  1274   7.6  -3.9  65.3     0    291.6  -2.5  -3.2         
   850  -2.6  -3.9  1512   7.4  0.49  43.0     0    293.9  -1.7  -4.3         
   825  -1.8  -4.5  1757   6.3   3.2  34.0     0    295.3  -0.8  -4.7         
   800 -0.64  -5.3  2009   5.1   4.7  23.0     0    296.6   0.4  -5.3         
   775  0.53  -6.1  2267   4.8   4.1  14.0     0    299.0   1.7  -5.9         
   750   1.4  -7.2  2534   4.4   3.6   6.0     0    301.3   2.9  -6.8         
   725   1.8  -8.7  2808   2.4   2.0   2.0     0    302.1   3.5  -8.1         
   700   1.8 -10.4  3091   1.7   3.1   5.0     0    304.3   3.8  -9.8         
   650   1.0 -13.2  3684 -0.45   4.9   1.0     0    308.5   3.6 -12.7         
   600   2.1 -14.7  4320  -3.4   6.8   6.0  2E-2    312.2   5.1 -14.0         
   550   7.2 -16.7  5001  -7.4   9.4  11.0  2E-2    315.4  10.4 -14.9         
   500  11.1 -18.0  5736 -12.6   9.0  11.0  2E-2    317.7  14.5 -15.4         
   450   5.6 -20.6  6529 -18.9   6.4  33.0  2E-2    319.5   9.6 -19.1         
   400   1.1 -28.0  7396 -24.9   2.7  35.0  2E-2    322.6   6.7 -27.2         
   350   5.1 -32.3  8349 -33.1     0  46.0  2E-2    324.1  11.5 -30.6         
   300   9.5 -39.5  9415 -41.7  -1.6  47.0  2E-2    326.6  17.3 -36.8         
   250   9.1 -39.9 10623 -48.9  -1.4  25.9  2E-2    333.3  17.0 -37.2         
   200  19.9 -22.9 12094 -48.0  -3.4   3.4  2E-2    356.8  24.1 -18.4         
   150  20.8 -17.5 13935 -60.4  0.87   3.7  2E-2    366.0  23.9 -12.9         
   100  12.4  -5.5 16401 -69.7  -1.9   8.6  2E-2    393.1  13.2  -2.9         
    50   5.5 -0.62 20557 -65.5 -0.70   7.1  2E-2    489.1   5.5   0.5         
