 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  0  0
 Used Nearest Grid Point ( 147, 207) to Lat:    37.76, Lon:  -122.30
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1016  32.1  1019     0     0  15.2  83.8   2.7  0.12  1016  31.8  13.7  16.1     0   138   412  15.9   273  1000     0     0     0     0     0  24.3     0     0  -3.3   281   9.4                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.4  0.36   159  13.8 -16.7  80.9  1E-1    286.9   2.3   0.8         
   975   1.2 -0.19   373  12.5 -13.7  74.9  1E-1    287.8   1.2   0.1         
   950 -0.96 -0.91   591  11.4  -9.7  73.9     0    288.7  -0.8  -1.1         
   925  -2.5  -1.9   813   9.9  -5.0  75.9     0    289.5  -2.1  -2.4         
   900  -3.6  -2.1  1040   8.3 -0.66  71.8     0    290.1  -3.1  -2.8         
   875  -3.1  -3.0  1273   7.8   4.0  56.3     0    291.9  -2.4  -3.5         
   850  -2.2  -3.9  1511   7.9   4.9  37.0     0    294.4  -1.4  -4.2         
   825  -1.5  -4.5  1757   6.9   5.9  30.0     0    295.9  -0.6  -4.7         
   800 -0.77  -5.3  2009   5.7   3.9  22.0     0    297.3   0.3  -5.3         
   775  0.28  -6.2  2268   5.0   2.3  13.0     0    299.2   1.5  -6.1         
   750   1.1  -7.3  2534   3.9  0.99   5.0     0    300.8   2.5  -7.0         
   725   1.1  -8.8  2808   2.5   1.1   2.0     0    302.2   2.9  -8.4         
   700   1.3 -10.5  3091   1.0  0.91   4.0     0    303.6   3.4 -10.0         
   650  0.75 -13.3  3684 -0.70   2.7   1.0     0    308.2   3.4 -12.9         
   600   1.9 -16.0  4319  -3.3   4.6   4.0  2E-2    312.3   5.1 -15.3         
   550   7.1 -18.0  5001  -7.4   5.8  11.0  2E-2    315.4  10.6 -16.3         
   500  10.6 -19.2  5735 -12.8   4.7  12.0  2E-2    317.5  14.2 -16.7         
   450   4.8 -21.5  6528 -18.9   5.0  30.0  2E-2    319.5   9.0 -20.1         
   400  0.23 -28.9  7395 -24.8   4.0  32.0  2E-2    322.7   6.0 -28.3         
   350   4.3 -33.4  8349 -33.1   1.4  44.0  2E-2    324.1  10.9 -31.9         
   300   9.0 -40.4  9414 -41.7  0.56  45.0  2E-2    326.6  16.9 -37.7         
   250   8.4 -39.7 10624 -48.6     0  24.9  2E-2    333.9  16.1 -37.3         
   200  19.7 -22.9 12096 -47.8  -2.6   3.4  2E-2    357.0  23.9 -18.5         
   150  19.8 -17.6 13938 -60.3 -0.23   3.7  2E-2    366.2  22.9 -13.3         
   100  12.1  -5.5 16405 -69.8  -1.9   8.6  2E-2    392.8  13.0  -3.0         
    50   5.4 -0.62 20558 -65.6 -0.70   7.1  2E-2    488.8   5.4   0.5         
