 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  0  0
 Used Nearest Grid Point ( 147, 208) to Lat:    37.87, Lon:  -122.33
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1015  32.1  1019     0     0  15.9  81.8   2.3  0.37  1015  23.8  13.7  17.6     0   136   924  16.1   273  1000     0     0     0     0     0  24.3     0  28.0  -3.3   281   8.9                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.2  0.61   159  14.6 -15.3  76.9  0.11    287.8   2.0   1.0         
   975  0.97  1E-1   373  13.1 -12.9  75.9  1E-1    288.4   0.9   0.2         
   950 -0.84 -0.66   591  11.6  -9.7  78.9     0    289.0  -0.7  -0.8         
   925  -2.2  -1.7   814   9.8  -6.7  81.9     0    289.3  -1.9  -2.1         
   900  -3.6  -2.0  1041   8.1 -0.66  77.8     0    289.8  -3.1  -2.7         
   875  -3.1  -3.0  1273   7.8   2.3  58.3     0    291.9  -2.4  -3.5         
   850  -2.4  -3.9  1512   7.8   4.9  38.0     0    294.3  -1.6  -4.3         
   825  -1.8  -4.5  1757   6.7   5.9  31.0     0    295.7  -0.8  -4.7         
   800 -0.89  -5.3  2009   5.5   4.7  24.0     0    297.0   0.2  -5.3         
   775  0.15  -6.1  2268   4.8   3.2  16.0     0    299.0   1.4  -6.0         
   750   1.1  -7.2  2534   3.9   2.7   7.0     0    300.8   2.5  -6.8         
   725   1.4  -8.7  2808   2.5   1.1   2.0     0    302.2   3.1  -8.2         
   700   1.4 -10.4  3090   1.2  0.91   4.0     0    303.8   3.5  -9.9         
   650  0.75 -13.1  3683 -0.70   1.4   1.0     0    308.2   3.4 -12.7         
   600   1.9 -15.6  4319  -3.4   3.7   5.0  2E-2    312.2   5.0 -14.9         
   550   7.0 -17.7  5000  -7.5   5.0  11.0  2E-2    315.2  10.4 -15.9         
   500  10.7 -18.8  5735 -12.9   6.0  12.0  2E-2    317.4  14.3 -16.3         
   450   5.1 -21.2  6527 -18.9   5.0  31.0  2E-2    319.5   9.2 -19.8         
   400  0.48 -28.7  7394 -24.9   4.0  33.0  2E-2    322.6   6.2 -28.0         
   350   4.5 -33.2  8348 -33.1   1.4  45.0  2E-2    324.1  11.0 -31.6         
   300   9.3 -40.2  9413 -41.7  0.56  46.0  2E-2    326.6  17.1 -37.6         
   250   8.7 -40.1 10622 -48.7     0  25.9  2E-2    333.7  16.6 -37.5         
   200  20.0 -23.0 12094 -47.8  -2.6   4.4  2E-2    357.0  24.2 -18.5         
   150  20.2 -17.7 13936 -60.3 -0.23   3.7  2E-2    366.2  23.3 -13.3         
   100  12.3  -5.5 16403 -69.8  -1.9   8.6  2E-2    392.8  13.1  -2.9         
    50   5.4 -0.62 20558 -65.5 -0.70   7.1  2E-2    489.1   5.4   0.5         
