 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  0  0
 Used Nearest Grid Point ( 147, 209) to Lat:    37.97, Lon:  -122.35
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1016  24.1  1019     0     0  16.5  78.8   2.1  0.37  1016  15.8  11.7  13.7     0   134  1180  16.4   273  1000     0     0     0     0     0  24.3     0  28.0  -3.3   281   8.1                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.1  0.49   158  15.4 -14.5  72.9  0.11    288.5   1.9   0.9         
   975  0.60  1E-1   373  13.9 -12.9  75.9  1E-1    289.1   0.6   0.2         
   950 -0.96 -0.54   592  12.0  -9.7  80.9     0    289.4  -0.8  -0.7         
   925  -1.7  -1.4   814   9.9  -7.6  85.9     0    289.5  -1.4  -1.7         
   900  -3.2  -1.8  1041   8.0  -2.4  83.8     0    289.7  -2.8  -2.4         
   875  -3.1  -2.7  1273   7.6  0.51  63.3     0    291.6  -2.5  -3.3         
   850  -2.6  -3.8  1512   7.6   4.0  41.0     0    294.2  -1.8  -4.2         
   825  -1.9  -4.4  1757   6.4   5.9  35.0     0    295.4  -1.0  -4.6         
   800 -0.89  -5.1  2009   5.2   4.7  26.0     0    296.8   0.2  -5.2         
   775  0.15  -6.1  2267   4.7   4.1  18.0     0    298.8   1.4  -6.0         
   750   1.1  -7.1  2534   3.7   2.7  10.0     0    300.6   2.5  -6.7         
   725   1.5  -8.5  2808   2.5   1.1   2.0     0    302.2   3.2  -8.1         
   700   1.7 -10.4  3090   1.3  0.91   4.0     0    303.9   3.7  -9.8         
   650  0.75 -12.8  3683 -0.70   2.7   1.0     0    308.2   3.3 -12.4         
   600   1.9 -15.1  4318  -3.4   3.7   5.0  2E-2    312.2   4.9 -14.4         
   550   7.0 -17.2  5000  -7.5   7.2  11.0  2E-2    315.2  10.3 -15.4         
   500  10.7 -18.5  5734 -12.9   6.0  12.0  2E-2    317.4  14.2 -15.9         
   450   5.2 -21.0  6527 -19.0   5.0  31.0  2E-2    319.4   9.3 -19.5         
   400  0.60 -28.4  7393 -24.9   2.7  34.0  2E-2    322.6   6.3 -27.7         
   350   4.6 -32.9  8347 -33.1   1.4  45.0  2E-2    324.1  11.1 -31.3         
   300   9.5 -40.1  9412 -41.7  0.56  47.0  2E-2    326.6  17.4 -37.4         
   250   9.1 -40.4 10621 -48.9     0  25.9  2E-2    333.3  17.0 -37.7         
   200  20.1 -23.0 12092 -48.0  -2.6   4.4  2E-2    356.8  24.3 -18.5         
   150  20.6 -17.8 13934 -60.3  0.87   3.7  2E-2    366.2  23.7 -13.4         
   100  12.4  -5.5 16401 -69.7  -1.9   8.6  2E-2    393.1  13.2  -2.9         
    50   5.4 -0.62 20557 -65.5 -0.70   7.1  2E-2    489.1   5.4   0.5         
