 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  3  0
 Used Nearest Grid Point ( 146, 207) to Lat:    37.74, Lon:  -122.43
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1019     0  1019     0     0  14.8  88.5   2.0 -0.49  1019  21.0     0  13.8     0     0   712  15.1   273  1000     0     0     0     0     0  24.3     0     0     0   283  10.5                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.9  -2.2   161  13.8  -1.6  83.1  5E-2    287.0   3.3  -1.6         
   975   1.1  -2.0   375  13.1     0  79.1     0    288.3   1.4  -1.7         
   950 -0.99  -1.9   593  11.7     0  80.7     0    289.1  -0.6  -2.0         
   925  -2.5  -2.3   816  10.0   1.4  82.3     0    289.5  -2.0  -2.7         
   900  -4.2  -2.0  1043   8.8   2.9  71.8     0    290.6  -3.7  -2.8         
   875  -4.4  -2.2  1276   8.6   4.8  47.6     0    292.7  -3.8  -3.0         
   850  -3.6  -1.7  1515   8.4   5.3  29.9     0    294.9  -3.2  -2.4         
   825  -2.5  -2.5  1761   7.3   8.1  22.2     0    296.3  -2.0  -3.0         
   800 -0.74  -4.1  2013   7.1   6.0  10.2     0    298.7   0.1  -4.2         
   775  0.24  -5.4  2274   7.0   6.5   3.3     0    301.3   1.3  -5.2         
   750 -0.35  -6.5  2543   5.7   8.1   2.2     0    302.8   1.0  -6.4         
   725 -0.86  -7.9  2818   4.4   8.8   3.1     0    304.3   0.7  -7.9         
   700 -0.25  -9.4  3103   4.2   9.6   1.0     0    307.1   1.6  -9.3         
   650   1.7 -10.8  3702   1.4  13.2   2.0     0    310.5   3.9 -10.3         
   600   4.6 -11.3  4340  -2.4  13.6  15.0  2E-2    313.4   6.8 -10.1         
   550   9.2 -13.8  5025  -6.0  12.7   8.0  2E-2    317.0  11.8 -11.6         
   500  10.4 -14.8  5764 -11.1  14.1  21.0     0    319.5  13.1 -12.4         
   450   5.2 -16.3  6561 -17.7  14.1  34.0     0    321.0   8.4 -14.9         
   400   1.9 -20.1  7431 -24.6   8.6  33.0  3E-2    323.0   5.9 -19.3         
   350   4.6 -23.7  8385 -32.8   2.0  45.0  2E-2    324.5   9.3 -22.3         
   300   8.5 -28.6  9451 -41.6     0  50.2  2E-2    326.7  14.0 -26.3         
   250   8.5 -29.6 10662 -48.7   1.6  16.9  2E-2    333.7  14.3 -27.3         
   200  21.7 -18.9 12129 -50.0   1.9   3.4  2E-2    353.6  25.0 -14.2         
   150  20.1 -13.1 13958 -60.9   1.8   4.6  2E-2    365.2  22.3  -8.8         
   100   9.2  -4.4 16417 -70.1  -1.7   9.6  2E-2    392.3   9.9  -2.5         
    50   5.0  -1.1 20562 -66.2  0.24   7.2  2E-2    487.4   5.1  -0.0         
