 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  3  0
 Used Nearest Grid Point ( 146, 208) to Lat:    37.85, Lon:  -122.46
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1017  24.1  1019     0     0  14.9  83.5   1.5 -0.37  1017   5.0  -3.4  20.1   1.9     0   456  14.8   290   464     0     0     0     0     0  24.3     0     0     0   283   9.8                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   1.9  -2.0   161  14.4   1.9  80.1  0.17    287.6   2.3  -1.6         
   975  0.80  -2.0   375  13.5   1.0  81.1     0    288.7   1.2  -1.8         
   950  -1.1  -1.4   593  11.8     0  83.7     0    289.2  -0.8  -1.6         
   925  -2.3  -2.1   816  10.0   1.4  88.3     0    289.5  -1.8  -2.6         
   900  -3.9  -2.2  1043   8.6   2.9  77.8     0    290.4  -3.4  -2.9         
   875  -4.5  -2.3  1276   8.2   4.8  54.6     0    292.3  -3.9  -3.1         
   850  -3.5  -1.6  1515   8.2   7.1  31.9     0    294.8  -3.1  -2.3         
   825  -2.3  -2.3  1760   7.2   8.1  22.2     0    296.2  -1.8  -2.7         
   800 -0.62  -3.9  2013   7.1   6.0  10.2     0    298.7   0.2  -3.9         
   775  0.24  -5.1  2273   7.0   6.5   3.3     0    301.3   1.3  -4.9         
   750 -0.23  -6.2  2542   5.7   8.1   1.2     0    302.8   1.0  -6.1         
   725 -0.74  -7.6  2817   4.3   8.8   4.1     0    304.1   0.8  -7.6         
   700 -0.25  -9.3  3102   4.2   9.6   1.0     0    307.1   1.6  -9.1         
   650   1.9 -10.6  3701   1.4  13.2   2.0     0    310.5   3.9 -10.0         
   600   4.6 -11.2  4340  -2.5  13.6  15.0  2E-2    313.2   6.7 -10.0         
   550   9.2 -13.5  5024  -6.1  12.7   8.0  2E-2    316.9  11.8 -11.4         
   500  10.5 -14.6  5762 -11.2  14.1  22.0     0    319.4  13.2 -12.2         
   450   5.5 -16.2  6560 -17.7  14.1  34.0     0    321.0   8.6 -14.7         
   400   2.2 -19.9  7429 -24.6   7.7  33.0  3E-2    323.0   6.2 -19.1         
   350   4.9 -23.6  8384 -32.7   2.0  45.0  2E-2    324.7   9.5 -22.1         
   300   9.0 -28.3  9450 -41.6     0  50.2  2E-2    326.7  14.5 -25.9         
   250   9.0 -29.4 10660 -48.7   1.6  16.9  2E-2    333.7  14.7 -27.0         
   200  22.0 -18.9 12126 -50.0   1.9   3.4  2E-2    353.6  25.4 -14.1         
   150  20.4 -13.2 13956 -60.9   1.8   4.6  2E-2    365.2  22.7  -8.9         
   100   9.3  -4.4 16416 -70.1  -1.7   9.6  2E-2    392.3  10.0  -2.4         
    50   5.0  -1.1 20560 -66.2  0.24   7.2  2E-2    487.4   5.1  -0.0         
