 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  3  0
 Used Nearest Grid Point ( 146, 209) to Lat:    37.95, Lon:  -122.49
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1014  40.1  1019     0     0  15.3  80.5   1.5 -0.49  1014     0  -3.4  16.2   1.9     0   456  14.8   290   480     0     0     0     0     0  24.3     0     0     0   283   9.5                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.4  -2.1   160  14.7   2.8  79.1  0.17    287.8   2.8  -1.6         
   975  0.93  -2.1   374  13.5   1.9  82.1     0    288.7   1.3  -1.9         
   950 -0.99  -1.0   593  12.1 -0.53  84.7     0    289.5  -0.8  -1.2         
   925  -1.9  -1.8   816  10.1   1.4  90.3     0    289.7  -1.5  -2.1         
   900  -3.3  -2.0  1043   8.6   2.9  84.8     0    290.4  -2.8  -2.7         
   875  -4.5  -2.4  1276   7.7   4.8  62.6     0    291.8  -3.9  -3.3         
   850  -3.8  -1.5  1515   7.9   7.1  36.9     0    294.4  -3.4  -2.2         
   825  -2.5  -2.0  1760   6.9   8.1  24.2     0    295.9  -2.1  -2.5         
   800 -0.74  -3.6  2012   7.0   7.8  12.2     0    298.6   0.0  -3.7         
   775  0.37  -4.9  2273   7.1   6.5   4.3     0    301.5   1.3  -4.7         
   750 -0.35  -6.1  2541   5.6   4.6   1.2     0    302.7   0.9  -6.0         
   725 -0.74  -7.4  2817   4.3   8.8   3.1     0    304.1   0.8  -7.4         
   700 -0.25  -9.0  3102   4.3   9.6   1.0     0    307.2   1.6  -8.9         
   650   2.0 -10.3  3700   1.3   9.7   2.0     0    310.4   4.0  -9.7         
   600   4.6 -10.9  4339  -2.6  13.6  16.0  2E-2    313.1   6.7  -9.8         
   550   9.1 -13.4  5023  -6.2  12.7   8.0  2E-2    316.7  11.6 -11.3         
   500  10.6 -14.5  5761 -11.2  14.1  22.0     0    319.4  13.3 -12.1         
   450   5.7 -16.2  6558 -17.7  13.2  34.0     0    321.0   8.9 -14.7         
   400   2.3 -19.8  7428 -24.6   7.7  33.0  3E-2    323.0   6.3 -19.0         
   350   5.1 -23.6  8382 -32.7     0  45.0  2E-2    324.7   9.7 -22.0         
   300   9.5 -28.2  9448 -41.6  -1.1  50.2  2E-2    326.7  15.0 -25.7         
   250   9.5 -29.4 10659 -48.8   1.6  16.9  2E-2    333.6  15.2 -26.9         
   200  22.4 -19.1 12124 -50.0   1.9   3.4  2E-2    353.6  25.8 -14.2         
   150  20.9 -13.2 13954 -60.9   1.8   4.6  2E-2    365.2  23.2  -8.8         
   100   9.3  -4.4 16414 -70.1  -1.7   9.6  2E-2    392.3  10.0  -2.4         
    50   5.0  -1.1 20559 -66.2  0.24   7.2  2E-2    487.4   5.1  -0.0         
