 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  3  0
 Used Nearest Grid Point ( 147, 207) to Lat:    37.76, Lon:  -122.30
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1016  32.1  1019     0     0  14.2  91.5   1.5     0  1016  13.0     0  11.5     0     0   328  14.6   273  1000     0     0     0     0     0  23.1   6.0     0     0   283  10.5                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.2 -0.37   161  13.6  -4.3  85.1  5E-2    286.7   2.2   0.1         
   975   1.1  -2.1   375  13.0  -2.5  77.1     0    288.2   1.4  -1.8         
   950  -1.1  -2.5   593  11.7     0  80.7     0    289.1  -0.6  -2.7         
   925  -2.3  -2.4   816  10.2  0.54  83.3     0    289.8  -1.8  -2.8         
   900  -3.6  -2.2  1043   8.7   2.9  78.8     0    290.5  -3.1  -2.8         
   875  -4.0  -2.2  1276   8.3   4.8  50.6     0    292.4  -3.5  -2.9         
   850  -3.4  -1.9  1515   8.4   7.1  30.9     0    294.9  -3.0  -2.5         
   825  -2.5  -2.3  1761   7.3   8.1  24.2     0    296.3  -2.0  -2.7         
   800  -1.2  -3.7  2013   7.0   7.8  12.2     0    298.6  -0.5  -3.9         
   775 -0.13  -5.2  2274   6.7   6.5   4.3     0    301.1   0.9  -5.1         
   750 -0.23  -6.2  2542   5.7   8.1   2.2     0    302.8   1.0  -6.1         
   725 -0.86  -7.8  2818   4.1  12.3   3.1     0    304.0   0.7  -7.8         
   700 -0.38  -9.5  3102   3.9  13.2   2.0     0    306.8   1.5  -9.4         
   650   1.6 -11.2  3701   1.4  13.2   2.0     0    310.5   3.8 -10.7         
   600   4.3 -11.8  4339  -2.5  13.6  16.0  2E-2    313.2   6.6 -10.7         
   550   9.0 -14.0  5024  -6.1  12.7   7.0  2E-2    316.9  11.6 -11.9         
   500  10.4 -15.0  5763 -11.2  14.1  21.0     0    319.4  13.2 -12.6         
   450   5.0 -16.5  6560 -17.7  13.2  34.0     0    321.0   8.2 -15.2         
   400   1.4 -20.3  7429 -24.6   8.6  33.0  3E-2    323.0   5.5 -19.6         
   350   4.4 -24.2  8383 -32.8   2.9  45.0  2E-2    324.5   9.1 -22.8         
   300   8.3 -29.4  9449 -41.6   1.5  49.2  2E-2    326.7  14.1 -27.2         
   250   8.4 -30.2 10660 -48.5   1.6  16.9  2E-2    333.9  14.3 -27.9         
   200  21.8 -19.4 12127 -49.9  1.00   3.4  2E-2    353.8  25.2 -14.7         
   150  19.9 -13.5 13958 -60.7   1.8   4.6  2E-2    365.5  22.2  -9.2         
   100   9.3  -4.5 16417 -70.2  -1.7   9.6  2E-2    392.0  10.0  -2.6         
    50   5.0  -1.1 20562 -66.2  0.24   7.2  2E-2    487.4   5.1  -0.0         
