 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2  3  0
 Used Nearest Grid Point ( 147, 209) to Lat:    37.97, Lon:  -122.35
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1017  24.1  1019     0     0  15.0  85.5   1.2     0  1017   5.0  -1.4   7.6     0     0   968  14.3   273  1000     0     0     0     0     0  24.3     0     0  -8.4   283   9.5                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000   2.3  -1.1   160  14.7 -0.75  79.1     0    287.8   2.5  -0.6         
   975  0.55  -1.3   374  13.7  -2.5  79.1     0    289.0   0.8  -1.2         
   950  -1.2  -1.5   593  12.0  -1.4  83.7     0    289.3  -0.9  -1.7         
   925  -2.0  -2.3   816  10.1   1.4  91.3     0    289.7  -1.5  -2.6         
   900  -3.1  -2.4  1043   8.6   2.9  82.8     0    290.4  -2.5  -3.0         
   875  -3.9  -2.7  1275   7.8   4.8  58.6     0    291.9  -3.2  -3.4         
   850  -3.5  -1.5  1514   8.0   7.1  32.9     0    294.5  -3.2  -2.2         
   825  -2.7  -1.9  1760   6.9   9.9  25.2     0    295.9  -2.2  -2.4         
   800  -1.2  -3.5  2012   6.8   9.5  13.2     0    298.4  -0.5  -3.7         
   775 -0.26  -4.7  2272   6.7   6.5   4.3     0    301.1   0.7  -4.7         
   750 -0.35  -5.6  2541   5.7   4.6   1.2     0    302.8   0.8  -5.6         
   725 -0.74  -7.3  2816   4.3   8.8   2.1     0    304.1   0.7  -7.3         
   700 -0.38  -9.0  3101   3.8   9.6   2.0     0    306.7   1.4  -8.9         
   650   1.9 -10.7  3699   1.3  13.2   2.0     0    310.4   4.0 -10.1         
   600   4.5 -11.4  4338  -2.6  13.6  16.0  2E-2    313.1   6.7 -10.3         
   550   9.0 -13.8  5022  -6.2  12.7   8.0  2E-2    316.7  11.6 -11.7         
   500  10.5 -14.9  5760 -11.3  14.1  22.0     0    319.2  13.3 -12.5         
   450   5.5 -16.4  6557 -17.7  11.4  34.0     0    321.0   8.7 -15.0         
   400   1.9 -20.2  7426 -24.6   6.8  33.0  3E-2    323.0   5.9 -19.4         
   350   4.9 -24.1  8380 -32.8   2.0  46.0  2E-2    324.5   9.6 -22.6         
   300   9.5 -29.1  9446 -41.6     0  49.2  2E-2    326.7  15.1 -26.6         
   250   9.4 -30.2 10657 -48.7   2.4  15.9  2E-2    333.7  15.2 -27.7         
   200  22.4 -19.6 12123 -49.9   1.9   3.4  2E-2    353.8  25.9 -14.7         
   150  20.8 -13.6 13954 -60.7  0.68   4.6  2E-2    365.5  23.1  -9.2         
   100   9.4  -4.5 16414 -70.1  -1.7   9.6  2E-2    392.3  10.2  -2.5         
    50   5.0  -1.1 20559 -66.2  0.24   7.2  2E-2    487.4   5.1  -0.0         
