 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 15  0
 Used Nearest Grid Point ( 149, 209) to Lat:    38.02, Lon:  -122.09
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1011  88.1  1022     0     0  11.0  87.9  -1.1     0  1011   7.5  -2.8  15.5   1.1  50.5  1795  10.7   286   864     0     0     0     0     0  24.4   2.0     0     0   290  13.9                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -2.0  0.15   180  11.7   1.1  80.4     0    284.8  -2.0  -0.2         
   975  -3.3   1.0   393  12.0   5.3  75.4  0.38    287.2  -3.4   0.4         
   950  -3.3   1.0   609   9.8  10.0  84.6  0.25    287.2  -3.5   0.3         
   925  -3.6   1.4   830   8.1  12.3  90.3     0    287.6  -3.8   0.6         
   900  -4.0  0.83  1058  10.8   6.9  59.6     0    292.6  -4.1   0.0         
   875  -3.1  0.75  1292  10.1   4.1  37.7     0    294.2  -3.2   0.1         
   850  -1.6     0  1533   9.7   3.3  21.9     0    296.3  -1.5  -0.3         
   825 -0.21 -0.15  1780   9.5     0   9.3     0    298.6  -0.2  -0.2         
   800  0.60  1E-1  2034   9.2   1.8   3.2     0    300.9   0.6   0.2         
   775   1.2  0.81  2296   9.0     0   1.1     0    303.5   1.1   1.0         
   750   1.3   1.4  2567   8.9   2.8     0     0    306.3   1.0   1.6         
   725  0.70   1.5  2847   8.4   3.9     0  2E-2    308.7   0.4   1.6         
   700 -0.59   1.5  3135   6.4   5.5     0     0    309.5  -0.9   1.4         
   650  -1.3   1.1  3735   1.8   8.5   3.0  2E-2    311.0  -1.5   0.9         
   600   3.2  0.38  4377  1E-1   3.7  10.0  2E-2    316.2   3.0   1.0         
   550   7.8  0.76  5068  -4.0  0.75   7.2  2E-2    319.4   7.4   2.3         
   500   9.2   1.1  5811 -10.0   2.5  16.0  2E-2    320.9   8.8   2.9         
   450  10.2  0.39  6612 -16.9   4.2  29.0  2E-2    321.9  10.0   2.4         
   400  12.1 -0.81  7483 -24.3   4.6  40.1  2E-2    323.4  12.1   1.6         
   350  13.3  -1.4  8439 -32.2   3.8  51.0  2E-2    325.3  13.3   1.3         
   300  13.1  -1.1  9508 -40.9   3.8  48.5  2E-2    327.7  13.1   1.6         
   250  10.1 -0.47 10725 -48.2   2.0  34.2  2E-2    334.4  10.0   1.5         
   200   9.1  -1.6 12175 -54.2   1.9  11.6  2E-2    347.0   9.2   0.3         
   150  12.6   1.8 13983 -62.1     0   7.7  2E-2    363.2  12.0   4.3         
   100  11.9   2.8 16428 -71.3  0.38  11.6  2E-2    390.0  11.1   5.1         
    50   2.7   4.0 20562 -65.6  0.27   7.2  2E-2    488.9   1.9   4.5         
