 Meteorological Profile: 20161102_nam12
 File start time : 16 11  2  0  0
 File ending time: 16 11  2 21  0
 
___________________________________________________ 
 Profile Time:  16 11  2 15  0
 Used Nearest Grid Point ( 150, 209) to Lat:    38.04, Lon:  -121.95
        2D Fields 
        SHGT  MSLP  TPP3  CPP3  T02M  RH2M  U10M  V10M  PRSS  LHTF  SHTF  USTR  RGHS  DSWF  PBLH  TMPS  SOLT  SOLW  WESD  CSNO  CICE  CFZR  CRAI  VSBY  TCLD  CAPE  CINH  LISD  LIB4 
           m   hPa    mm    mm    oC     %   m/s   m/s   hPa  W/m2  W/m2  cm/s     m  W/m2     m    oC    oK  kgm2                                  km     %                         
  1012  80.1  1022     0     0  11.4  80.9 -0.86  0.23  1012   3.5     0  13.9   1.9  42.5  1795  11.4   286   480     0     0     0     0     0  24.4  34.0     0     0   291  12.9                   
        3D Fields 
        UWND  VWND  HGTS  TEMP  WWND  RELH  TKEN     TPOT  UWND  VWND         
         m/s   m/s     m    oC  mb/h     %  Joul       oK  W->E  S->N         
  1000  -1.9 -0.60   181  11.5  -1.6  78.4     0    284.7  -1.7  -1.0         
   975  -2.7  0.78   393  12.1   5.3  74.4  0.12    287.3  -2.8   0.2         
   950  -2.7  0.89   610  10.0  10.0  85.6  0.25    287.3  -2.8   0.3         
   925  -3.3   1.2   831   8.0  12.3  94.3     0    287.5  -3.5   0.6         
   900  -3.9   1.2  1059  10.1  10.4  69.6     0    292.0  -4.0   0.4         
   875  -3.0  1.00  1293   9.8   7.6  42.7     0    294.0  -3.1   0.4         
   850  -1.7  0.28  1533   9.5   5.0  22.9     0    296.1  -1.7  -0.1         
   825 -0.34     0  1780   9.3   2.6  10.3     0    298.5  -0.3  -0.1         
   800  0.60  1E-1  2034   9.0   1.8   4.2     0    300.8   0.6   0.2         
   775   1.2  0.44  2296   8.9   2.2   1.1     0    303.3   1.1   0.7         
   750   1.3  0.78  2567   8.9   2.8     0     0    306.3   1.2   1.0         
   725  0.70   1.0  2846   8.4   3.9     0  2E-2    308.7   0.5   1.2         
   700 -0.47  0.92  3134   6.2   7.3     0     0    309.4  -0.6   0.8         
   650  -1.7  0.89  3735   1.9   8.5   3.0  2E-2    311.1  -1.9   0.5         
   600   2.6  0.38  4377  0.20   2.4   8.0  2E-2    316.4   2.4   0.9         
   550   7.5  0.51  5069  -3.8     0   7.2  2E-2    319.6   7.3   2.0         
   500   8.9  0.68  5812 -10.0   1.6  16.0  2E-2    320.9   8.6   2.4         
   450  10.0 -0.11  6612 -16.9   3.3  30.0  2E-2    321.9   9.8   1.9         
   400  11.9  -1.2  7483 -24.3   3.7  40.1  2E-2    323.4  11.9   1.2         
   350  13.3  -1.5  8439 -32.1   3.8  49.0  2E-2    325.5  13.4   1.1         
   300  13.1  -1.2  9508 -40.9   2.9  46.5  2E-2    327.7  13.1   1.4         
   250   9.8 -0.84 10725 -48.2   2.0  34.2  2E-2    334.4   9.8   1.1         
   200   8.9  -1.8 12175 -54.2   1.9  11.6  2E-2    347.0   9.0  -0.0         
   150  12.5   1.4 13983 -62.1   1.2   7.7  2E-2    363.2  11.9   3.9         
   100  11.9   2.7 16428 -71.3  0.38  11.6  2E-2    390.0  11.2   5.0         
    50   2.7   4.0 20562 -65.6  0.27   7.2  2E-2    488.9   1.9   4.5         
